A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
전공필수,,,,BPE3101,면역학,3.0,3학년(1학기),
전공필수,,,,BPE3102,생물유기화학,3.0,3학년(1학기),
전공필수,,,,BPE3103,미생물학,3.0,3학년(1학기),
전공필수,,,,BPE3201,생물기초계산,3.0,3학년(2학기),
전공필수,,,,BPE3202,생화학,3.0,3학년(2학기),
전공필수,,,,BPE3205,분자생물학,3.0,3학년(2학기),
전공필수,,,,BPE4101,생물화학공학,3.0,4학년(1학기),
전공필수,,,,BPE4102,유전공학,3.0,4학년(1학기),
전공필수,,,,BPE4103,GMP 규정 및 품질관리개론,3.0,4학년(1학기),
전공필수,,,,BPE4201,세포생물학 및 배양공학,3.0,4학년(2학기),
전공필수,,,,BPE4202,생물분리공정공학,3.0,4학년(2학기),
전공필수,,,,BPE4203,생물공정종합설계,3.0,4학년(2학기),
전공선택,,,,BPE3106,단백질공학설계,5.0,3학년(1학기),
전공선택,,,,BPE3206,바이오의약품 생산설계,5.0,3학년(2학기),
전공선택,,,,BPE4105,바이오산업현장개론,2.0,4학년(1학기),
전공선택,,,,BPE4106,생물공정제어 최적화,5.0,4학년(1학기),
전공선택,,,,BPE4206,세포배양 및 분리 공정 설계,6.0,4학년(2학기),
