A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,HUM1001,언어의 이해,3.0,"전체(1,2학기)",문과대학 계열교양(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1002,문학의 이해,3.0,"전체(1,2학기)",문과대학 계열교양(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1003,문화사의 이해,3.0,"전체(1,2학기)",문과대학 계열교양(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1004,철학의 이해,3.0,"전체(1,2학기)",문과대학 계열교양(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1005,문화학의이해,3.0,"전체(1,2학기)",문과대학 계열교양(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1011,중국어 1,3.0,전체(1학기),계열교양 외국어-1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1021,일본어 1,3.0,전체(1학기),계열교양 외국어-1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1031,프랑스어 1,3.0,전체(1학기),계열교양 외국어-1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1041,한문 1,3.0,전체(1학기),계열교양 외국어-1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1012,중국어 2,3.0,전체(2학기),계열교양 외국어-2(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1022,일본어 2,3.0,전체(2학기),계열교양 외국어-2(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1032,프랑스어 2,3.0,전체(2학기),계열교양 외국어-2(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1042,한문 2,3.0,전체(2학기),계열교양 외국어-2(택 1과목)
전공필수,,공통,,HIS1002,역사학입문,3.0,"1학년(1,2학기)",
전공필수,,공통,전공집중,HIS1003,한국사입문,3.0,1학년(2학기),
전공필수,,공통,전공집중,HIS2006,동양어 원전읽기,3.0,"2학년(1,2학기)",
전공필수,,공통,전공집중,HIS3004,세계사입문,3.0,3학년(2학기),
전공필수,,공통,전공집중,HIS3007,서양어 원전읽기,3.0,"3학년(1,2학기)",
전공필수,,공통,전공집중,HIS4002,역사학 논문작성법,3.0,"4학년(1,2학기)",
전공선택,,공통,전공집중,HIS2009,역사학방법론,3.0,2학년,
전공선택,,공통,전공핵심,HIS2103,문화로 보는 역사,3.0,"2학년(1,2학기)",
전공선택,,공통,전공핵심,HIS2104,선사문화의 이해,3.0,2학년(1학기),
전공선택,,공통,전공핵심,HIS2105,역사기록의이해,3.0,2학년(2학기),
전공선택,,공통,전공핵심,HIS2113,지역문화탐구 1,3.0,2학년(1학기),
전공선택,,공통,전공핵심,HIS2115,지역문화탐구 2,3.0,2학년,
전공선택,,공통,전공핵심,HIS3106,과학사,3.0,3학년,
전공선택,,공통,전공핵심,HIS3107,여성사,3.0,3학년(1학기),
전공선택,,공통,전공핵심,HIS3110,박물관과 문화재,3.0,3학년(2학기),
전공선택,,공통,전공핵심,HIS3114,역사유적탐구 1,3.0,3학년,
전공선택,,공통,전공핵심,HIS3116,역사유적탐구 2,3.0,3학년(2학기),
전공선택,,공통,,HIS3117,역사 속의 미술,3.0,3학년(2학기),
전공선택,,공통,전공핵심,HIS4111,역사쟁점특강,3.0,4학년(2학기),
전공선택,,공통,전공핵심,HIS4119,글로벌역사콘텐츠탐구,3.0,4학년,
전공선택,,동아시아사,전공핵심,HIS2301,동아시아 고대문명,3.0,2학년(1학기),
전공선택,,동아시아사,전공핵심,HIS2302,동아시아의 분열과 재통일,3.0,2학년(2학기),
전공선택,,동아시아사,전공핵심,HIS2305,동남아의 역사와 문화,3.0,2학년,
전공선택,,동아시아사,전공기반,HIS3303,동남아근현대사,3.0,3학년,
전공선택,,동아시아사,전공핵심,HIS3306,동아시아 전통사회 확립,3.0,3학년(1학기),
전공선택,,동아시아사,전공핵심,HIS3307,베트남사,3.0,3학년,
전공선택,,동아시아사,전공핵심,HIS4304,서구의 충격과 동아시아,3.0,4학년,
전공선택,,동아시아사,전공기반,HIS4308,동양사회경제사,3.0,4학년,
전공선택,,동아시아사,전공핵심,HIS4309,일본의 역사와 문화,3.0,4학년(1학기),
전공선택,,동아시아사,전공핵심,HIS4310,동아시아사 특강,3.0,4학년,
전공선택,,서양사,전공핵심,HIS2401,서양고대사,3.0,2학년,
전공선택,,서양사,전공핵심,HIS2402,서양중세사,3.0,2학년,
전공선택,,서양사,전공기반,HIS3403,서양근대사 1,3.0,3학년(1학기),
전공선택,,서양사,전공핵심,HIS3404,서양근대사 2,3.0,3학년(2학기),
전공선택,,서양사,전공핵심,HIS3407,서양사회경제사,3.0,3학년,
전공선택,,서양사,전공핵심,HIS4405,서양현대사,3.0,4학년(2학기),
전공선택,,서양사,전공핵심,HIS4408,서양사특강,3.0,4학년(2학기),
전공선택,,한국사,전공기반,HIS2201,한국고대사,3.0,2학년(1학기),
전공선택,,한국사,전공기반,HIS2202,고려시대사,3.0,2학년(2학기),
전공선택,,한국사,전공핵심,HIS2206,한국사상사,3.0,2학년,
전공선택,,한국사,전공핵심,HIS2207,인천지역사,3.0,2학년(1학기),
전공선택,,한국사,전공기반,HIS3203,조선시대사,3.0,3학년(1학기),
전공선택,,한국사,전공기반,HIS3204,한국근대사,3.0,3학년(2학기),
전공선택,,한국사,전공핵심,HIS3208,한국종교문화사,3.0,3학년(1학기),
전공선택,,한국사,전공핵심,HIS4205,한국현대사,3.0,4학년(1학기),
전공선택,,한국사,전공핵심,HIS4209,한국사회경제사,3.0,4학년(1학기),
전공선택,,한국사,전공기반,HIS4210,한국대외관계사,3.0,4학년(1학기),
전공선택,,한국사,전공핵심,HIS4211,한국사특강,3.0,4학년,
