A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,,,SOS1111,사회복지학개론,3.0,1학년(1학기),
교양필수,계열교양영역,,,SOS1101,행정학개론,3.0,"1학년(1,2학기)",계열교양영역(선택2)(택 2과목)
교양필수,계열교양영역,,,SOS1102,정치학개론,3.0,"1학년(1,2학기)",계열교양영역(선택2)(택 2과목)
교양필수,계열교양영역,,,SOS1104,사회학개론,3.0,"1학년(1,2학기)",계열교양영역(선택2)(택 2과목)
전공필수,,공통,전공기반,SWE1102,인간행동과 사회환경,3.0,1학년(1학기),
전공필수,,공통,전공기반,SWE1103,사회복지조사론,3.0,1학년(2학기),
전공필수,,공통,전공핵심,SWE2104,사회복지정책론,3.0,2학년(2학기),
전공필수,,공통,,SWE2105,사회복지법제와 실천,3.0,2학년(1학기),
전공필수,,공통,,SWE2106,지역사회복지론,3.0,2학년(1학기),
전공필수,,공통,,SWE2107,사회복지실천론,3.0,2학년(2학기),
전공필수,,공통,전공핵심,SWE3101,사회복지실천기술론,3.0,3학년(1학기),
전공필수,,공통,전공핵심,SWE3102,사회복지현장실습,3.0,"3학년(1,2학기)",
전공필수,,공통,전공핵심,SWE3103,사회복지행정론,3.0,3학년(1학기),
전공필수,,공통,전공핵심,SWE3104,복지국가론,3.0,3학년(2학기),
전공필수,,공통,,SWE4103,사회복지역사,3.0,4학년(1학기),
전공선택,,사회복지연구과정,전공핵심,SWE2201,사회문제론,3.0,2학년(2학기),
전공선택,,사회복지연구과정,전공기반,SWE2204,사회복지자료분석론,3.0,2학년(2학기),
전공선택,,사회복지연구과정,전공집중,SWE2206,빈곤론,3.0,2학년(2학기),
전공선택,,사회복지연구과정,,SWE2207,사회복지와 인권,3.0,2학년(1학기),
전공선택,,사회복지연구과정,전공기반,SWE4201,자원봉사론,3.0,4학년(1학기),
전공선택,,사회복지연구과정,전공기반,SWE4202,사회보장론,3.0,4학년(1학기),
전공선택,,사회복지연구과정,전공집중,SWE4204,사회복지사상,3.0,4학년(2학기),
전공선택,,사회복지연구과정,전공핵심,SWE4205,사회복지특강,3.0,4학년(2학기),
전공선택,,사회복지현장과정,전공기반,SWE2203,사회복지 윤리와 철학,3.0,2학년(2학기),
전공선택,,사회복지현장과정,전공기반,SWE3105,장애인복지론,3.0,3학년(2학기),
전공선택,,사회복지현장과정,전공기반,SWE3202,아동복지론,3.0,3학년(1학기),
전공선택,,사회복지현장과정,전공기반,SWE3204,가족복지론,3.0,3학년(2학기),
전공선택,,사회복지현장과정,전공기반,SWE3205,노인복지론,3.0,3학년(1학기),
전공선택,,사회복지현장과정,,SWE3206,의료사회복지론,3.0,3학년(1학기),
전공선택,,사회복지현장과정,,SWE3207,프로그램 개발과 평가,3.0,3학년(1학기),
전공선택,,사회복지현장과정,,SWE4102,학교사회복지론,3.0,4학년(2학기),
전공선택,,사회복지현장과정,,SWE4206,정신건강사회복지론,3.0,4학년(1학기),
전공선택,,사회복지현장과정,,SWE4207,청소년 복지론,3.0,4학년(2학기),
