A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존(공학인증)",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,ACE1203,지구과학,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,ACE2101,공업수학 1,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양영역,,ACE2102,공업수학 2,3.0,2학년(2학기),
교양필수,계열교양영역,계열교양영역,,CHM1023,일반화학,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHM1027,일반화학실험,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CIV1020,파이썬 프로그래밍,3.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,CIV2030,스마트건설 BIM,3.0,"2학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,CIV3010,빅데이터분석,3.0,"3학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,PHY1001,물리학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,PHY1003,물리학실험 1,1.0,1학년(1학기),
전공필수,,,,CIV2412,환경에너지공학,3.0,2학년(1학기),
전공필수,,건설관리,전공핵심,CIV3721,글로벌건설,3.0,2학년(1학기),
전공필수,,공통과정,전공기반,CIV1010,사회인프라공학개론,1.0,1학년(2학기),
전공필수,,공통과정,전공기반,CIV1910,창의적공학설계,3.0,"1학년(1,2학기)",
전공필수,,공통과정,,CIV2020,건설인공지능,3.0,"2학년(1,2학기)",
전공필수,,공통과정,전공집중,CIV4990,건설종합설계,3.0,"4학년(1,2학기)",
전공필수,,교통시스템,전공기반,CIV1611,건설재료실험,3.0,1학년(1학기),
전공필수,,구조공학,전공기반,CIV2101,역학의 기초,3.0,2학년(1학기),
전공필수,,수공학,전공기반,CIV2311,기초수리학,3.0,2학년(1학기),
전공필수,,지반공학,전공기반,CIV3211,토질역학 및 실험,3.0,2학년(2학기),
전공필수,,지형정보공학,전공기반,CIV2511,측량학 및 실습,3.0,2학년(1학기),
전공필수,,환경공학,전공기반,CIV2411,환경공학 및 실험,3.0,2학년(1학기),
전공선택,,건설관리,전공기반,CIV2710,건설경제성,3.0,1학년(2학기),
전공선택,,건설관리,전공핵심,CIV3710,프로젝트견적,3.0,3학년(1학기),
전공선택,,건설관리,전공집중,CIV4710,건설관리,3.0,3학년(2학기),
전공선택,,공통과정,,ACE9501,다학년 연구프로젝트 1,1.0,"전체(1,2학기)",
전공선택,,공통과정,,ACE9502,다학년 연구프로젝트 2,1.0,"전체(1,2학기)",
전공선택,,공통과정,,ACE9503,다학년 연구프로젝트 3,1.0,"전체(1,2학기)",
전공선택,,교통시스템,,CIV3630,도로 및 공항 포장,3.0,3학년(2학기),
전공선택,,교통시스템,,CIV4640,도로 및 철도 선형,3.0,4학년(2학기),
전공선택,,구조공학,전공핵심,CIV2110,재료역학,3.0,2학년(2학기),
전공선택,,구조공학,전공핵심,CIV3100,구조해석,3.0,3학년(1학기),
전공선택,,구조공학,전공핵심,CIV3110,구조해석응용,3.0,3학년(2학기),
전공선택,,구조공학,전공핵심,CIV3150,철근콘크리트설계,3.0,3학년(1학기),
전공선택,,구조공학,전공핵심,CIV3160,PS콘크리트설계,3.0,3학년(2학기),
전공선택,,구조공학,전공핵심,CIV4100,강구조설계,3.0,4학년(1학기),
전공선택,,구조공학,전공집중,CIV4150,교량설계,3.0,4학년(2학기),
전공선택,,구조공학,전공핵심,CIV4160,구조동역학,3.0,4학년(2학기),
전공선택,,수공학,전공핵심,CIV2320,생태수리학 및 실험,3.0,2학년(2학기),
전공선택,,수공학,전공핵심,CIV3330,수문학,3.0,3학년(1학기),
전공선택,,수공학,전공핵심,CIV3340,수공시스템설계,3.0,3학년(2학기),
전공선택,,수공학,전공핵심,CIV4360,해안 및 항만공학,3.0,4학년(2학기),
전공선택,,수공학,전공집중,CIV4370,수자원 및 재난관리,3.0,4학년(1학기),
전공선택,,지반공학,전공핵심,CIV3220,지반공학 및 실험,3.0,3학년(1학기),
전공선택,,지반공학,전공핵심,CIV4210,플랜트 기초공학,3.0,4학년(1학기),
전공선택,,지반공학,전공핵심,CIV4220,암반공학,3.0,3학년(2학기),
전공선택,,지반공학,전공집중,CIV4230,지반시스템설계,3.0,4학년(1학기),
전공선택,,지형정보공학,전공핵심,CIV2520,응용측량학 및 실습,3.0,2학년(2학기),
전공선택,,지형정보공학,전공핵심,CIV4510,지형정보공학,3.0,4학년(1학기),
