A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,계열교양영역,계열교양영역,,CBA1107,기업법,3.0,3학년(1학기),
교양필수,계열교양영역,계열교양영역,,SIM1002,경영자료처리이론,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,SIM1003,글로벌 경제학,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양영역,,SIM1004,산업경영의이해,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,SIM2501,리더십의 이해,3.0,2학년(2학기),
전공필수,,마케팅,,SIM1201,마케팅원론,3.0,1학년(2학기),
전공필수,,비즈니스인텔리전스,전공기반,SIM1104,경영정보론,3.0,1학년(2학기),
전공필수,,비즈니스인텔리전스,,SIM3304,빅데이터관리와 응용,3.0,3학년(2학기),
전공필수,,산업경영,,SIM2104,재무관리,3.0,2학년(2학기),
전공필수,,산업경영,전공핵심,SIM3103,생산운영관리,3.0,3학년(2학기),
전공필수,,인사조직,,SIM1403,조직행동론,3.0,1학년(2학기),
전공선택,,공통,전공집중,SIM9002,현장프로젝트2,3.0,3학년(2학기),
전공선택,,공통,,SIM9003,현장프로젝트3,3.0,4학년(1학기),
전공선택,,공통,,SIM9004,현장프로젝트4,3.0,4학년(2학기),
전공선택,,공통,,SIM9006,현장프로젝트1,3.0,3학년(1학기),
전공선택,,마케팅,,SIM2202,소비자행동론,3.0,2학년(1학기),
전공선택,,마케팅,,SIM2203,인지과학과 소비심리,3.0,2학년(2학기),
전공선택,,마케팅,전공핵심,SIM3201,마케팅커뮤니케이션,3.0,3학년(1학기),
전공선택,,마케팅,전공핵심,SIM3202,브랜드전략,3.0,4학년(1학기),
전공선택,,마케팅,,SIM3203,마케팅인사이트,3.0,3학년(2학기),
전공선택,,마케팅,,SIM3204,마케팅채널관리,3.0,3학년(1학기),
전공선택,,마케팅,전공핵심,SIM4201,서비스마케팅,3.0,4학년(2학기),
전공선택,,마케팅,전공집중,SIM4202,마케팅조사론,3.0,2학년(2학기),
전공선택,,비즈니스인텔리전스,,SIM1404,고객관계관리,3.0,2학년(1학기),
전공선택,,비즈니스인텔리전스,전공핵심,SIM2301,소셜비즈니스경영론,3.0,2학년(2학기),
전공선택,,비즈니스인텔리전스,,SIM3303,경영과 데이터베이스,3.0,3학년(1학기),
전공선택,,비즈니스인텔리전스,,SIM4302,비즈니스 이노베이션,3.0,4학년(1학기),
전공선택,,산업경영,전공핵심,SIM2302,기업경영분석,3.0,2학년(1학기),
전공선택,,산업경영,,SIM4501,산업경영특강,3.0,4학년(2학기),
전공선택,,인사조직,,SIM2401,ESG경영,3.0,2학년(1학기),
전공선택,,인사조직,전공핵심,SIM3102,인적자원관리,3.0,3학년(1학기),
전공선택,,인사조직,,SIM3104,노사관계론,3.0,3학년(2학기),
전공선택,,인사조직,전공기반,SIM4101,경영전략,3.0,4학년(2학기),
전공선택,,인사조직,전공핵심,SIM4401,국제경영,3.0,4학년(1학기),
