A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,CHM1023,일반화학,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
교양필수,계열교양영역,계열교양영역,,FAN1003,식품영양학개론,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
교양필수,계열교양영역,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
교양필수,계열교양영역,계열교양영역,,MTH1002,일반수학 2,3.0,1학년(2학기),7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
교양필수,계열교양영역,계열교양영역,,OCN1005,일반해양학,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
교양필수,계열교양영역,계열교양영역,,PHY1005,일반물리학,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
교양필수,계열교양영역,계열교양영역,,STS1801,일반통계학,3.0,"1학년(1,2학기)",7과목 중 위 16학점 교과목과 겹치지 않게 3학점 (택 3학점)
교양필수,계열교양영역,계열교양영역,,BIO1101,생명과학 1,3.0,1학년(1학기),4과목 8학점 필수(택 8학점)
교양필수,계열교양영역,계열교양영역,,BIO1102,생명과학실험 1,1.0,1학년(1학기),4과목 8학점 필수(택 8학점)
교양필수,계열교양영역,계열교양영역,,BIO1201,생명과학 2,3.0,1학년(2학기),4과목 8학점 필수(택 8학점)
교양필수,계열교양영역,계열교양영역,,BIO1202,생명과학실험 2,1.0,1학년(2학기),4과목 8학점 필수(택 8학점)
교양필수,계열교양영역,계열교양영역,,CHM1021,화학 1,3.0,1학년(1학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,CHM1022,화학 2,3.0,1학년(2학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,CHM1028,화학실험 1,1.0,1학년(1학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,CHM1029,화학실험 2,1.0,1학년(2학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,OCN1001,해양학 1,3.0,1학년(1학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,OCN1003,해양학 2,3.0,1학년(2학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,OCN1004,해양학실험 2,1.0,1학년(2학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,OCN1011,해양학실험 1,1.0,1학년(1학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,PHY1001,물리학 1,3.0,1학년(1학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,PHY1002,물리학 2,3.0,1학년(2학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,PHY1003,물리학실험 1,1.0,1학년(1학기),12과목 중 세트로 8학점(택 8학점)
교양필수,계열교양영역,계열교양영역,,PHY1004,물리학실험 2,1.0,1학년(2학기),12과목 중 세트로 8학점(택 8학점)
전공필수,,공통,,BIO2108,세포생물학,3.0,2학년(1학기),
전공필수,,공통,,BIO2109,동물생리학,3.0,2학년(1학기),
전공필수,,공통,,BIO2207,미생물학,3.0,2학년(2학기),
전공필수,,공통,,BIO2208,유전학,3.0,2학년(2학기),
전공필수,,공통,,BIO2209,생화학,3.0,2학년(2학기),
전공필수,,공통,전공핵심,BIO4101,학사논문설계발표,1.0,"4학년(1,2학기)",
전공선택,,공통,,BIO2110,야외생물학실습,1.0,2학년(1학기),
전공선택,,공통,,BIO2306,식물생리학,3.0,2학년(2학기),
전공선택,,공통,전공핵심,BIO3101,생물학연구방법실습 1,2.0,3학년(1학기),
전공선택,,공통,전공핵심,BIO3201,생물학연구방법실습 2,2.0,3학년(2학기),
전공선택,,생물다양성,전공핵심,BIO2105,분류생태학 종합실험,3.0,2학년(1학기),
전공선택,,생물다양성,전공핵심,BIO2106,식물형태학,3.0,2학년(2학기),
전공선택,,생물다양성,전공핵심,BIO3105,동물계통분류학,3.0,3학년(1학기),
전공선택,,생물다양성,전공핵심,BIO3106,생태학,3.0,3학년(1학기),
전공선택,,생물다양성,전공핵심,BIO3206,식물계통분류학,3.0,3학년(2학기),
전공선택,,생물다양성,전공핵심,BIO4104,응용미생물학,3.0,4학년(1학기),
전공선택,,생물다양성,전공핵심,BIO4106,자원식물학,3.0,4학년(1학기),
전공선택,,생물다양성,전공집중,BIO4203,복원생태학,3.0,4학년(2학기),
전공선택,,생물다양성,전공집중,BIO4204,생물진화학,3.0,4학년(2학기),
전공선택,,세포분자생물학,전공기반,BIO2103,생물유기화학,3.0,2학년(1학기),
전공선택,,세포분자생물학,전공핵심,BIO2204,분자세포생물학 종합실험,3.0,2학년(2학기),
전공선택,,세포분자생물학,전공핵심,BIO3102,분자생물학,3.0,3학년(1학기),
전공선택,,세포분자생물학,전공핵심,BIO3103,발생생물학,3.0,3학년(1학기),
전공선택,,세포분자생물학,전공핵심,BIO3202,고급분자생물학,3.0,3학년(2학기),
전공선택,,세포분자생물학,전공핵심,BIO3203,고급세포생물학,3.0,3학년(2학기),
전공선택,,세포분자생물학,전공핵심,BIO3204,신경생물학,3.0,3학년(2학기),
전공선택,,세포분자생물학,전공핵심,BIO3207,면역생물학,3.0,3학년(2학기),
전공선택,,세포분자생물학,전공집중,BIO4103,생물정보학,3.0,4학년(1학기),
전공선택,,세포분자생물학,전공핵심,BIO4105,노화생물학,3.0,4학년(1학기),
전공선택,,세포분자생물학,전공집중,BIO4201,종양생물학,3.0,4학년(1학기),
전공선택,,세포분자생물학,,BIO4205,바이오의학개론,3.0,4학년(1학기),
전공선택,,세포분자생물학,,BIO4206,식물생명공학,3.0,4학년(2학기),
