A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1143,미래사회와 소프트웨어-IT계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,계열교양영역,계열교양,,ACE1312,이산수학,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양,,ACE2104,통계학,3.0,3학년(1학기),
교양필수,계열교양영역,계열교양,,ACE2105,선형대수,3.0,2학년(2학기),
교양필수,계열교양영역,계열교양,,ITC1002,마케팅,3.0,3학년(2학기),
교양필수,계열교양영역,계열교양,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,,계열교양,,ITC1003,AI와 수학,3.0,2학년(2학기),
전공필수,,SW기초,전공기반,ITC1201,컴퓨터공학기초,3.0,1학년(1학기),
전공필수,,SW기초,전공기반,ITC1202,객체지향프로그래밍 1,3.0,1학년(2학기),
전공필수,,SW기초,,ITC2207,C언어응용,3.0,2학년(1학기),
전공필수,,SW기초,,ITC2209,자료구조와 알고리즘,3.0,1학년(2학기),
전공선택,,공통,전공집중,ITC4614,SW융합프로젝트4,3.0,4학년(2학기),
전공선택,,공통,전공집중,ITC9002,SW융합프로젝트2,3.0,3학년(2학기),
전공선택,,공통,전공집중,ITC9003,SW융합프로젝트3,3.0,4학년(1학기),
전공선택,,공통,,ITC9005,SW융합프로젝트1,3.0,3학년(1학기),
전공선택,,공통,,ITC9006,다학년 연구프로젝트 1,3.0,4학년(1학기),
전공선택,,공통,,ITC9007,다학년 연구프로젝트 2,3.0,4학년(2학기),
전공선택,,IT융합,,ITC3211,IoT프로그래밍,3.0,3학년(1학기),
전공선택,,IT융합,전공집중,ITC3603,자연언어처리,3.0,4학년(2학기),
전공선택,,IT융합,,ITC4402,컴퓨터 그래픽스 활용,3.0,2학년(1학기),
전공선택,,IT융합,전공집중,ITC4604,HCI,3.0,4학년(1학기),
전공선택,,IT융합,전공핵심,ITC4609,컴퓨터보안,3.0,4학년(2학기),
전공선택,,IT융합,전공핵심,ITC4610,VR/AR,3.0,3학년(2학기),
전공선택,,IT융합,전공집중,ITC4611,인공지능,3.0,3학년(1학기),
전공선택,,IT융합,전공집중,ITC4613,펌웨어개발,3.0,3학년(2학기),
전공선택,,IT융합,,ITC4616,AI임베디드컴퓨팅,3.0,4학년(1학기),
전공선택,,IT융합,,ITC4617,영상처리,3.0,4학년(2학기),
전공선택,,IT융합,,ITC4619,데이터마이닝,3.0,4학년(2학기),
전공선택,,SW고급,전공핵심,ITC3402,오퍼레이팅시스템,3.0,3학년(1학기),
전공선택,,SW고급,전공핵심,ITC3405,알고리즘,3.0,3학년,
전공선택,,SW고급,전공핵심,ITC3408,컴퓨터네트워크,3.0,3학년(2학기),
전공선택,,SW고급,전공핵심,ITC3601,소프트웨어공학,3.0,3학년(1학기),
전공선택,,SW고급,,ITC4056,클라이언트프로그래밍,3.0,4학년(1학기),
전공선택,,SW고급,전공집중,ITC4603,데이터분석,3.0,3학년(2학기),
전공선택,,SW고급,,ITC4618,기계학습,3.0,4학년(1학기),
전공선택,,SW기초,,ITC1206,객체지향프로그래밍 2,3.0,2학년(1학기),
전공선택,,SW기초,,ITC1207,프로그래밍 기초,3.0,1학년(1학기),
전공선택,,SW기초,전공기반,ITC2203,인터넷프로그래밍,3.0,2학년(1학기),
전공선택,,SW기초,전공핵심,ITC2205,모바일프로그래밍,3.0,2학년(2학기),
전공선택,,SW기초,,ITC2208,논리&디지털회로,3.0,2학년(2학기),
전공선택,,SW기초,,ITC2210,데이터사이언스 기초,3.0,2학년(2학기),
전공선택,,SW기초,전공기반,ITC3407,데이터베이스,3.0,2학년(1학기),
전공선택,,SW기초,전공집중,ITC4612,웹서버프로그래밍,3.0,2학년(2학기),
