A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,기초교양,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,기초교양,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,MTH1003,고급수학 1 - Inha Honors Course,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,MTH1011,일반수학연습 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,MTH1012,일반수학연습 2,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,MTH1031,계산수학,3.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양,,PHY1001,물리학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,PHY1002,물리학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,PHY1003,물리학실험 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,PHY1004,물리학실험 2,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,BIO1001,생명과학개론,3.0,1학년,4과목중 택1(택 1과목)
교양필수,계열교양영역,계열교양,,CHM1023,일반화학,3.0,1학년,4과목중 택1(택 1과목)
교양필수,계열교양영역,계열교양,,OCN1005,일반해양학,3.0,1학년,4과목중 택1(택 1과목)
교양필수,계열교양영역,계열교양,,STS1801,일반통계학,3.0,1학년,4과목중 택1(택 1과목)
전공필수,,공통과정,,MTH1053,수학논리및논술,3.0,1학년(2학기),
전공필수,,공통과정,,MTH2005,해석학1,3.0,2학년(1학기),
전공필수,,공통과정,,MTH2012,선형대수학 1,3.0,2학년(1학기),
전공선택,,공통과정,전공핵심,MTH2003,미분방정식 1,3.0,2학년(1학기),
전공선택,,공통과정,전공기반,MTH2004,집합론,3.0,2학년(1학기),
전공선택,,공통과정,전공핵심,MTH4901,수학사,3.0,4학년(2학기),
전공선택,,순수수학,,MTH2022,선형대수학 2,3.0,2학년(2학기),
전공선택,,순수수학,전공핵심,MTH2102,해석학 2,3.0,2학년(2학기),
전공선택,,순수수학,전공기반,MTH2211,정수론 1,3.0,2학년(2학기),
전공선택,,순수수학,전공핵심,MTH2502,미분방정식 2,3.0,2학년(2학기),
전공선택,,순수수학,전공핵심,MTH3103,복소해석학 1,3.0,3학년(1학기),
전공선택,,순수수학,전공핵심,MTH3104,복소해석학 2,3.0,3학년(2학기),
전공선택,,순수수학,전공기반,MTH3221,대수학 1,3.0,3학년(1학기),
전공선택,,순수수학,전공핵심,MTH3222,대수학 2,3.0,3학년(2학기),
전공선택,,순수수학,전공기반,MTH3301,위상수학 1,3.0,3학년(1학기),
전공선택,,순수수학,전공핵심,MTH3302,위상수학 2,3.0,3학년(2학기),
전공선택,,순수수학,전공핵심,MTH3400,이산수학과 그래프이론,3.0,3학년(1학기),
전공선택,,순수수학,전공핵심,MTH3410,구체수학,3.0,3학년(2학기),
전공선택,,순수수학,,MTH4110,실해석학,3.0,4학년(1학기),
전공선택,,순수수학,전공핵심,MTH4212,정수론 2,3.0,4학년(1학기),
전공선택,,순수수학,전공핵심,MTH4311,미분기하학 1,3.0,4학년(1학기),
전공선택,,순수수학,전공집중,MTH4312,미분기하학 2,3.0,4학년(2학기),
전공선택,,순수수학,전공집중,MTH4400,조합론,3.0,4학년(1학기),
전공선택,,순수수학,전공핵심,MTH4511,편미분방정식,3.0,4학년(1학기),
전공선택,,응용수학,,MTH2504,파이썬스런파이썬,3.0,2학년(1학기),
전공선택,,응용수학,,MTH2602,수학과컴퓨터,3.0,"2학년(1,2학기)",
전공선택,,응용수학,전공기반,MTH2651,응용수학입문,3.0,2학년(2학기),
전공선택,,응용수학,,MTH3621,수치선형대수학,3.0,3학년(2학기),
전공선택,,응용수학,,MTH3622,수치해석학,3.0,3학년(1학기),
전공선택,,응용수학,전공핵심,MTH3701,보험수학,3.0,3학년(1학기),
전공선택,,응용수학,전공핵심,MTH3702,보험계리학 이론과 실무,3.0,3학년(2학기),
전공선택,,응용수학,,MTH3712,암호론,3.0,3학년(2학기),
전공선택,,응용수학,전공핵심,MTH3760,선형계획법,3.0,3학년(2학기),
전공선택,,응용수학,전공집중,MTH4703,금융수학,3.0,4학년(2학기),
전공선택,,응용수학,전공집중,MTH4721,생물수학,3.0,4학년(2학기),
전공선택,,응용수학,전공핵심,MTH4760,네트워크 최적화,3.0,4학년(1학기),
전공선택,,AI수학,,MTH3502,인공지능을 위한 수학 1,3.0,3학년(1학기),
전공선택,,AI수학,,MTH4503,인공지능을 위한 수학 2,3.0,4학년(2학기),
