A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,BIO1001,생명과학개론,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,CHM1023,일반화학,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양,,STS1801,일반통계학,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양,,MTH1001,일반수학 1,3.0,"1학년(1,2학기)",계열교양 선택과목 (택1)(택 1과목)
교양필수,계열교양영역,계열교양,,OCN1005,일반해양학,3.0,"1학년(1,2학기)",계열교양 선택과목 (택1)(택 1과목)
교양필수,계열교양영역,계열교양,,PHY1005,일반물리학,3.0,"1학년(1,2학기)",계열교양 선택과목 (택1)(택 1과목)
전공필수,,공통과정,,FAN1107,식품영양학의 이해,1.0,1학년(2학기),
전공필수,,공통과정,전공집중,FAN2109,식품영양유기화학실험,2.0,2학년(2학기),
전공필수,,공통과정,,FAN4417,식품영양세미나,1.0,4학년(1학기),
전공필수,,식품학,전공집중,FAN4208,식품분석 및 실험,3.0,4학년(1학기),
전공필수,,영양학,,FAN2306,영양생화학실험,2.0,2학년(2학기),
전공필수,,영양학,전공집중,FAN3309,영양판정 및 실험,3.0,3학년(2학기),
전공선택,,공통과정,전공기반,FAN1102,식품영양전공영어,3.0,1학년(1학기),
전공선택,,공통과정,전공핵심,FAN2106,공중보건학,3.0,2학년(1학기),
전공선택,,공통과정,전공핵심,FAN2108,식품영양유기화학,3.0,2학년(1학기),
전공선택,,식품학,전공핵심,FAN2201,식품학,3.0,2학년(2학기),
전공선택,,식품학,전공핵심,FAN2202,식품미생물학,3.0,2학년(2학기),
전공선택,,식품학,전공핵심,FAN3203,고급식품학,3.0,3학년(1학기),
전공선택,,식품학,전공핵심,FAN3204,식품미생물학실험,2.0,3학년(1학기),
전공선택,,식품학,전공핵심,FAN3205,식품저장학,3.0,3학년(2학기),
전공선택,,식품학,전공핵심,FAN3206,식품위생학,3.0,3학년(2학기),
전공선택,,식품학,전공기반,FAN3207,식품재료학,3.0,3학년(2학기),
전공선택,,식품학,전공핵심,FAN4209,식품가공학,3.0,4학년(1학기),
전공선택,,식품학,전공핵심,FAN4210,발효식품학,3.0,3학년(1학기),
전공선택,,식품학,전공핵심,FAN4211,식품위생법규,2.0,4학년(1학기),
전공선택,,식품학,전공집중,FAN4213,식품품질관리,3.0,4학년(2학기),
전공선택,,영양학,전공기반,FAN1301,인체생리학,3.0,1학년(2학기),
전공선택,,영양학,전공핵심,FAN2302,기초영양생화학,3.0,2학년(1학기),
전공선택,,영양학,전공기반,FAN2303,영양학,3.0,2학년(2학기),
전공선택,,영양학,전공핵심,FAN2304,영양정보관리 및 상담,3.0,4학년(2학기),
전공선택,,영양학,전공핵심,FAN3306,고급영양학,3.0,3학년(1학기),
전공선택,,영양학,전공핵심,FAN3307,영양교육 및 상담실습,3.0,3학년(1학기),
전공선택,,영양학,전공핵심,FAN3308,생애주기영양학,3.0,3학년(1학기),
전공선택,,영양학,전공핵심,FAN4310,식사요법 및 실습,3.0,4학년(1학기),
전공선택,,영양학,전공핵심,FAN4311,지역사회영양학 및 실습,3.0,4학년(2학기),
전공선택,,영양학,전공핵심,FAN4312,세계영양문제 및 정책,3.0,4학년(2학기),
전공선택,,조리. 급식 및 기타,전공기반,FAN2401,조리원리 및 실습,3.0,2학년(1학기),
전공선택,,조리. 급식 및 기타,전공기반,FAN2402,세계음식문화,3.0,2학년(1학기),
전공선택,,조리. 급식 및 기타,전공기반,FAN2404,서양조리실습,3.0,2학년(2학기),
전공선택,,조리. 급식 및 기타,전공기반,FAN3404,식품코디네이션,3.0,4학년(2학기),
전공선택,,조리. 급식 및 기타,전공핵심,FAN3405,조리과학 및 실험,3.0,3학년(2학기),
전공선택,,조리. 급식 및 기타,전공핵심,FAN3408,외식상품개발 및 실습,3.0,4학년(2학기),
전공선택,,조리. 급식 및 기타,전공핵심,FAN3410,식생활관리,3.0,3학년(2학기),
전공선택,,조리. 급식 및 기타,,FAN3501,영양사현장실습,3.0,"3학년(1,2학기)",
전공선택,,조리. 급식 및 기타,전공핵심,FAN4411,식품유통과 마케팅 실습,3.0,4학년(2학기),
전공선택,,조리. 급식 및 기타,전공집중,FAN4413,건강기능식품개발 및 실험,3.0,4학년(2학기),
전공선택,,조리. 급식 및 기타,전공핵심,FAN4416,단체급식,3.0,4학년(1학기),
전공선택,,조리. 급식 및 기타,,FAN4418,급식경영,3.0,4학년(2학기),
