A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
전공필수,,기초공통,전공기반,ECE2240,회로이론 1,3.0,2학년(1학기),
전공필수,,기초공통,전공기반,ICE2011,디지털논리회로,3.0,2학년(2학기),
전공필수,,기초공통,,ICE2014,디지털논리회로,3.0,2학년(2학기),
전공필수,,기초공통,,SEE3101,반도체개론,3.0,3학년(1학기),
전공필수,,기초공통,,SEE3102,전기자기학,3.0,3학년(1학기),
전공필수,,전공기초,전공기반,ECE2250,전자회로 1,3.0,2학년(2학기),
전공필수,,전공기초,전공핵심,MSE3020,반도체공정,3.0,3학년(2학기),
전공필수,,전공기초,전공핵심,MSE3025,반도체소자,3.0,3학년(1학기),
전공선택,,기초공통,전공핵심,ECE2247,전기자기학 2,3.0,3학년(2학기),
전공선택,,기초공통,전공기반,ICE2006,정보통신기초설계/실습 1,1.0,2학년(1학기),
전공선택,,기초공통,전공기반,ICE2007,정보통신기초설계/실습 2,1.0,2학년(2학기),
전공선택,,기초공통,,SEE4200,인공지능입문,3.0,3학년(2학기),
전공선택,,전공기초,전공핵심,ECE3351,반도체소자 2,3.0,3학년(2학기),
전공선택,,전공기초,전공핵심,ECE3361,전자회로 2,3.0,3학년(1학기),
전공선택,,전공기초,,ECE4372,마이크로프로세서응용,3.0,4학년(2학기),
전공선택,,전공기초,전공기반,EEE2002,회로이론 2,3.0,2학년(2학기),
전공선택,,전공기초,전공핵심,EEE3106,컴퓨터구조론,3.0,3학년(1학기),
전공선택,,전공기초,전공핵심,EEE3210,전력용 반도체소자,3.0,3학년(2학기),
전공선택,,전공기초,전공핵심,ICE4001,광자공학기초,3.0,4학년(1학기),
전공선택,,전공기초,전공핵심,ICE4003,광집적회로,3.0,4학년(1학기),
전공선택,,전공기초,전공핵심,ICE4005,디지털시스템설계,4.0,4학년(1학기),
전공선택,,전공기초,전공집중,ICE4006,디지털집적회로설계,4.0,4학년(2학기),
전공선택,,전공기초,전공핵심,MSE3009,전자재료물성,3.0,3학년(1학기),
전공선택,,전공기초,전공핵심,MSE3010,디스플레이공학,3.0,3학년(2학기),
전공선택,,전공기초,전공핵심,MSE3024,박막공학,3.0,3학년(2학기),
전공선택,,전공기초,전공핵심,MSE4009,반도체공학,3.0,4학년(2학기),
전공선택,,전공기초,전공핵심,PHY2015,전자물리학 및 실습,3.0,2학년(1학기),
전공선택,,전공기초,,PHY2017,전자물리학,3.0,2학년(1학기),
전공선택,,전공기초,,PHY3021,양자물리학 1,3.0,3학년(1학기),
전공선택,,전공기초,,PHY3022,양자물리학 2,3.0,3학년(2학기),
전공선택,,전공기초,,SEE3000,반도체 공정장비실습,3.0,"3학년(1,2학기)",
전공선택,,전공기초,,SEE3203,메모리반도체기술,3.0,3학년(2학기),
전공선택,,전공심화,,CHE4404,무기전자재료,3.0,4학년(2학기),
전공선택,,전공심화,전공핵심,ECE4343,아날로그회로설계,4.0,4학년(1학기),
전공선택,,전공심화,전공집중,ECE4415,혼성신호집적회로설계,4.0,4학년(2학기),
전공선택,,전공심화,전공핵심,ECE4449,MEMS개요,3.0,4학년(2학기),
전공선택,,전공심화,,ECE4450,MEMS개요,3.0,4학년(2학기),
전공선택,,전공심화,,ECE4462,나노집적반도체소자,3.0,4학년(2학기),
전공선택,,전공심화,,ECE4469,유기전자공학,3.0,4학년(1학기),
전공선택,,전공심화,전공핵심,ICE3014,오퍼레이팅시스템,3.0,3학년(2학기),
전공선택,,전공심화,,ICE4032,시스템반도체설계,3.0,4학년(1학기),
전공선택,,전공심화,전공집중,MSE4004,전자세라믹스,3.0,4학년(1학기),
전공선택,,전공심화,전공집중,MSE4007,나노물성 및 합성,3.0,4학년(2학기),
전공선택,,전공심화,전공핵심,MSE4010,센서재료와 소자,3.0,4학년(2학기),
전공선택,,전공심화,전공집중,MSE4013,전자패키지재료,3.0,4학년(1학기),
전공선택,,전공심화,전공핵심,PHY3403,고체물리학,3.0,3학년(2학기),
전공선택,,전공심화,,PHY4408,첨단반도체 소자물리,3.0,4학년(2학기),
전공선택,,전공심화,전공집중,PSE4070,나노공학,3.0,4학년(2학기),
전공선택,,전공심화,,SEE4201,반도체패키지,3.0,4학년(2학기),
전공선택,,전공심화,,SEE4202,반도체응용광학,3.0,4학년(2학기),
전공선택,,직무훈련,,SEE3001,반도체 산학프로젝트,3.0,3학년(2학기),
