A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,계열교양영역,,APL1101,물류학의 이해,3.0,"1학년(1,2학기)",
교양필수,학과(부)교양필수,계열교양영역,,APL1104,통계학의 이해 1,3.0,1학년(1학기),
교양필수,학과(부)교양필수,계열교양영역,,APL1105,통계학의 이해 2,3.0,1학년(2학기),
교양필수,학과(부)교양필수,계열교양영역,,APL1106,물류수학,3.0,1학년(1학기),
교양필수,학과(부)교양필수,계열교양영역,,APL1108,컴퓨터프로그래밍 입문,3.0,1학년(2학기),
교양필수,학과(부)교양필수,계열교양영역,,CBA1102,경영학원론,3.0,1학년(2학기),
교양필수,학과(부)교양필수,계열교양영역,,CBA1103,경제학,3.0,1학년(2학기),
교양필수,계열교양영역,,,,SW�AI,3.0,전체,교양교과과정참조
전공필수,,전공공통과정,전공기반,APL2101,물류관리론,3.0,2학년(1학기),
전공필수,,전공공통과정,전공기반,APL2102,물류시스템분석,3.0,2학년(2학기),
전공필수,,전공공통과정,전공기반,APL2103,국제물류론,3.0,2학년(1학기),
전공필수,,전공공통과정,전공기반,APL2104,물류경제론,3.0,2학년(2학기),
전공필수,,전공공통과정,전공핵심,APL2105,Business English 1,3.0,"2학년(1,2학기)",
전공필수,,전공공통과정,전공핵심,APL2106,Business English 2,3.0,"2학년(1,2학기)",
전공선택,,공급사슬물류,전공기반,APL2201,구매물류,3.0,전체(1학기),
전공선택,,공급사슬물류,전공기반,APL2202,제조물류,3.0,전체(2학기),
전공선택,,공급사슬물류,전공핵심,APL2204,유통물류,3.0,전체(2학기),
전공선택,,공급사슬물류,전공핵심,APL2205,물류서비스 운영,3.0,전체(2학기),
전공선택,,공급사슬물류,전공핵심,APL2207,물류회계,3.0,전체(1학기),
전공선택,,공급사슬물류,전공기반,APL2301,화물운송론,3.0,전체(1학기),
전공선택,,공급사슬물류,전공기반,APL2302,물류의사결정론,3.0,전체(1학기),
전공선택,,공급사슬물류,전공기반,APL3208,공급사슬관리,3.0,전체(2학기),
전공선택,,공급사슬물류,전공핵심,APL3209,글로벌소싱,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL3212,공급사슬 계획과 운영,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL3215,전자상거래와 물류,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL3216,CJ 물류 비즈니스 1,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL3217,CJ 물류 비즈니스 2,3.0,전체(2학기),
전공선택,,공급사슬물류,전공집중,APL3218,글로벌 공급사슬 전략과 사례,3.0,전체(2학기),
전공선택,,공급사슬물류,,APL3220,물류빅데이터분석,3.0,전체(2학기),
전공선택,,공급사슬물류,,APL3221,물류자산관리,3.0,4학년(1학기),
전공선택,,공급사슬물류,,APL3222,지속가능물류,3.0,4학년(1학기),
전공선택,,공급사슬물류,전공집중,APL3304,물류네트워크 분석,3.0,전체(2학기),
전공선택,,공급사슬물류,전공핵심,APL3305,철도물류와 산업,3.0,4학년(2학기),
전공선택,,공급사슬물류,전공핵심,APL3306,물류정보시스템,3.0,전체(2학기),
전공선택,,공급사슬물류,전공기반,APL3307,보관하역론,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL3308,물류시뮬레이션,3.0,전체(1학기),
전공선택,,공급사슬물류,전공집중,APL3309,물류패키징,3.0,전체(2학기),
전공선택,,공급사슬물류,전공집중,APL4221,물류 신기술과 혁신 방법론,3.0,전체(2학기),
전공선택,,공급사슬물류,,APL4225,물류혁신과 스타트업,3.0,4학년(1학기),
전공선택,,공급사슬물류,,APL4226,물류AI프로그래밍,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL4311,물류시설 계획과 운영,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL4313,CJ 물류컨설팅 방법론과 사례,3.0,전체(1학기),
전공선택,,공급사슬물류,전공집중,APL4315,물류기술경영,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL4316,물류보안과 안전,3.0,전체(1학기),
전공선택,,공급사슬물류,전공핵심,APL4319,물류컨설팅,3.0,전체(2학기),
전공선택,,공급사슬물류,전공핵심,APL4321,물류비즈니스모델링,3.0,전체(2학기),
전공선택,,공급사슬물류,전공핵심,APL4322,취업역량강화세미나,2.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL2403,국제통상의 이해,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공기반,APL2404,해상운송론,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공기반,APL2405,항공운송론,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL2406,항공물류론,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공기반,APL2501,물류계량분석,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL2502,물류법의 이해,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공기반,APL2503,물류산업론,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL2504,물류정책론,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL2505,환경물류론,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공기반,APL2506,글로벌물류시장분석,3.0,전체(1학기),
전공선택,,국제물류 및 산업,,APL2507,글로벌경제와 물류,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3408,국제물류실무,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3409,국제운송법,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL3410,해운서비스경영,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL3411,항공서비스경영,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL3412,항만경영론,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL3413,공항경영론,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3415,국제운송보험론,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3417,선박금융론,3.0,전체(2학기),
전공선택,,국제물류 및 산업,,APL3418,글로벌물류와 e트레이드,3.0,3학년(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3507,중국물류시장분석,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3508,지역물류시장분석,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3509,물류법규,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3510,물류투자분석,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공핵심,APL3511,육상운송시장분석,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL3512,해운산업경제론,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL3513,항공산업경제론,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL3514,물류수요분석,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공집중,APL4418,국제복합운송,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL4419,국제포워딩,3.0,전체(1학기),
전공선택,,국제물류 및 산업,,APL4423,글로벌물류혁신세미나,3.0,전체(2학기),
전공선택,,국제물류 및 산업,전공집중,APL4515,물류계량분석실습,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공집중,APL4517,수요예측,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공집중,APL4518,물류산업정책사례분석,3.0,전체(1학기),
전공선택,,국제물류 및 산업,전공핵심,APL4520,자원 및 에너지 물류,3.0,전체(2학기),
전공선택,,전공공통과정,전공핵심,APL2107,해외 물류지식연수 1,3.0,전체,
전공선택,,전공공통과정,전공핵심,APL2108,해외 물류지식연수 2,3.0,전체,
