A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),기초교양(일반과목군)(택 1과목)
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),중점교양(택 2과목)
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",중점교양(택 2과목)
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양,,HUM1001,언어의 이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1002,문학의 이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1003,문화사의 이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1004,철학의 이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1005,문화학의이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,계열교양,,HUM1011,중국어 1,3.0,1학년(1학기),계열교양 외국어1(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1021,일본어 1,3.0,1학년(1학기),계열교양 외국어1(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1031,프랑스어 1,3.0,1학년(1학기),계열교양 외국어1(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1041,한문 1,3.0,1학년(1학기),계열교양 외국어1(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1012,중국어 2,3.0,1학년(2학기),계열교양 외국어2(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1022,일본어 2,3.0,1학년(2학기),계열교양 외국어2(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1032,프랑스어 2,3.0,1학년(2학기),계열교양 외국어2(택 1과목)
교양필수,계열교양영역,계열교양,,HUM1042,한문 2,3.0,1학년(2학기),계열교양 외국어2(택 1과목)
전공필수,,기초공통,,ENG1401,영어토론과프레젠테이션,3.0,"1학년(1,2학기)",
전공필수,,기초공통,,ENG1402,영문학개론,3.0,"1학년(1,2학기)",
전공필수,,기초공통,전공기반,ENG2201,영어학개론,3.0,"2학년(1,2학기)",
전공필수,,기초공통,전공기반,ENG2303,기술영어글쓰기,3.0,"2학년(1,2학기)",
전공선택,,기초공통,전공핵심,ENG2204,영어독해의 이론과 실제,3.0,2학년(1학기),
전공선택,,기초공통,전공기반,ENG2304,영어발음클리닉,3.0,2학년(1학기),
전공선택,,기초공통,,ENG2401,표현영어글쓰기,3.0,"2학년(1,2학기)",
전공선택,,기초공통,,ENG2402,영문학고전읽기,3.0,2학년(1학기),
전공선택,,기초공통,전공핵심,ENG3007,고급영어회화,3.0,3학년(2학기),
전공선택,,기초공통,전공기반,ENG3009,번역의 이론과 실제,3.0,3학년(1학기),
전공선택,,기초공통,전공기반,ENG3311,분석영어글쓰기,3.0,3학년(2학기),
전공선택,,기초공통,,ENG3403,한영번역연습,3.0,3학년(2학기),
전공선택,,기초공통,,ENG3404,고급영어토론과프레젠테이션,3.0,"3학년(1,2학기)",
전공선택,,기초공통,전공핵심,ENG4306,취업 및 창업 세미나,2.0,4학년,
전공선택,,영문학전공,전공핵심,ENG2103,영미단편소설,3.0,2학년(2학기),
전공선택,,영문학전공,전공핵심,ENG2105,영미아동청소년문학,3.0,2학년(2학기),
전공선택,,영문학전공,전공핵심,ENG3106,영국문학개관 1,3.0,3학년(1학기),
전공선택,,영문학전공,전공핵심,ENG3107,영국문학개관 2,3.0,3학년(2학기),
전공선택,,영문학전공,전공핵심,ENG3108,미국문학개관 1,3.0,3학년(1학기),
전공선택,,영문학전공,전공핵심,ENG3109,미국문학개관 2,3.0,3학년(2학기),
전공선택,,영문학전공,전공핵심,ENG3114,영미에세이,3.0,3학년(2학기),
전공선택,,영문학전공,전공핵심,ENG3314,영미소설,3.0,3학년(1학기),
전공선택,,영문학전공,전공핵심,ENG3315,영미희곡,3.0,3학년(2학기),
전공선택,,영문학전공,전공집중,ENG4305,영미시,3.0,4학년(1학기),
전공선택,,영미디지털미디어콘텐츠전공,전공핵심,ENG2006,미디어영어,3.0,2학년(2학기),
전공선택,,영미디지털미디어콘텐츠전공,전공핵심,ENG2104,미디어로 본 영미사회,3.0,2학년(1학기),
전공선택,,영미디지털미디어콘텐츠전공,,ENG3401,영미공연예술과 미디어,3.0,3학년(1학기),
전공선택,,영미디지털미디어콘텐츠전공,,ENG3402,서구문화원형과 미디어,3.0,3학년(2학기),
전공선택,,영미디지털미디어콘텐츠전공,,ENG3407,숏폼스토리텔링,3.0,3학년(1학기),
전공선택,,영미디지털미디어콘텐츠전공,,ENG4403,디지털미디어서사연구,3.0,4학년(1학기),
전공선택,,영어권문화연구전공,전공핵심,ENG2305,문화연구개론,3.0,2학년(1학기),
전공선택,,영어권문화연구전공,전공핵심,ENG3313,현대영미문화산업,3.0,3학년(2학기),
전공선택,,영어권문화연구전공,,ENG3405,영국역사와문화,3.0,3학년(1학기),
전공선택,,영어권문화연구전공,전공집중,ENG4120,문학이론과 문화비평,3.0,4학년(2학기),
전공선택,,영어권문화연구전공,전공핵심,ENG4122,영연방 세계의 이해,3.0,4학년(2학기),
전공선택,,영어권문화연구전공,전공핵심,ENG4301,문학과 시각문화,3.0,4학년(2학기),
전공선택,,영어권문화연구전공,전공핵심,ENG4303,미국문화와 한국,3.0,4학년(2학기),
전공선택,,영어권문화연구전공,전공집중,ENG4304,미국다문화의 이해,3.0,4학년(1학기),
전공선택,,영어권문화연구전공,,ENG4402,글로벌 셰익스피어,3.0,4학년(1학기),
전공선택,,영어학전공,전공핵심,ENG2203,영문법,3.0,2학년(1학기),
전공선택,,영어학전공,,ENG2205,미국언어와 생활,3.0,2학년(2학기),
전공선택,,영어학전공,,ENG3201,영어 음성학,3.0,3학년(2학기),
전공선택,,영어학전공,전공핵심,ENG3206,영어문장구조의 이해,3.0,3학년(1학기),
전공선택,,영어학전공,전공핵심,ENG3207,영어의 의미와 활용,3.0,3학년(1학기),
전공선택,,영어학전공,전공핵심,ENG3208,사회와 영어,3.0,3학년(2학기),
전공선택,,영어학전공,전공집중,ENG3211,고급 영문법,3.0,4학년(2학기),
