A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,ARS1001,미술과여행,3.0,1학년(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1002,디지털 시대의 미술,3.0,1학년(2학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1103,여가와삶,3.0,1학년(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1104,파워바디플랜,3.0,1학년(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1105,현대사회와스포츠,3.0,1학년(2학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1113,영화와 대중문화,3.0,"1학년(1,2학기)",계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1114,공연예술의이해,3.0,"1학년(1,2학기)",계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1500,세계디자인여행,3.0,1학년(1학기),계열교양영역(택 1과목)
교양필수,계열교양영역,계열교양영역,,ARS1503,사진과 영상의 이해,3.0,1학년(2학기),계열교양영역(택 1과목)
전공필수,,공통,전공핵심,FDT4902,의류디자인학프로젝트,4.0,4학년(1학기),
전공필수,,의류과학,전공핵심,FDT2206,의류생산과품질시험,3.0,3학년(1학기),
전공필수,,의복설계,전공핵심,FDT2104,어패럴메이킹,3.0,2학년(1학기),
전공필수,,패션디자인,,FDT2417,패션디자인아이디에이션,3.0,2학년(2학기),
전공필수,,패션마케팅,전공기반,FDT1305,패션비즈니스의이해,3.0,1학년(1학기),
전공선택,,공통,전공핵심,FDT4903,의류디자인학 연구방법론,3.0,4학년(1학기),
전공선택,,공통,,FDT4904,패션스타트업,2.0,4학년(2학기),
전공선택,,의류과학,전공기반,FDT1201,직물과편성물,3.0,1학년(2학기),
전공선택,,의류과학,전공핵심,FDT2205,패션소재기획,3.0,2학년(2학기),
전공선택,,의류과학,,FDT2209,패션섬유와신소재,3.0,2학년(1학기),
전공선택,,의류과학,전공핵심,FDT3209,의복환경학,3.0,2학년(1학기),
전공선택,,의류과학,,FDT3211,염색가공,3.0,3학년(2학기),
전공선택,,의류과학,전공핵심,FDT4209,3D어패럴캐드,3.0,4학년(1학기),
전공선택,,의복설계,전공기반,FDT1102,기초의복구성실습,3.0,1학년(2학기),
전공선택,,의복설계,전공핵심,FDT2103,드레이핑,3.0,2학년(2학기),
전공선택,,의복설계,전공기반,FDT2105,서양복식문화사,3.0,2학년(2학기),
전공선택,,의복설계,전공핵심,FDT3104,테일러링,3.0,3학년(1학기),
전공선택,,의복설계,,FDT3108,패턴캐드실습,3.0,3학년(2학기),
전공선택,,의복설계,전공핵심,FDT4108,한국의복문화사,3.0,4학년(2학기),
전공선택,,의복설계,,FDT4109,테크니컬디자인실습,3.0,4학년(1학기),
전공선택,,패션디자인,전공기반,FDT1404,패션디자인론,3.0,1학년(1학기),
전공선택,,패션디자인,전공기반,FDT1406,패션드로잉,3.0,1학년(1학기),
전공선택,,패션디자인,전공핵심,FDT1408,패션일러스트레이션,3.0,1학년(2학기),
전공선택,,패션디자인,전공기반,FDT2412,패션과색채디자인,3.0,2학년(2학기),
전공선택,,패션디자인,전공기반,FDT2413,기초컴퓨터디자인,2.0,2학년(2학기),
전공선택,,패션디자인,,FDT2416,기초패션디자인,3.0,2학년(1학기),
전공선택,,패션디자인,전공핵심,FDT3409,디자인트렌드와문화,3.0,3학년(1학기),
전공선택,,패션디자인,전공핵심,FDT3410,입체디자인스튜디오,3.0,3학년(2학기),
전공선택,,패션디자인,전공집중,FDT3413,패션디자인 2,3.0,3학년(2학기),
전공선택,,패션디자인,전공핵심,FDT3415,패션캐드,3.0,2학년(1학기),
전공선택,,패션디자인,,FDT3416,패션디자인1,3.0,3학년(1학기),
전공선택,,패션디자인,전공핵심,FDT4413,패션사진과스타일링,3.0,4학년(2학기),
전공선택,,패션디자인,전공집중,FDT4414,패션액세서리디자인,3.0,4학년(1학기),
전공선택,,패션마케팅,전공기반,FDT1306,패션마케팅,3.0,1학년(2학기),
전공선택,,패션마케팅,전공핵심,FDT2304,의상사회심리,3.0,2학년(1학기),
전공선택,,패션마케팅,,FDT2308,패션리테일기획,3.0,2학년(1학기),
전공선택,,패션마케팅,,FDT2309,비주얼머천다이징,3.0,2학년(2학기),
전공선택,,패션마케팅,전공핵심,FDT3307,패션브랜드매니지먼트,3.0,3학년(1학기),
전공선택,,패션마케팅,,FDT3310,디지털패션마케팅,3.0,3학년(1학기),
전공선택,,패션마케팅,,FDT3311,패션글로벌소싱,3.0,3학년(2학기),
전공선택,,패션마케팅,,FDT3312,패션머천다이징,3.0,3학년(2학기),
전공선택,,패션마케팅,전공핵심,FDT4311,글로벌패션비즈니스이슈,3.0,4학년(2학기),
