A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,기초교양,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,기초교양,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,기초교양,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,기초교양,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,중점교양,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,중점교양,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,1학년(2학기),
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
전공필수,,전공필수,,PMD1002,일반화학,3.0,1학년(1학기),
전공필수,,전공필수,전공기반,PMD1008,인체생물학,3.0,1학년(1학기),
전공필수,,전공필수,전공기반,PMD1010,의대생 입문,2.0,1학년(1학기),
전공필수,,전공필수,전공기반,PMD1011,인체 생화학,3.0,1학년(2학기),
전공필수,,전공필수,,PMD1015,의료와 사회,3.0,1학년(2학기),
전공필수,,전공필수,,PMD2010,세포의 구조와 기능,3.0,2학년(1학기),
전공필수,,전공필수,,PMD2011,인체의 대사,3.0,2학년(2학기),
전공필수,,전공필수,,PMD2012,의과학실험 입문,4.0,2학년(1학기),
전공필수,,전공필수,,PMD2015,의과학실험 심화,4.0,2학년(2학기),
전공필수,,전공필수,,PMD2017,의학연구방법의 이론과 실제,4.0,2학년(2학기),
전공필수,,전공필수,,PMD2101,종합평가 1,1.0,2학년(2학기),
