A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,HUM1001,언어의 이해,3.0,"1학년(1,2학기)",계열교양1(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1002,문학의 이해,3.0,"1학년(1,2학기)",계열교양1(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1003,문화사의 이해,3.0,"1학년(1,2학기)",계열교양1(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1004,철학의 이해,3.0,"1학년(1,2학기)",계열교양1(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1005,문화학의이해,3.0,"1학년(1,2학기)",계열교양1(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1011,중국어 1,3.0,1학년(1학기),계열교양외국어1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1021,일본어 1,3.0,1학년(1학기),계열교양외국어1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1031,프랑스어 1,3.0,1학년(1학기),계열교양외국어1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1041,한문 1,3.0,1학년(1학기),계열교양외국어1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1012,중국어 2,3.0,1학년(2학기),계열교양외국어2(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1022,일본어 2,3.0,1학년(2학기),계열교양외국어2(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1032,프랑스어 2,3.0,1학년(2학기),계열교양외국어2(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1042,한문 2,3.0,1학년(2학기),계열교양외국어2(택 1과목)
전공필수,,일본언어,전공기반,JPN3006,일본어문형연구,3.0,2학년(2학기),
전공선택,,일본교육 및 기타,전공집중,JPN3012,일본신문연구,3.0,4학년(2학기),
전공선택,,일본교육 및 기타,전공핵심,JPN3013,일본어통역번역연습,3.0,4학년(1학기),
전공선택,,일본교육 및 기타,,JPN3036,비지니스 일본어,3.0,3학년(2학기),
전공선택,,일본교육 및 기타,전공핵심,JPN4016,제이팝일본어,3.0,3학년(1학기),
전공선택,,일본문화,전공핵심,JPN2013,일본 문화론,3.0,3학년(2학기),
전공선택,,일본문화,,JPN2022,일본문학의 이해,3.0,2학년(1학기),
전공선택,,일본문화,,JPN2023,일본의 사회와 문학,3.0,2학년(2학기),
전공선택,,일본문화,전공핵심,JPN3020,일본근�현대소설,3.0,3학년(1학기),
전공선택,,일본문화,전공핵심,JPN3022,일본문학산책,3.0,4학년(1학기),
전공선택,,일본문화,전공집중,JPN3023,일본문학특강,3.0,4학년(2학기),
전공선택,,일본문화,전공핵심,JPN3025,일본 근현대 문화,3.0,2학년(1학기),
전공선택,,일본문화,,JPN3037,일본고전문학,3.0,3학년(2학기),
전공선택,,일본문화,전공핵심,JPN4018,한일관계의 어제와 오늘,3.0,3학년(1학기),
전공선택,,일본언어,전공핵심,JPN3031,일본의 한자와 한어,3.0,3학년(2학기),
전공선택,,일본언어,전공핵심,JPN3034,일본어 음성의 이해,3.0,2학년(1학기),
전공선택,,일본언어,,JPN3035,일본어어휘론,3.0,3학년(1학기),
전공선택,,일본언어,전공핵심,JPN4009,일본어의 역사,3.0,4학년(2학기),
전공선택,,일본언어,전공집중,JPN4017,일본어고전문법,3.0,4학년(1학기),
전공선택,,전공기초과정,전공기반,JPN1001,일본어연습 1,3.0,1학년(1학기),
전공선택,,전공기초과정,전공기반,JPN1002,일본어연습 2,3.0,1학년(2학기),
전공선택,,전공기초과정,전공기반,JPN1003,일본어문법 1,3.0,2학년(1학기),
전공선택,,전공기초과정,,JPN1106,일본언어문화학입문,3.0,1학년(1학기),
전공선택,,전공기초과정,전공기반,JPN2001,일본어문법 2,3.0,2학년(2학기),
전공선택,,전공기초과정,전공기반,JPN2002,일본어강독 2,3.0,2학년(2학기),
전공선택,,전공기초과정,전공기반,JPN2003,일본어작문 1,3.0,2학년(1학기),
전공선택,,전공기초과정,전공핵심,JPN2016,실용일본어,3.0,3학년(2학기),
전공선택,,전공기초과정,전공기반,JPN2020,일본어강독 1,3.0,2학년(1학기),
전공선택,,전공기초과정,,JPN2100,일본어작문2,3.0,2학년(2학기),
전공선택,,전공기초과정,전공핵심,JPN3014,일본어표현연습,3.0,3학년(1학기),
전공선택,,전공기초과정,전공핵심,JPN4001,일본어토론과 프레젠테이션,3.0,4학년(1학기),
전공선택,,전공기초과정,전공집중,JPN4006,일본어 상용문(商用文) 작성법,3.0,4학년(2학기),
전공선택,,현장실습,전공핵심,JPN3030,일본명사초청특강 및 현장체험,3.0,4학년(1학기),
