A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,기초교양,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,기초교양,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,기초교양,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,기초교양,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,기초교양,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,기초교양,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(2학기),미래사회와 소프트웨어 : 3과목 중 택 1(택 1과목)
교양필수,기초교양,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),미래사회와 소프트웨어 : 3과목 중 택 1(택 1과목)
교양필수,기초교양,,,GEB1143,미래사회와 소프트웨어-IT계열,3.0,1학년(2학기),미래사회와 소프트웨어 : 3과목 중 택 1(택 1과목)
교양필수,계열교양영역,계열교양,,LAS1001,전공탐색과 커리어설계,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양,,LAS1002,창의융합세미나,3.0,1학년(2학기),
교양필수,중점교양,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,중점교양,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,1학년(2학기),크로스오버 : 2과목 중 택 1(택 1과목)
교양필수,중점교양,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,1학년(2학기),크로스오버 : 2과목 중 택 1(택 1과목)
