A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
전공필수,,기초공통,전공기반,ICE2002,회로이론,3.0,2학년(1학기),
전공필수,,기초공통,전공기반,ICE2005,전자회로 1,3.0,2학년(2학기),
전공필수,,기초공통,전공기반,ICE2011,디지털논리회로,3.0,2학년(2학기),
전공필수,,직무훈련,,AIS4010,인공지능반도체 설계프로젝트,3.0,"4학년(1,2학기)",
전공선택,,기초공통,,AIE2002,인공지능프로그래밍,3.0,2학년(2학기),
전공선택,,기초공통,,AIE2003,선형대수,3.0,2학년(1학기),
전공선택,,기초공통,전공기반,ECE2248,물리전자,3.0,2학년(1학기),
전공선택,,기초공통,전공기반,ECE2266,C  프로그래밍,3.0,2학년(1학기),
전공선택,,기초공통,전공기반,ICE2003,전자기학 1,3.0,2학년(1학기),
전공선택,,기초공통,전공기반,ICE2006,정보통신기초설계/실습 1,1.0,2학년(1학기),
전공선택,,기초공통,전공기반,ICE2007,정보통신기초설계/실습 2,1.0,2학년(2학기),
전공선택,,전공기초,전공핵심,ECE2241,회로이론 2,3.0,2학년(2학기),
전공선택,,전공기초,전공핵심,ECE3349,반도체소자 1,3.0,3학년(1학기),
전공선택,,전공기초,,ECE4453,기계학습개론,3.0,3학년(2학기),
전공선택,,전공기초,전공기반,ICE2004,자료구조론,3.0,2학년(2학기),
전공선택,,전공기초,전공핵심,ICE2013,객체지향프로그래밍 응용,3.0,2학년(2학기),
전공선택,,전공기초,전공기반,ICE3001,신호및시스템,3.0,2학년(2학기),
전공선택,,전공기초,전공핵심,ICE3005,전자회로 2,3.0,3학년(1학기),
전공선택,,전공기초,전공핵심,ICE3013,시스템프로그래밍,3.0,3학년(1학기),
전공선택,,전공기초,전공핵심,ICE3014,오퍼레이팅시스템,3.0,3학년(2학기),
전공선택,,전공기초,전공핵심,ICE3020,알고리즘설계,4.0,3학년(1학기),
전공선택,,전공기초,전공핵심,ICE3106,아날로그 집적회로설계,4.0,3학년(2학기),
전공선택,,전공기초,전공핵심,ICE4004,컴퓨터구조론,3.0,3학년(2학기),
전공선택,,전공기초,전공핵심,ICE4005,디지털시스템설계,4.0,3학년(2학기),
전공선택,,전공기초,전공집중,ICE4006,디지털집적회로설계,4.0,3학년(2학기),
전공선택,,전공심화,,AIS4001,인공지능시스템반도체,3.0,"4학년(1,2학기)",
전공선택,,전공심화,전공핵심,ECE3351,반도체소자 2,3.0,3학년(2학기),
전공선택,,전공심화,,ECE4372,마이크로프로세서응용,3.0,3학년(2학기),
전공선택,,전공심화,전공집중,ECE4415,혼성신호집적회로설계,4.0,4학년(2학기),
전공선택,,전공심화,전공집중,ECE4461,집적회로공정,3.0,4학년(1학기),
전공선택,,전공심화,,ECE4462,나노집적반도체소자,3.0,4학년(2학기),
전공선택,,전공심화,전공핵심,ICE2010,전자기학 2,3.0,3학년(2학기),
전공선택,,전공심화,전공집중,ICE3015,임베디드시스템설계,4.0,4학년(1학기),
전공선택,,전공심화,전공핵심,ICE3018,디지털신호처리설계,4.0,3학년(2학기),
전공선택,,전공심화,전공핵심,ICE4016,데이터베이스설계,4.0,4학년(2학기),
전공선택,,전공심화,전공핵심,ICE4027,디지털영상처리설계,4.0,"4학년(1,2학기)",
전공선택,,전공심화,,ICE4104,인공지능 응용,3.0,4학년(1학기),
전공선택,,전공심화,전공집중,ICE4130,컴퓨터비전,3.0,4학년(2학기),
