A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-3.문학, 예술, 상징",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,일반교양-7.SW�AI,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,SOS1102,정치학개론,3.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,SOS1101,행정학개론,3.0,"1학년(1,2학기)",교양선택적필수(택 2과목)
교양필수,계열교양영역,계열교양영역,,SOS1103,미디어와 현대사회,3.0,"1학년(1,2학기)",교양선택적필수(택 2과목)
교양필수,계열교양영역,계열교양영역,,SOS1107,경제학원론,3.0,2학년(1학기),교양선택적필수(택 2과목)
교양필수,계열교양영역,계열교양영역,,SOS1112,헌법,3.0,2학년(2학기),교양선택적필수(택 2과목)
전공필수,,공통,전공기반,POL1001,국제정치학개론,3.0,"1학년(1,2학기)",
전공필수,,공통,전공기반,POL1202,비교정치의 이해,3.0,"1학년(1,2학기)",
전공선택,,,,POL3137,외교실무의 이해,3.0,3학년(1학기),
전공선택,,국제정치,전공기반,POL2130,전쟁과 평화,3.0,2학년(1학기),
전공선택,,국제정치,전공기반,POL2140,한국외교정책론,3.0,2학년(1학기),
전공선택,,국제정치,전공핵심,POL2143,동남아와 세계정치,3.0,2학년(1학기),
전공선택,,국제정치,전공핵심,POL2145,국제법,3.0,2학년(1학기),
전공선택,,국제정치,전공집중,POL2231,국제정치와 이주,3.0,2학년(2학기),
전공선택,,국제정치,전공핵심,POL2234,한국과 국제정치,3.0,2학년(2학기),
전공선택,,국제정치,전공핵심,POL2235,국제기구와 NGO,3.0,2학년(2학기),
전공선택,,국제정치,전공핵심,POL3133,글로벌 시대 공공외교와 해외동포,3.0,3학년(2학기),
전공선택,,국제정치,전공핵심,POL3134,중앙아시아 정치와 외교,3.0,3학년(2학기),
전공선택,,국제정치,전공핵심,POL3136,현대국제정치이론,3.0,3학년(1학기),
전공선택,,국제정치,전공핵심,POL3141,러시아동구정치론,3.0,3학년(1학기),
전공선택,,국제정치,전공핵심,POL3144,일본의 정치와 외교,3.0,3학년(2학기),
전공선택,,국제정치,전공집중,POL3148,정치학강독,3.0,3학년(1학기),
전공선택,,국제정치,전공핵심,POL3216,근대 동아시아 정치사,3.0,3학년(2학기),
전공선택,,국제정치,전공핵심,POL3245,동북아국제정치론,3.0,3학년(2학기),
전공선택,,국제정치,전공핵심,POL4117,근대 한국의 정치와 외교,3.0,4학년(1학기),
전공선택,,국제정치,전공집중,POL4129,미국외교정책론,3.0,4학년(1학기),
전공선택,,국제정치,전공핵심,POL4137,국제정치경제론,3.0,3학년(2학기),
전공선택,,국제정치,전공집중,POL4139,정치학연습 1,3.0,4학년(1학기),
전공선택,,국제정치,전공핵심,POL4147,중국의 정치와 외교,3.0,3학년(1학기),
전공선택,,국제정치,전공핵심,POL4233,개발협력과 국제정치학,3.0,4학년(1학기),
전공선택,,국제정치,전공집중,POL4238,국제협상론,3.0,4학년(2학기),
전공선택,,국제정치,전공기반,POL4247,동아시아 공공외교사,3.0,4학년(2학기),
전공선택,,국제정치,전공기반,POL4248,공공외교의 이해,3.0,4학년(1학기),
전공선택,,국제정치,,POL4251,정체성의 정치와 세계시민교육,3.0,3학년(1학기),
전공선택,,비교정치,전공기반,POL2121,정당과 선거,3.0,2학년(1학기),
전공선택,,비교정치,전공기반,POL2134,여론과 선전,3.0,2학년(1학기),
전공선택,,비교정치,전공핵심,POL2144,영화속의 한국정치,3.0,2학년(2학기),
전공선택,,비교정치,전공핵심,POL2223,한국정치론,3.0,2학년(2학기),
전공선택,,비교정치,,POL2237,정치통계론,3.0,2학년(2학기),
전공선택,,비교정치,전공핵심,POL3119,북한정치론,3.0,3학년(2학기),
전공선택,,비교정치,전공핵심,POL3124,제3세계정치론,3.0,3학년(1학기),
전공선택,,비교정치,전공핵심,POL3127,미국정치,3.0,3학년(1학기),
전공선택,,비교정치,,POL3139,데이터사이언스로서의 정치학 입문,3.0,3학년(1학기),
전공선택,,비교정치,전공핵심,POL3226,의회정치론,3.0,3학년(2학기),
전공선택,,비교정치,전공핵심,POL3228,미국정치와 정치전기,3.0,3학년(2학기),
전공선택,,비교정치,전공핵심,POL4125,유럽정치,3.0,4학년(1학기),
전공선택,,비교정치,전공집중,POL4220,정치과정분석,3.0,4학년(2학기),
전공선택,,비교정치,전공집중,POL4222,정치학연습 2,3.0,4학년(2학기),
전공선택,,정치이론 및 사상,,POL2146,현대정치사상,3.0,2학년(1학기),
전공선택,,정치이론 및 사상,,POL2147,근세한국의 정치사상,3.0,2학년(1학기),
전공선택,,정치이론 및 사상,,POL2236,고중세 서양정치사상,3.0,2학년(1학기),
전공선택,,정치이론 및 사상,전공핵심,POL3114,중국의 정치와 사상,3.0,3학년(1학기),
전공선택,,정치이론 및 사상,,POL3150,근대 서양정치사상,3.0,3학년(1학기),
전공선택,,정치이론 및 사상,전공핵심,POL3212,정치철학특강,3.0,3학년(2학기),
전공선택,,정치이론 및 사상,전공핵심,POL3215,일본의 사상과 문화,3.0,3학년(2학기),
