A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,ACE1301,정보사회와컴퓨터,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,ACE1306,C언어,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,ACE2101,공업수학 1,3.0,2학년(1학기),
교양필수,계열교양영역,계열교양영역,,ACE2102,공업수학 2,3.0,2학년(2학기),
교양필수,계열교양영역,계열교양영역,,CHM1023,일반화학,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,CHM1027,일반화학실험,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,PHY1001,물리학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,PHY1002,물리학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,PHY1003,물리학실험 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,PHY1004,물리학실험 2,1.0,1학년(2학기),
전공필수,,공통과정,전공기반,NOE2001,동역학,3.0,2학년(1학기),
전공필수,,공통과정,전공기반,NOE2002,재료역학 1,3.0,2학년(1학기),
전공필수,,공통과정,전공기반,NOE2004,유체역학,3.0,2학년(2학기),
전공필수,,공통과정,전공핵심,NOE2005,조선해양공학세미나 1,1.0,2학년(1학기),
전공필수,,공통과정,,NOE2115,해양파역학,3.0,2학년(2학기),
전공필수,,공통과정,,NOE2312,IT융합공학 및 실습,3.0,2학년(1학기),
전공필수,,공통과정,전공핵심,NOE3001,조선해양공학세미나 2,1.0,3학년(1학기),
전공필수,,공통과정,전공집중,NOE4002,조선해양종합설계,3.0,4학년(2학기),
전공선택,,공통과정,,ACE9501,다학년 연구프로젝트 1,1.0,"전체(1,2학기)",
전공선택,,공통과정,,ACE9502,다학년 연구프로젝트 2,1.0,"전체(1,2학기)",
전공선택,,공통과정,,ACE9503,다학년 연구프로젝트 3,1.0,"전체(1,2학기)",
전공선택,,공통과정,전공핵심,NOE1002,창의적공학설계,3.0,1학년(2학기),
전공선택,,공통과정,전공기반,NOE1011,조선해양공학개론,3.0,1학년(1학기),
전공선택,,공통과정,전공기반,NOE1201,정역학,3.0,1학년(2학기),
전공선택,,공통과정,전공핵심,NOE2012,확률 및 통계,3.0,2학년(1학기),
전공선택,,공통과정,전공기반,NOE2030,열역학,3.0,2학년(1학기),
전공선택,,공통과정,전공핵심,NOE3013,수치해석,3.0,3학년(1학기),
전공선택,,공통과정,전공핵심,NOE4023,조선해양공학세미나 3,1.0,4학년(1학기),
전공선택,,공통과정,전공핵심,NOE4033,조선해양산업정책,3.0,4학년(2학기),
전공선택,,공통과정,전공집중,NOE4034,조선해양지적재산권,3.0,4학년(2학기),
전공선택,,공통과정,전공핵심,NOE4035,조선해양공학나눔프로젝트 1,2.0,4학년(1학기),
전공선택,,공통과정,전공핵심,NOE4036,조선해양공학나눔프로젝트 2,2.0,4학년(2학기),
전공선택,,공통과정,전공핵심,NOE4037,조선해양공학연구프로젝트 1,1.0,4학년(1학기),
전공선택,,공통과정,전공핵심,NOE4038,조선해양공학연구프로젝트 2,1.0,4학년(2학기),
전공선택,,공통과정,전공핵심,NOE4039,조선해양문제해결프로젝트,3.0,4학년(1학기),
전공선택,,공통과정,전공핵심,NOE4040,조선해양기술/경영특강,3.0,4학년(1학기),
전공선택,,구조공학,전공핵심,NOE3201,조선해양구조역학,3.0,3학년(2학기),
전공선택,,구조공학,전공핵심,NOE3202,진동역학,3.0,3학년(1학기),
전공선택,,구조공학,,NOE3214,구조역학실험,3.0,3학년(2학기),
전공선택,,구조공학,전공핵심,NOE4201,조선해양CAE활용,3.0,4학년(2학기),
전공선택,,구조공학,전공핵심,NOE4207,재료역학 2,3.0,2학년(2학기),
전공선택,,구조공학,전공집중,NOE4210,전산구조역학,3.0,4학년(1학기),
전공선택,,설계 및 생산공학,전공핵심,NOE3301,IT기반조선해양설계시스템,3.0,3학년(1학기),
전공선택,,설계 및 생산공학,,NOE3308,생산시스템공학,3.0,3학년(2학기),
전공선택,,설계 및 생산공학,전공기반,NOE4301,기초유한요소해석,3.0,"4학년(1,2학기)",
전공선택,,설계 및 생산공학,전공핵심,NOE4306,열전달,3.0,"3학년(1,2학기)",
전공선택,,설계 및 생산공학,전공핵심,NOE4310,3차원 CAD실습,3.0,4학년(2학기),
전공선택,,설계 및 생산공학,,NOE4317,조선해양설계생산실습,3.0,4학년(1학기),
전공선택,,유체공학,전공핵심,NOE2104,선박계산,3.0,2학년(2학기),
전공선택,,유체공학,전공핵심,NOE3101,저항론,3.0,3학년(1학기),
전공선택,,유체공학,전공핵심,NOE3102,운동조종론,3.0,3학년(1학기),
전공선택,,유체공학,전공핵심,NOE3108,추진론,3.0,3학년(2학기),
전공선택,,유체공학,,NOE3119,선박유체실험,3.0,3학년(2학기),
전공선택,,유체공학,전공핵심,NOE4109,선박기본설계,3.0,4학년(1학기),
전공선택,,해양공학,전공핵심,NOE2401,해양에너지시스템설계,3.0,2학년(2학기),
전공선택,,해양공학,전공핵심,NOE3405,해양계류시스템동력학,3.0,3학년(1학기),
전공선택,,해양공학,전공핵심,NOE3406,해양구조물공학,3.0,3학년(2학기),
전공선택,,해양공학,,NOE3417,해양공학실험,3.0,3학년(1학기),
전공선택,,해양공학,전공집중,NOE4405,해저관로설계,3.0,4학년(1학기),
