A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,,,HUM1011,중국어 1,3.0,1학년(1학기),계열교양 외국어1(택 1과목)
교양필수,계열교양영역,,,HUM1021,일본어 1,3.0,1학년(1학기),계열교양 외국어1(택 1과목)
교양필수,계열교양영역,,,HUM1031,프랑스어 1,3.0,1학년(1학기),계열교양 외국어1(택 1과목)
교양필수,계열교양영역,,,HUM1041,한문 1,3.0,1학년(1학기),계열교양 외국어1(택 1과목)
교양필수,계열교양영역,,,HUM1012,중국어 2,3.0,1학년(2학기),계열교양 외국어2(택 1과목)
교양필수,계열교양영역,,,HUM1022,일본어 2,3.0,1학년(2학기),계열교양 외국어2(택 1과목)
교양필수,계열교양영역,,,HUM1032,프랑스어 2,3.0,1학년(2학기),계열교양 외국어2(택 1과목)
교양필수,계열교양영역,,,HUM1042,한문 2,3.0,1학년(2학기),계열교양 외국어2(택 1과목)
교양필수,계열교양영역,,,HUM1001,언어의 이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,,,HUM1002,문학의 이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,,,HUM1003,문화사의 이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,,,HUM1004,철학의 이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
교양필수,계열교양영역,,,HUM1005,문화학의이해,3.0,"1학년(1,2학기)",계열교양영역(택 3과목)
전공필수,,어문심화연구과정,전공핵심,CHN3122,중국어글쓰기 2,3.0,3학년(2학기),
전공필수,,전공기초공통과정,전공기반,CHN2006,중국학통계분석기초,3.0,2학년(2학기),
전공필수,,전공기초공통과정,,CHN2011,집중중국어 1,3.0,2학년(1학기),
전공필수,,전공기초공통과정,,CHN2012,집중중국어 2,3.0,1학년(2학기),
전공필수,,지역융합연구과정,전공집중,CHN4341,중국지역학주제설계,3.0,"4학년(1,2학기)",
전공필수,,현대중국연구과정,전공집중,CHN4235,중국어프레젠테이션,3.0,"4학년(1,2학기)",
전공선택,,어문심화연구과정,전공핵심,CHN2111,중국문학개론,3.0,2학년(1학기),
전공선택,,어문심화연구과정,전공핵심,CHN2112,한자의 이해,3.0,2학년(2학기),
전공선택,,어문심화연구과정,전공핵심,CHN3113,중국어주제토론 1,3.0,3학년(1학기),
전공선택,,어문심화연구과정,전공기반,CHN3115,중국어문법,3.0,3학년(1학기),
전공선택,,어문심화연구과정,전공핵심,CHN3117,중국사상의 이해,3.0,3학년(1학기),
전공선택,,어문심화연구과정,전공핵심,CHN3118,한문강독,3.0,3학년(2학기),
전공선택,,어문심화연구과정,전공핵심,CHN3120,중국서사전통과 문화콘텐츠,3.0,3학년(2학기),
전공선택,,어문심화연구과정,전공핵심,CHN3121,중국어글쓰기 1,3.0,3학년(1학기),
전공선택,,어문심화연구과정,,CHN3123,중국어 주제토론 2,3.0,3학년(2학기),
전공선택,,어문심화연구과정,,CHN4101,비즈니스 중국어,3.0,"4학년(1,2학기)",
전공선택,,어문심화연구과정,,CHN4102,시사 중국어 독해,3.0,4학년(1학기),
전공선택,,어문심화연구과정,,CHN4103,실무 한중 번역,3.0,4학년(2학기),
전공선택,,전공기초공통과정,,CHN1005,중국학 입문,3.0,1학년(1학기),
전공선택,,전공기초공통과정,,CHN1006,동아시아 문화 읽기,3.0,1학년(2학기),
전공선택,,전공기초공통과정,전공핵심,CHN2005,중국어학개론,3.0,2학년(1학기),
전공선택,,전공기초공통과정,전공핵심,CHN2009,중국어회화 1,3.0,2학년(1학기),
전공선택,,전공기초공통과정,전공핵심,CHN2010,중국어회화 2,3.0,2학년(2학기),
전공선택,,지역융합연구과정,,CHN2338,중국 문명과 세계,3.0,2학년(2학기),
전공선택,,지역융합연구과정,,CHN2339,중국지역 탐구,3.0,2학년(1학기),
전공선택,,지역융합연구과정,전공핵심,CHN3338,중국도시연구,3.0,3학년(2학기),
전공선택,,지역융합연구과정,,CHN3340,중국학 빅데이터 분석,3.0,3학년(2학기),
전공선택,,지역융합연구과정,,CHN3341,중국 경제 지리,3.0,3학년(1학기),
전공선택,,지역융합연구과정,,CHN4342,중화권과 화교사회,3.0,4학년(2학기),
전공선택,,지역융합연구과정,,CHN4345,21세기 중국과 세계,3.0,4학년(1학기),
전공선택,,현대중국연구과정,,CHN2226,현대 중국의 정치와 제도,3.0,2학년(2학기),
전공선택,,현대중국연구과정,전공핵심,CHN3225,현대중국의 사회와 문화,3.0,2학년(1학기),
전공선택,,현대중국연구과정,,CHN3229,현대 중국의 문학과 예술,3.0,3학년(1학기),
전공선택,,현대중국연구과정,,CHN3230,중국의 문화산업,3.0,3학년(2학기),
전공선택,,현대중국연구과정,,CHN3231,4차 산업혁명과 중국의 기술혁신,3.0,3학년(1학기),
전공선택,,현대중국연구과정,전공집중,CHN4229,현대중국사회의 쟁점,3.0,4학년(1학기),
전공선택,,현대중국연구과정,전공핵심,CHN4230,현대중국의 미디어와 대중문화,3.0,4학년(2학기),
