A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,HUM1001,언어의 이해,3.0,"1학년(1,2학기)",문과대학 계열교양 : 5과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1002,문학의 이해,3.0,"1학년(1,2학기)",문과대학 계열교양 : 5과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1003,문화사의 이해,3.0,"1학년(1,2학기)",문과대학 계열교양 : 5과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1004,철학의 이해,3.0,"전체(1,2학기)",문과대학 계열교양 : 5과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1005,문화학의이해,3.0,"1학년(1,2학기)",문과대학 계열교양 : 5과목 중 택 3(택 3과목)
교양필수,계열교양영역,계열교양영역,,HUM1011,중국어 1,3.0,1학년(1학기),계열교양 외국어-1 : 4과목 중 택 1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1021,일본어 1,3.0,1학년(1학기),계열교양 외국어-1 : 4과목 중 택 1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1031,프랑스어 1,3.0,1학년(1학기),계열교양 외국어-1 : 4과목 중 택 1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1041,한문 1,3.0,1학년(1학기),계열교양 외국어-1 : 4과목 중 택 1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1012,중국어 2,3.0,1학년(2학기),계열교양 외국어-2 : 4과목 중 택 1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1022,일본어 2,3.0,1학년(2학기),계열교양 외국어-2 : 4과목 중 택 1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1032,프랑스어 2,3.0,1학년(2학기),계열교양 외국어-2 : 4과목 중 택 1(택 1과목)
교양필수,계열교양영역,계열교양영역,,HUM1042,한문 2,3.0,1학년(2학기),계열교양 외국어-2 : 4과목 중 택 1(택 1과목)
전공필수,,공통영역,전공핵심,PHI2001,철학적 논리학,3.0,"전체(1,2학기)",교직이수기본과목(논리학)(택 1과목)
전공선택,,공통영역,,PHI1103,철학입문,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공기반,PHI2105,미학,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공핵심,PHI2107,언어철학,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공핵심,PHI2108,철학과 영화,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공핵심,PHI2125,소셜 네트워킹과 커뮤니케이션,3.0,"전체(1,2학기)",
전공선택,,공통영역,,PHI3012,사회철학,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공핵심,PHI3109,민주주의론,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공기반,PHI3112,기술철학,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공기반,PHI3113,심리철학,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공기반,PHI3114,과학철학,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공기반,PHI3116,현대사상과 문화론,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공기반,PHI3117,문화와 폭력,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공집중,PHI3118,인공지능과 포스트휴먼,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공기반,PHI3123,문제해결로서의 철학 : 이론,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공집중,PHI4118,인지과학의 철학,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공집중,PHI4119,철학과 심리분석학,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공핵심,PHI4120,생명윤리와 생명정치,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공기반,PHI4124,문제해결로서의 철학 : 실습,3.0,"전체(1,2학기)",
전공선택,,공통영역,전공핵심,PHI2102,존재론과 형이상학,3.0,"전체(1,2학기)",교직이수기본과목(형이상학)(택 1과목)
전공선택,,공통영역,전공기반,PHI2103,윤리학,3.0,"전체(1,2학기)",교직이수기본과목(윤리학)(택 1과목)
전공선택,,공통영역,전공기반,PHI2104,인식론,3.0,"전체(1,2학기)",교직이수기본과목(인식론)(택 1과목)
전공선택,,논리�논술,,PHI3505,추리논증연습,3.0,"전체(1,2학기)",
전공선택,,논리�논술,,PHI3508,글쓰기 실습,3.0,"전체(1,2학기)",
전공선택,,동양철학,전공핵심,PHI2301,동양윤리사상,3.0,"전체(1,2학기)",
전공선택,,동양철학,전공핵심,PHI2302,인도철학,3.0,"전체(1,2학기)",
전공선택,,동양철학,전공핵심,PHI2303,유가철학,3.0,"전체(1,2학기)",
전공선택,,동양철학,전공핵심,PHI3304,도가철학,3.0,"전체(1,2학기)",
전공선택,,동양철학,전공핵심,PHI3305,불교철학,3.0,"전체(1,2학기)",
전공선택,,동양철학,전공집중,PHI3311,동양철학강독,3.0,"전체(1,2학기)",
전공선택,,동양철학,전공집중,PHI4309,한국철학강독,3.0,"전체(1,2학기)",
전공선택,,동양철학,전공집중,PHI4310,실학특강,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공핵심,PHI2401,서양윤리사상,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공핵심,PHI3402,서양근세철학특강,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공핵심,PHI3403,서양고전읽기,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공핵심,PHI3404,분석철학,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공집중,PHI3405,미학특강,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공핵심,PHI4406,공리주의와 실용주의,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공집중,PHI4408,포스트모던철학특강,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공핵심,PHI4409,현대영미형이상학,3.0,"전체(1,2학기)",
전공선택,,서양철학,전공핵심,PHI4407,현대철학읽기,3.0,"전체(1,2학기)",교직이수기본과목(서양철학사)(택 1과목)
전공선택,,철학사,전공핵심,PHI1201,서양고대철학사,3.0,"전체(1,2학기)",
전공선택,,철학사,전공핵심,PHI2203,서양현대철학사,3.0,"전체(1,2학기)",
전공선택,,철학사,전공핵심,PHI1204,중국고대철학사,3.0,"전체(1,2학기)",교직이수기본과목(동양철학사)(택 1과목)
전공선택,,철학사,전공핵심,PHI2205,중국근현대철학사,3.0,"전체(1,2학기)",교직이수기본과목(동양철학사)(택 1과목)
전공선택,,철학사,전공핵심,PHI1202,서양근세철학사,3.0,"전체(1,2학기)",교직이수기본과목(서양철학사)(택 1과목)
전공선택,,철학사,전공핵심,PHI2206,한국고대철학사,3.0,"전체(1,2학기)",교직이수기본과목(한국철학사)(택 1과목)
전공선택,,철학사,전공핵심,PHI3207,한국근현대철학사,3.0,"전체(1,2학기)",교직이수기본과목(한국철학사)(택 1과목)
