A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1114,크로스오버 3 : 사회의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1142,미래사회와 소프트웨어-이공계열,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(2학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-2.역사, 사상, 문화",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,MTH1001,일반수학 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,MTH1002,일반수학 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,MTH1011,일반수학연습 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,MTH1012,일반수학연습 2,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,STS1101,기초통계 1,3.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,STS1102,기초통계 2,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,STS1103,기초통계실습 1,1.0,1학년(1학기),
교양필수,계열교양영역,계열교양영역,,STS1104,기초통계실습 2,1.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,STS1106,프로그래밍언어,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,BIO1001,생명과학개론,3.0,1학년(1학기),7과목 중 1과목 선택(택 1과목)
교양필수,계열교양영역,계열교양영역,,CBA1102,경영학원론,3.0,1학년(2학기),7과목 중 1과목 선택(택 1과목)
교양필수,계열교양영역,계열교양영역,,CBA1103,경제학,3.0,1학년(2학기),7과목 중 1과목 선택(택 1과목)
교양필수,계열교양영역,계열교양영역,,CHM1023,일반화학,3.0,1학년(2학기),7과목 중 1과목 선택(택 1과목)
교양필수,계열교양영역,계열교양영역,,FAN1003,식품영양학개론,3.0,1학년(2학기),7과목 중 1과목 선택(택 1과목)
교양필수,계열교양영역,계열교양영역,,OCN1005,일반해양학,3.0,1학년(2학기),7과목 중 1과목 선택(택 1과목)
교양필수,계열교양영역,계열교양영역,,PHY1005,일반물리학,3.0,1학년(2학기),7과목 중 1과목 선택(택 1과목)
전공필수,,공통과정,전공기반,STS2004,회귀분석,3.0,2학년(2학기),
전공필수,,공통과정,전공기반,STS2006,회귀분석실습,1.0,2학년(2학기),
전공필수,,공통과정,전공기반,STS2018,확률론,3.0,2학년(1학기),
전공필수,,공통과정,전공기반,STS2019,통계수학,3.0,2학년(1학기),
전공필수,,공통과정,전공핵심,STS3005,수리통계학 1,3.0,3학년(1학기),
전공필수,,공통과정,전공핵심,STS3060,수리통계학 2,3.0,3학년(2학기),
전공필수,,정보분석,전공기반,STS2001,통계소프트웨어 및 실습,3.0,2학년(1학기),
전공필수,,정보분석,전공기반,STS2008,전산통계,3.0,2학년(2학기),
전공선택,,공통기초,전공기반,STS2017,통계분석방법,3.0,2학년(1학기),
전공선택,,공통기초,전공기반,STS2024,빅데이터 기초,3.0,2학년(2학기),
전공선택,,공통기초,전공핵심,STS3012,시계열분석 및 실습,3.0,3학년(2학기),
전공선택,,공통기초,전공핵심,STS3014,표본론및실습,3.0,3학년(2학기),
전공선택,,공통기초,전공핵심,STS3016,범주형자료분석,3.0,3학년(2학기),
전공선택,,공통기초,전공핵심,STS4010,비모수 통계학,3.0,4학년(2학기),
전공선택,,공통기초,전공핵심,STS4011,기초확률과정론,3.0,4학년(1학기),
전공선택,,공통응용,전공기반,STS2021,사회조사방법론,3.0,2학년(1학기),
전공선택,,공통응용,전공핵심,STS3019,다변량통계 및 실습,3.0,3학년(1학기),
전공선택,,공통응용,,STS4023,공간통계학,3.0,4학년(1학기),
전공선택,,공통응용,전공집중,STS4026,바이오인포매틱스,3.0,4학년(2학기),
전공선택,,공통응용,전공핵심,STS4027,통계학논문연구,3.0,4학년(1학기),
전공선택,,공통응용,전공핵심,STS4034,생존분석 및 실습,3.0,4학년(2학기),
전공선택,,공통응용,전공집중,STS4433,빅데이터 실습,3.0,4학년(2학기),
전공선택,,공통응용,,STS9423,통계현장실습 1,3.0,"전체(1,2학기)",
전공선택,,공통응용,,STS9427,통계현장실습 2,3.0,"전체(1,2학기)",
전공선택,,공통응용,,STS9428,통계현장실습 3,6.0,"전체(1,2학기)",
전공선택,,공통응용,,STS9429,통계현장실습 5,5.0,"전체(1,2학기)",
전공선택,,금융보험,,STS3031,보험통계,3.0,3학년(2학기),
전공선택,,금융보험,전공핵심,STS4033,금융통계,3.0,4학년(2학기),
전공선택,,금융보험,전공핵심,STS4035,통계적 위험관리,3.0,4학년(1학기),
전공선택,,금융보험,전공핵심,STS4432,금융데이타분석,3.0,4학년(2학기),
전공선택,,정보분석,전공핵심,STS2040,데이터베이스,3.0,2학년(2학기),
전공선택,,정보분석,전공핵심,STS2041,자료구조론,3.0,2학년(1학기),
전공선택,,정보분석,전공핵심,STS2044,전산통계실습,1.0,2학년(2학기),
전공선택,,정보분석,전공집중,STS4021,자료분석,3.0,4학년(1학기),
전공선택,,정보분석,,STS4041,베이지안통계학,3.0,4학년(2학기),
전공선택,,정보분석,전공집중,STS4043,데이터마이닝,3.0,4학년(1학기),
전공선택,,정보분석,전공집중,STS4044,빅데이터 자료분석,3.0,4학년(2학기),
전공선택,,품질생산,,STS3004,실험계획법,3.0,3학년(1학기),
전공선택,,품질생산,전공핵심,STS3015,실험계획법실습,1.0,3학년(1학기),
전공선택,,품질생산,전공핵심,STS3050,통계적품질관리,3.0,3학년(2학기),
전공선택,,품질생산,전공핵심,STS4053,6-시그마품질경영,3.0,4학년(1학기),
