A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
교양필수,대학교교양필수,,,GEB1112,크로스오버 1 : 인간의 탐색,2.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1113,크로스오버 2 : 자연의 탐색,2.0,"1학년(1,2학기)",
교양필수,대학교교양필수,,,GEB1116,프로네시스 세미나,2.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1126,문제해결을 위한 글쓰기,3.0,1학년(2학기),
교양필수,대학교교양필수,,,GEB1141,미래사회와 소프트웨어-인문사회계열,3.0,1학년(1학기),
교양필수,대학교교양필수,,,GEB1151,커리어 디자인 2,1.0,3학년(1학기),
교양필수,대학교교양필수,,,GEB1107,의사소통 영어,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1108,의사소통 영어: 중급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,대학교교양필수,,,GEB1109,의사소통 영어: 고급,3.0,1학년(1학기),일반과목군(지정 1과목)
교양필수,학과(부)교양필수,,,,"핵심교양-1.인간,가치,공존",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-4.사회, 제도, 세계",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-5.자연, 생명, 환경",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,"핵심교양-6.수리, 정보, 기술",3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,창의,3.0,전체,교양교과과정참조
교양필수,학과(부)교양필수,,,,SW�AI,3.0,전체,교양교과과정참조
교양필수,계열교양영역,계열교양영역,,SOS1101,행정학개론,3.0,"1학년(1,2학기)",
교양필수,계열교양영역,계열교양영역,,SOS1108,사회과학방법론,3.0,1학년(2학기),
교양필수,계열교양영역,계열교양영역,,SOS1102,정치학개론,3.0,"1학년(1,2학기)",교양선택적필수(택 2과목)
교양필수,계열교양영역,계열교양영역,,SOS1104,사회학개론,3.0,1학년(1학기),교양선택적필수(택 2과목)
교양필수,계열교양영역,계열교양영역,,SOS1107,경제학원론,3.0,1학년(2학기),교양선택적필수(택 2과목)
전공필수,,공통,전공기반,PAD2112,조직이론,3.0,2학년(1학기),전공선택적필수(택 5과목)
전공필수,,공통,전공기반,PAD2206,인사행정론,3.0,2학년(2학기),전공선택적필수(택 5과목)
전공필수,,공통,전공기반,PAD2209,정책학원론,3.0,2학년(2학기),전공선택적필수(택 5과목)
전공필수,,공통,전공기반,PAD3108,재무행정론,3.0,3학년(1학기),전공선택적필수(택 5과목)
전공필수,,일반행정,전공핵심,PAD2207,전자정부론,3.0,2학년(2학기),전공선택적필수(택 5과목)
전공필수,,정책과학,전공핵심,PAD2208,정책과 이념,3.0,2학년(2학기),전공선택적필수(택 5과목)
전공필수,,정책과학,전공집중,PAD3113,환경정책론,3.0,3학년(1학기),전공선택적필수(택 5과목)
전공선택,,공통,전공핵심,PAD2114,한국정부의 이해,3.0,2학년(1학기),
전공선택,,공통,전공기반,PAD2120,법학개론,3.0,2학년(2학기),
전공선택,,공통,전공기반,PAD2204,민법총칙의 이해,3.0,2학년(1학기),
전공선택,,공통,전공기반,PAD2214,행정학 원강 1,3.0,2학년(2학기),
전공선택,,공통,,PAD2219,헌법 1,3.0,2학년(1학기),
전공선택,,공통,,PAD2220,행정법 1,3.0,2학년(1학기),
전공선택,,공통,전공기반,PAD3115,행정계량분석,3.0,3학년(1학기),
전공선택,,공통,,PAD3218,헌법 2,3.0,3학년(2학기),
전공선택,,공통,,PAD3219,행정법 2,3.0,3학년(2학기),
전공선택,,공통,,PAD3220,공직적격성론 1,3.0,3학년(1학기),
전공선택,,공통,,PAD3221,공직적격성론 2,3.0,3학년(2학기),
전공선택,,일반행정,전공핵심,PAD2103,공기업론,3.0,3학년(2학기),
전공선택,,일반행정,전공집중,PAD2113,지방자치론,3.0,2학년(1학기),
전공선택,,일반행정,전공핵심,PAD2115,행정철학,3.0,2학년(2학기),
전공선택,,일반행정,전공핵심,PAD2116,행정학 원강 2,3.0,2학년(1학기),
전공선택,,일반행정,전공핵심,PAD2202,다문화사회이해와 행정,3.0,2학년(2학기),
전공선택,,일반행정,전공핵심,PAD2215,행정학특강 1,3.0,2학년(1학기),
전공선택,,일반행정,전공핵심,PAD2216,행정학특강 2,3.0,2학년(2학기),
전공선택,,일반행정,전공핵심,PAD3111,행정개혁론,3.0,3학년(1학기),
전공선택,,일반행정,전공핵심,PAD3112,행정학연습 2,3.0,3학년(2학기),
전공선택,,일반행정,전공핵심,PAD3116,정부회계원리,3.0,3학년(1학기),
전공선택,,일반행정,,PAD3121,경찰행정학1,3.0,3학년(1학기),
전공선택,,일반행정,전공핵심,PAD3211,조직관리와 리더십,3.0,3학년(2학기),
전공선택,,일반행정,전공집중,PAD3212,지방재정론,3.0,3학년(2학기),
전공선택,,일반행정,전공핵심,PAD3214,행정학연습 1,3.0,3학년(1학기),
전공선택,,일반행정,,PAD3222,도시행정론,3.0,3학년(2학기),
전공선택,,일반행정,,PAD3223,한국행정론,3.0,3학년(2학기),
전공선택,,일반행정,,PAD3224,경찰행정학2,3.0,3학년(2학기),
전공선택,,일반행정,전공핵심,PAD4201,한국행정세미나,3.0,4학년(2학기),
전공선택,,정책과학,전공집중,PAD2108,의사결정 심리학,3.0,2학년(1학기),
전공선택,,정책과학,,PAD2111,정책과정론,3.0,2학년(1학기),
전공선택,,정책과학,전공핵심,PAD2118,현대사회와 도시문제,3.0,2학년(1학기),
전공선택,,정책과학,전공핵심,PAD2121,규제행정론,3.0,2학년(1학기),
전공선택,,정책과학,전공핵심,PAD2123,복지정책론,3.0,2학년(2학기),
전공선택,,정책과학,전공핵심,PAD2124,현대 정책과 공공철학,3.0,2학년(1학기),
전공선택,,정책과학,전공기반,PAD2125,공공경제학,3.0,2학년(1학기),
전공선택,,정책과학,전공핵심,PAD2218,공공문제해결론,3.0,2학년(2학기),
전공선택,,정책과학,전공집중,PAD3104,복지국가론,3.0,3학년(1학기),
전공선택,,정책과학,전공집중,PAD3105,비교정책론,3.0,3학년(2학기),
전공선택,,정책과학,전공핵심,PAD3114,빅데이터 정책설계와 분석,3.0,3학년(2학기),
전공선택,,정책과학,전공핵심,PAD3117,정보정책론,3.0,3학년(1학기),
전공선택,,정책과학,전공집중,PAD3119,도시개발론,3.0,3학년(1학기),
전공선택,,정책과학,,PAD3120,정부간 관계론,3.0,3학년(1학기),
전공선택,,정책과학,전공핵심,PAD3202,도시계획론,3.0,3학년(2학기),
전공선택,,정책과학,전공핵심,PAD3209,정책평가론,3.0,3학년(2학기),
전공선택,,정책과학,,PAD3217,경제학연습,3.0,3학년(1학기),
