A,B,과목영역,전공영역,학수번호,교과목명,학점,이수시기,비고
전공필수,,,,SBE3001,이차전지 제작 실습,3.0,"3학년(1,2학기)",
전공필수,,,,SBE3002,이차전지 평가 실습,3.0,"3학년(1,2학기)",
전공필수,,,,SBE4001,이차전지 분석 실습,3.0,"4학년(1,2학기)",
전공선택,,,전공핵심,CHE4202,에너지공학,3.0,4학년(2학기),
전공선택,,,전공핵심,CHE4301,전기화학공학,3.0,4학년(1학기),
전공선택,,,,CHE4402,에너지소재,3.0,4학년(1학기),
전공선택,,,전공핵심,EEE3321,전기자동차 공학,3.0,3학년(2학기),
전공선택,,,전공핵심,MEG3227,열전달,3.0,3학년(2학기),
전공선택,,,,SBE2001,이차전지 기초화학,3.0,2학년(1학기),
전공선택,,,,SBE2002,이차전지 공정기술개론,3.0,2학년(1학기),
전공선택,,,,SBE2007,이차전지 핵심광물과 공급망,3.0,2학년(1학기),
전공선택,,,,SBE3003,배터리  최신 기술 세미나 1,3.0,3학년(1학기),
전공선택,,,,SBE3004,이차전지 산학프로젝트,3.0,3학년(2학기),
전공선택,,,,SBE3005,에너지 재료화학,3.0,3학년(2학기),
전공선택,,,,SBE3006,이차전지개론,3.0,3학년(1학기),
전공선택,,,,SBE3007,이차전지 전기화학기초,3.0,3학년(1학기),
전공선택,,,,SBE3008,배터리 최신기술 세미나 2,3.0,3학년(1학기),
전공선택,,,,SBE3010,이차전지 유기소재,3.0,4학년(1학기),
전공선택,,,,SBE3011,이차전지 열관리 시스템,3.0,4학년(1학기),
전공선택,,,,SBE3201,전극신공법공학,3.0,3학년(1학기),
전공선택,,,,SBE3202,이차전지 소재분석공학,3.0,3학년(1학기),
전공선택,,,,SBE4002,이차전지 복합재료,3.0,4학년(1학기),
전공선택,,,,SBE4003,이차전지 시스템 모델링,3.0,4학년(1학기),
전공선택,,,,SBE4004,이차전지 재료과학,3.0,3학년(2학기),
전공선택,,,,SBE4005,캡스톤 디자인,3.0,4학년(2학기),
