course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ACE2102-001,ACE2102,001,공업수학 2,전체,3.0,교양필수,"월4,5,6(4-421) /화10,11,12(2남409)",양재근,상대평가, 
ACE1310-001,ACE1310,001,공학전산응용,1,3.0,교양필수,"수10,11,12(60주년-809) /목16,17,18(60주년-808)",최민지,절대평가, 
ARE1403-001,ARE1403,001,건축공학개론,1,3.0,전공필수,"금1,2,3,4,5,6(4-421)","김영석,정성훈,김의종,조재완,김창혁",상대평가, 
ARE1403-002,ARE1403,002,건축공학개론,1,3.0,전공필수,"금10,11,12,13,14,15(4-421)","양재근,조재훈,조재완,최민지",상대평가, 
MTH1001-021,MTH1001,021,일반수학 1,1,3.0,교양필수,"월10,11,12,목4,5,6(5동105B)",오승익,상대평가, 
PHY1001-019,PHY1001,019,물리학 1,1,3.0,교양필수,"수10,11,12,금7,8,9(5동405)",송현석,상대평가, 
PHY1003-020,PHY1003,020,물리학실험 1,1,1.0,교양필수,"수1,2,3,4(5동315)",이근섭,절대평가, 
ACE2104-001,ACE2104,001,통계학,2,3.0,교양필수,"수16,17,18,19,20,21(4-421)",이한청,상대평가,선수
ARE2105-001,ARE2105,001,건축구조역학,2,3.0,전공필수,"월10,11,12,화16,17,18(2남409)",김창혁,상대평가,선수
ARE2105-002,ARE2105,002,건축구조역학,2,3.0,전공필수,"월13,14,15,화13,14,15(2남409)",김창혁,상대평가,선수
ARE2203-001,ARE2203,001,건축환경-열환경,2,3.0,전공선택,"월4,5,6,수1,2,3(2남409)",조재훈,상대평가,선수
ARE2303-001,ARE2303,001,건축일반구조 및 재료,2,3.0,전공선택,"금1,2,3,4,5,6(2남409)",조영호,상대평가, 
ACE2103-001,ACE2103,001,수치해석,3,3.0,교양필수,"수7,8,9(60주년-809) /목13,14,15(60주년-808)",최민지,상대평가, 
ARE3108-001,ARE3108,001,철근콘크리트 건축구조,3,3.0,전공선택,"화4,5,6,수4,5,6(2남409)",정성훈,상대평가,선수
ARE3108-002,ARE3108,002,철근콘크리트 건축구조,3,3.0,전공선택,"화13,14,15,수13,14,15(4-421)",정성훈,상대평가,선수
ARE3207-002,ARE3207,002,건축설비,3,3.0,전공필수,"월7,8,9,수10,11,12(4-421)",김의종,상대평가,선수
ARE3307-001,ARE3307,001,건축법규,3,3.0,전공선택,"금10,11,12,13,14,15(2남409)",조영호,상대평가, 
ARE3403-001,ARE3403,001,건축공학일반설계,3,3.0,전공필수,"수19,20,21,22,23,24(2남229)",문봉호,상대평가,선수
ARE4209-001,ARE4209,001,건물에너지시뮬레이션,4,3.0,전공선택,"월16,17,18,목10,11,12(4-421)",조재완,상대평가,선수
ARE4309-001,ARE4309,001,공정관리,4,3.0,전공선택,"화1,2,3,수1,2,3(4-421)",고용호,절대평가,"영어,English,선수"
ARE4310-001,ARE4310,001,"건설사업관리-시공,운영,유지관리",4,3.0,전공선택,"월10,11,12,화10,11,12(4-421)",김영석,상대평가, 
ARE4410-001,ARE4410,001,건축공학종합설계,4,4.0,전공필수,"목1,2,3,4,5,6,7,8(4-421A)","김영석,조재훈,김의종,최민지",Pass/Fail,선수
ARE4410-002,ARE4410,002,건축공학종합설계,4,4.0,전공필수,"목1,2,3,4,5,6,7,8(4-421B)","김영석,양재근,조재훈,김창혁",Pass/Fail,선수
ARE4410-003,ARE4410,003,건축공학종합설계,4,4.0,전공필수,"목1,2,3,4,5,6,7,8(4-421C)","정성훈,조재훈,조재완",Pass/Fail,선수
ARE4410-004,ARE4410,004,건축공학종합설계,4,4.0,전공필수,"목1,2,3,4,5,6,7,8(4-421D)","정성훈,양재근,조재훈,최민지",Pass/Fail,선수
ARE4410-005,ARE4410,005,건축공학종합설계,4,4.0,전공필수,"목1,2,3,4,5,6,7,8(4-421동)","조재훈,김의종,김창혁,최민지",Pass/Fail,선수
