course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CHM1021-005,CHM1021,005,화학 1,1,3.0,교양필수,"월10,11,12,목4,5,6(5동507)",최영식,상대평가, 
CHM1028-005,CHM1028,005,화학실험 1,1,1.0,교양필수,"화9,10,11,12(5동511)",김동욱,절대평가, 
MTH1001-013,MTH1001,013,일반수학 1,1,3.0,교양필수,"화4,5,6,목1,2,3(5동107B)",유자도,상대평가, 
PHY1001-013,PHY1001,013,물리학 1,1,3.0,교양필수,"월13,14,15,수13,14,15(5동408)",홍석민,상대평가, 
PHY1003-013,PHY1003,013,물리학실험 1,1,1.0,교양필수,"목9,10,11,12(5동313)",윤진희,절대평가, 
ACE2101-011,ACE2101,011,공업수학 1,2,3.0,교양필수,"월10,11,12,수7,8,9(5동107A)",이선영,상대평가, 
PSE2011-001,PSE2011,001,물리화학 1,2,3.0,전공필수,"월16,17,18,수16,17,18(2북666)",강홍석,상대평가, 
PSE2011-002,PSE2011,002,물리화학 1,2,3.0,전공필수,"월16,17,18,수16,17,18(2북664)",오동엽,상대평가, 
PSE2041-001,PSE2041,001,유기화학 1,2,3.0,전공필수,"월4,5,6,수10,11,12(2북666)",진형준,상대평가, 
PSE2041-002,PSE2041,002,유기화학 1,2,3.0,전공필수,"월7,8,9,수4,5,6(2북666)",진형준,상대평가, 
PSE2060-001,PSE2060,001,재료과학,2,3.0,전공선택,"화10,11,12,목4,5,6(2북666)",권용구,상대평가, 
PSE2180-001,PSE2180,001,생명과 고분자,2,3.0,전공선택,"화7,8,9,목7,8,9(2북664)",신광수,상대평가, 
PSE3110-001,PSE3110,001,반응공학,3,3.0,전공선택,"월7,8,9,수7,8,9(2북664)",최우혁,상대평가, 
PSE3120-001,PSE3120,001,유기반응의 이해,3,3.0,전공선택,"월13,14,15,수13,14,15(2북664)",이진균,상대평가, 
PSE3170-001,PSE3170,001,고분자기기분석,3,3.0,전공선택,"화4,5,6,목10,11,12(2북666)",권용구,상대평가, 
PSE3181-001,PSE3181,001,고분자물리화학,3,3.0,전공필수,"월1,2,3,수1,2,3(2북666)",김상원,상대평가, 
PSE3191-001,PSE3191,001,고분자화학,3,3.0,전공필수,"월10,11,12,수10,11,12(2북664)",이진균,상대평가, 
PSE3191-002,PSE3191,002,고분자화학,3,3.0,전공필수,"월13,14,15,수13,14,15(2북666)",오동엽,상대평가, 
PSE4010-001,PSE4010,001,고분자나노복합재료,4,3.0,전공선택,"월1,2,3,수1,2,3(2북664)",김희중,상대평가, 
PSE4060-001,PSE4060,001,기능성신소재,4,3.0,전공선택,"화10,11,12,13,14,15(2북664)",김철희,상대평가, 
PSE4171-001,PSE4171,001,고분자종합설계,4,2.0,전공필수,"화16,17,18,19(2북666)",이진균,상대평가, 
PSE4171-002,PSE4171,002,고분자종합설계,4,2.0,전공필수,"화16,17,18,19(2북664)",진형준,상대평가, 
PSE4171-003,PSE4171,003,고분자종합설계,4,2.0,전공필수,"화16,17,18,19(2북575)",권용구,상대평가, 
PSE4181-001,PSE4181,001,고분자실험 2,4,2.0,전공필수,"화1,2,3,4,5,6,7,8(2북470B)",최우혁,절대평가, 
PSE4181-002,PSE4181,002,고분자실험 2,4,2.0,전공필수,"월13,14,15,16,17,18,19,20(2북470B)",김상원,절대평가, 
PSE4181-003,PSE4181,003,고분자실험 2,4,2.0,전공필수,"수13,14,15,16,17,18,19,20(2북470B)",신광수,절대평가, 
PSE4181-004,PSE4181,004,고분자실험 2,4,2.0,전공필수,"목1,2,3,4,5,6,7,8(2북470B)",강홍석,절대평가, 
PSE4190-001,PSE4190,001,고분자합성,4,3.0,전공선택,"월4,5,6,수4,5,6(2북664)",이진균,상대평가, 
PSE4210-001,PSE4210,001,전자 재료 및 소자,4,3.0,전공선택,"월10,11,12,수7,8,9(2북666)",김상원,상대평가, 
