course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
EKR1311-001,EKR1311,001,국어학개론,1,3.0,전공필수,"월10,11,12,수10,11,12(서-224A)",박혜진,상대평가, 
EKR1311-002,EKR1311,002,국어학개론,1,3.0,전공필수,"월13,14,15,수13,14,15(5서360)",박혜진,상대평가, 
EKR1423-001,EKR1423,001,국문학개론,1,3.0,전공필수,"금1,2,3,4,5,6(서-241)",이지원,상대평가, 
EKR1423-002,EKR1423,002,국문학개론,1,3.0,전공필수,"금10,11,12,13,14,15(서-241)",이지원,상대평가, 
EKR2112-001,EKR2112,001,국어교육론,2,3.0,전공필수,"월1,2,3,4,5,6(서-224A)",신명선,상대평가, 
EKR2112-002,EKR2112,002,국어교육론,2,3.0,전공필수,"월13,14,15,16,17,18(서-241)",신명선,상대평가, 
EKR2213-001,EKR2213,001,작문교육론,2,3.0,전공선택,"금1,2,3,4,5,6(서-224A)",장성민,절대평가,"영어,English"
EKR2415-001,EKR2415,001,국문학사,2,3.0,전공필수,"수1,2,3,4,5,6(서-224A)",허희수,상대평가, 
EKR2415-002,EKR2415,002,국문학사,2,3.0,전공필수,"수13,14,15,16,17,18(5서365)",허희수,상대평가, 
EKR2516-001,EKR2516,001,소설교육론,2,3.0,전공필수,"화1,2,3,4,5,6(서-241)",노태훈,상대평가, 
EKR2516-002,EKR2516,002,소설교육론,2,3.0,전공필수,"목1,2,3,4,5,6(서-224A)",노태훈,상대평가, 
EKR2526-001,EKR2526,001,한국어 자연어 처리와 에듀테크,2,3.0,전공선택,"목13,14,15,16,17,18(서-224A)","신명선,서영덕",절대평가, 
EKR3214-001,EKR3214,001,독서교육론,3,3.0,전공선택,"금10,11,12,13,14,15(서-224A)",장성민,절대평가,"영어,English"
EKR3321-001,EKR3321,001,국어사,3,3.0,전공필수,"화1,2,3,4,5,6(서-224A)",박덕유,상대평가, 
EKR3321-002,EKR3321,002,국어사,3,3.0,전공필수,"화13,14,15,16,17,18(서-224A)",박덕유,상대평가, 
EKR3514-001,EKR3514,001,시교육론,3,3.0,전공필수,"월13,14,15,수13,14,15(서-224A)",최현식,상대평가, 
EKR3522-001,EKR3522,001,현대문학사,3,3.0,전공선택,"월1,2,3,4,5,6(60주년-510)",양재훈,상대평가, 
EDC4109-002,EDC4109,002,교육실습,4,2.0,교직과정,"수9,10,11,12(서-241)",신명선,절대평가, 
EDC4109-003,EDC4109,003,교육실습,4,2.0,교직과정,"수13,14,15,16(서-241)",신명선,절대평가, 
EKR4514-001,EKR4514,001,현대작가의 이해,4,3.0,전공선택,"화13,14,15,16,17,18(서-241)",최현식,상대평가, 
