course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CBA1102-006,CBA1102,006,경영학원론,1,3.0,교양필수,"금13,14,15,16,17,18(6-527)",윤여준,상대평가, 
CBA1106-008,CBA1106,008,회계원론,1,3.0,교양필수,"화7,8,9,수7,8,9(6-626)",배성미,상대평가, 
CBA1201-001,CBA1201,001,금융수학,1,3.0,교양필수,"화1,2,3,4,5,6(6-626)",손규현,상대평가, 
BUS3101-003,BUS3101,003,투자론,2,3.0,전공선택,"월13,14,15(6-624) /수13,14,15(6-626)",전성주,절대평가,"영어, English"
GFB2101-003,GFB2101,003,미시경제,2,3.0,전공필수,"수1,2,3,4,5,6(6-220)",최동걸,상대평가, 
GFB2103-001,GFB2103,001,비즈니스영어 1,2,3.0,전공필수,"월4,5,6,목4,5,6(6-626)",존홀,상대평가,English
GFB2103-002,GFB2103,002,비즈니스영어 1,2,3.0,전공필수,"월7,8,9,목7,8,9(6-626)",존홀,상대평가,English
GFB2104-001,GFB2104,001,비즈니스영어 2,2,3.0,전공필수,"월13,14,15,16,17,18(6-626)",존홀,상대평가,English
GFB3101-001,GFB3101,001,금융실무영어,3,3.0,전공선택,"목13,14,15,16,17,18(6-626)",존홀,절대평가,English
GFB3103-001,GFB3103,001,금융실무의 이해,3,3.0,전공선택,"목19,20,21,22,23,24(6-626)",장환,상대평가, 
GFB3104-001,GFB3104,001,금융세미나,3,3.0,전공선택,"화10,11,12,수10,11,12(6-626)",이민환,Pass/Fail, 
GFB3201-001,GFB3201,001,파생상품,3,3.0,전공필수,"수13,14,15,16,17,18(60주년-509)",김성국,상대평가, 
GFB3401-001,GFB3401,001,금융기관경영,3,3.0,전공선택,"화1,2,3,목1,2,3(60주년-509)",이재형,절대평가,"영어,English"
GFB3403-001,GFB3403,001,화폐금융,3,3.0,전공선택,"월16,17,18(6-624) /수16,17,18(6-626)",전성주,절대평가,"영어,English"
GFB3404-001,GFB3404,001,주식 및 채권분석,3,3.0,전공선택,"화19,20,21,수19,20,21(6-626)",양진영,절대평가,"영어,English"
GFB3405-001,GFB3405,001,국제금융,3,3.0,전공선택,"월1,2,3,수4,5,6(6-626)",한재준,절대평가,"영어,English"
GFB4103-001,GFB4103,001,재무금융 특강,4,3.0,전공선택,"월13,14,15,16,17,18(6-522)",한동주,상대평가, 
GFB4104-001,GFB4104,001,핀테크금융,4,3.0,전공선택,"목13,14,15,16,17,18(60주년-507)",장환,상대평가, 
GFB4111-001,GFB4111,001,금융데이터로 본 금융시장의 이해,4,3.0,전공선택,"화4,5,6,목4,5,6(60주년-509)",이재형,절대평가, 
GFB4301-001,GFB4301,001,자산운용,4,3.0,전공선택,"화13,14,15,16,17,18(6-626)",윤여준,상대평가, 
