course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ACE1301-001,ACE1301,001,정보사회와컴퓨터,1,3.0,교양필수,"화4,5,6(5남238) /금1,2,3(2북365)",원종구,절대평가, 
ACE1301-002,ACE1301,002,정보사회와컴퓨터,1,3.0,교양필수,"화7,8,9(5남238) /금4,5,6(2북365)",원종구,절대평가, 
ACE1301-003,ACE1301,003,정보사회와컴퓨터,1,3.0,교양필수,"화10,11,12(5남238) /금10,11,12(2북365)",원종구,절대평가, 
ACE1301-004,ACE1301,004,정보사회와컴퓨터,1,3.0,교양필수,"화13,14,15(5남238) /금13,14,15(2북365)",원종구,절대평가, 
ACE1301-005,ACE1301,005,정보사회와컴퓨터,1,3.0,교양필수,"월7,8,9(2북465) /수10,11,12(2북364)",노정훈,절대평가, 
ACE1301-006,ACE1301,006,정보사회와컴퓨터,1,3.0,교양필수,"월10,11,12(2북465) /화10,11,12(2북364)",노정훈,절대평가, 
CHM1023-001,CHM1023,001,일반화학,1,3.0,교양필수,"화1,2,3,목10,11,12(5동507)",김창곤,상대평가, 
CHM1023-002,CHM1023,002,일반화학,1,3.0,교양필수,"수7,8,9,금10,11,12(5동507)",강동원,상대평가, 
CHM1023-003,CHM1023,003,일반화학,1,3.0,교양필수,"월4,5,6,수1,2,3(5동507)",오세영,상대평가, 
CHM1027-001,CHM1027,001,일반화학실험,1,1.0,교양필수,"화5,6,7,8(5동510)",조동규,절대평가, 
CHM1027-002,CHM1027,002,일반화학실험,1,1.0,교양필수,"수1,2,3,4(5동510)",강동원,절대평가, 
CHM1027-003,CHM1027,003,일반화학실험,1,1.0,교양필수,"목5,6,7,8(5동510)",신동하,절대평가, 
CHM1027-004,CHM1027,004,일반화학실험,1,1.0,교양필수,"금1,2,3,4(5동510)",김명웅,절대평가, 
MTH1001-001,MTH1001,001,일반수학 1,1,3.0,교양필수,"화1,2,3,금13,14,15(5동105A)",김태길,상대평가, 
MTH1001-002,MTH1001,002,일반수학 1,1,3.0,교양필수,"월1,2,3,수4,5,6(5동105A)",권훈,상대평가, 
