course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
BNF3104-001,BNF3104,001,20대를 위한 증권투자론,전체,3.0,전공선택,셀0(웹강의),이기환,상대평가, 
BNF4402-001,BNF4402,001,재테크설계,전체,3.0,전공선택,셀0(웹강의),이기환,상대평가, 
CHM1021-011,CHM1021,011,화학 1,1,3.0,교양필수,셀0(웹강의),김정호,상대평가, 
CHM1023-010,CHM1023,010,일반화학,1,3.0,교양필수,셀0(웹강의),이건형,상대평가, 
ENR2104-001,ENR2104,001,에너지자원경제,전체,3.0,전공필수,셀0(웹강의),이용길,상대평가, 
GEB1112-024,GEB1112,024,크로스오버 1 : 인간의 탐색,2,2.0,교양필수,셀0(웹강의),정연재,Pass/Fail,1학년은 신청 불가
GEB1112-025,GEB1112,025,크로스오버 1 : 인간의 탐색,2,2.0,교양필수,셀0(웹강의),정연재,Pass/Fail,1학년은 신청 불가
GEB1113-011,GEB1113,011,크로스오버 2 : 자연의 탐색,2,2.0,교양필수,셀0(웹강의),김대찬,Pass/Fail,1학년은 신청 불가
GEB1114-010,GEB1114,010,크로스오버 3 : 사회의 탐색,2,2.0,교양필수,셀0(웹강의),유정민,Pass/Fail,1학년은 신청 불가
GEB1114-011,GEB1114,011,크로스오버 3 : 사회의 탐색,2,2.0,교양필수,셀0(웹강의),유정민,Pass/Fail,1학년은 신청 불가
GEB1116-039,GEB1116,039,프로네시스 세미나,1,2.0,교양필수,셀0(웹강의),"성동기,정연재",Pass/Fail,미래융합대학 전용
GEB1126-001,GEB1126,001,문제해결을 위한 글쓰기,1,3.0,교양필수,셀0(웹강의),류수연,상대평가, 
GEB1141-001,GEB1141,001,미래사회와 소프트웨어-인문사회계열,1,3.0,교양필수,셀0(웹강의),"김유성,심정섭,이문규,한영신",Pass/Fail, 
GEB1141-002,GEB1141,002,미래사회와 소프트웨어-인문사회계열,1,3.0,교양필수,셀0(웹강의),"김유성,심정섭,이문규,한영신",Pass/Fail, 
GEB1141-003,GEB1141,003,미래사회와 소프트웨어-인문사회계열,1,3.0,교양필수,셀0(웹강의),"김유성,심정섭,이문규,이경자",Pass/Fail, 
GEB1141-004,GEB1141,004,미래사회와 소프트웨어-인문사회계열,1,3.0,교양필수,셀0(웹강의),"김유성,심정섭,이문규,한영신",Pass/Fail,INHA SAFE 프로그램 프리스쿨 전용 분반
GEB1142-001,GEB1142,001,미래사회와 소프트웨어-이공계열,1,3.0,교양필수,셀0(웹강의),"김유성,심정섭,이문규,이경자",Pass/Fail, 
GEB1143-001,GEB1143,001,미래사회와 소프트웨어-IT계열,1,3.0,교양필수,셀0(웹강의),"김유성,심정섭,이문규",Pass/Fail, 
GEB1143-002,GEB1143,002,미래사회와 소프트웨어-IT계열,1,3.0,교양필수,셀0(웹강의),"김유성,심정섭,이문규",Pass/Fail,INHA SAFE 프로그램 프리스쿨 전용 분반
GED1009-001,GED1009,001,마음을 움직이는 리더십,전체,3.0,교양선택,셀12(웹강의),김성건,상대평가,※기말 : 6월 23일 15:00 ~ 15:55
GED1010-001,GED1010,001,오래된 미래: 동양고전에서의 인간다움,전체,3.0,교양선택,셀8(웹강의),윤인현,상대평가,※기말 : 6월 23일 10:00 ~ 10:55
GED2009-001,GED2009,001,문화심리,전체,3.0,교양선택,셀2(웹강의),김의철,절대평가,"영어, English, ※기말 : 6월 22일 11:00 ~ 11:55"
GED2010-001,GED2010,001,축제와 인간사회,전체,3.0,교양선택,셀10(웹강의),박지선,상대평가,※기말 : 6월 23일 13:00 ~ 13:55
GED2016-001,GED2016,001,그리스신화의 이해,전체,3.0,교양선택,셀13(웹강의),조병준,상대평가,※기말 : 6월 23일 16:00 ~ 16:55
GED3002-001,GED3002,001,영화로보는문학세계,전체,3.0,교양선택,셀13(웹강의),김상원,상대평가,※기말 : 6월 23일 16:00 ~ 16:55
GED3015-001,GED3015,001,희곡의 이해,전체,3.0,교양선택,셀9(웹강의),왕치현,상대평가,※기말 : 6월 23일 11:00 ~ 11:55
GED3018-001,GED3018,001,그래픽 디자인 이야기,전체,3.0,교양선택,셀8(웹강의),강현주,Pass/Fail,※기말 : 6월 23일 10:00 ~ 10:55
GED4006-001,GED4006,001,국제관계학개론,전체,3.0,교양선택,셀5(웹강의),주승호,절대평가,"영어, English, ※기말 : 6월 22일 15:00 ~ 15:55"
GED4009-001,GED4009,001,동북아와 한일관계,전체,3.0,교양선택,셀11(웹강의),김웅희,상대평가,※기말 : 6월 23일 14:00 ~ 14:55
GED4015-001,GED4015,001,인류문명과 에너지원의 변천사,전체,3.0,교양선택,셀0(웹강의),탁용석,상대평가,이차전지공학
GED5001-001,GED5001,001,환경과 인간,전체,3.0,교양선택,셀3(웹강의),조강현,상대평가,※기말 : 6월 22일 13:00 ~ 13:55
GED5002-001,GED5002,001,생활 속 바이오이야기,전체,3.0,교양선택,셀2(웹강의),김은기,상대평가,※기말 : 6월 22일 11:00 ~ 11:55
GED5002-002,GED5002,002,생활 속 바이오이야기,3,3.0,교양선택,셀0(웹강의),김은기,상대평가,바이오제약공학
