course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
DSC1001-001,DSC1001,001,데이터사이언스 개론,1,3.0,전공필수,"화13,14,15,목13,14,15(5남332)",박보용,상대평가, 
MTH1001-047,MTH1001,047,일반수학 1,1,3.0,교양필수,"월1,2,3,수4,5,6(5동106B)",손정숙,상대평가, 
ACE1312-003,ACE1312,003,이산수학,2,3.0,교양필수,"월7,8,9,목4,5,6(5남136)",김린기,상대평가, 
ACE2105-008,ACE2105,008,선형대수,2,3.0,교양필수,"화13,14,15,목16,17,18(5동106B)",김형돈,상대평가, 
DSC1003-001,DSC1003,001,객체지향프로그래밍,2,3.0,전공선택,"월13,14,15,수13,14,15(60주년-907)",남지현,상대평가, 
DSC2003-001,DSC2003,001,통계적 추론,2,3.0,전공필수,"화1,2,3,목1,2,3(60주년-907)",최두원,상대평가, 
DSC2008-001,DSC2008,001,통계분석방법,2,3.0,전공선택,"화10,11,12,목10,11,12(60주년-907)",김재오,상대평가, 
DSC2009-001,DSC2009,001,사회조사방법론,2,3.0,전공선택,"금1,2,3,4,5,6(5서352)",신창운,상대평가, 
DSC3001-001,DSC3001,001,통계적 기계학습,3,3.0,전공필수,"화4,5,6,목4,5,6(60주년-907)",김재오,상대평가, 
DSC3002-001,DSC3002,001,빅데이터시스템,3,3.0,전공선택,"화13,14,15,목13,14,15(60주년-907)",김승환,상대평가, 
DSC3003-001,DSC3003,001,다변량 데이터 분석론,3,3.0,전공선택,"월13,14,15,수13,14,15(5남136)",최두원,상대평가, 
DSC3005-001,DSC3005,001,고객 데이터 분석론,3,3.0,전공선택,"화16,17,18,목16,17,18(60주년-907)",김승환,상대평가, 
DSC3010-001,DSC3010,001,센서 데이터 분석론,4,3.0,전공선택,"월10,11,12,수10,11,12(60주년-907)",남지현,상대평가, 
DSC4002-001,DSC4002,001,베이지안 분석 방법론,4,3.0,전공선택,"화13,14,15,목13,14,15(5서352)",조성일,상대평가, 
DSC4004-001,DSC4004,001,의료 데이터 분석론,4,3.0,전공선택,"화10,11,12,목10,11,12(5남136)",박보용,상대평가, 
DSC4006-001,DSC4006,001,데이터분석 사례연구,4,3.0,전공선택,"수1,2,3,4,5,6(5남132)","박보용,김승환,김재오,남지현,최두원",상대평가, 
