course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CCM2111-001,CCM2111,001,문화답사 기획실습,1,3.0,전공필수,"화13,14,15,16,17,18(5남535)",이수진,Pass/Fail, 
CCM2111-002,CCM2111,002,문화답사 기획실습,1,3.0,전공필수,"화13,14,15,16,17,18(5남331)",육상효,Pass/Fail, 
HUM1005-001,HUM1005,001,문화학의이해,1,3.0,교양필수,"월10,11,12,목10,11,12(5남535)",이수진,상대평가, 
HUM1005-002,HUM1005,002,문화학의이해,1,3.0,교양필수,"월7,8,9,금7,8,9(5남533)",장준도,상대평가, 
CCM1213-001,CCM1213,001,플롯유형론,2,3.0,전공선택,"월4,5,6,수4,5,6(5남533)",김만수,상대평가, 
CCM1213-002,CCM1213,002,플롯유형론,2,3.0,전공선택,"월10,11,12,수10,11,12(5남533)",김만수,상대평가, 
CCM1214-001,CCM1214,001,테크놀로지와 문화예술,2,3.0,전공선택,"수13,14,15,16,17,18(5남532)",윤나라,절대평가, 
CCM2213-001,CCM2213,001,스토리텔링 입문,2,3.0,전공선택,"화1,2,3,4,5,6(5남331)",육상효,절대평가,"영어,English"
CCM2213-002,CCM2213,002,스토리텔링 입문,2,3.0,전공선택,"수1,2,3,4,5,6(5남331)",육상효,절대평가,"영어,English"
CCM3211-001,CCM3211,001,문화심리마케팅,2,3.0,전공선택,"월10,11,12,수10,11,12(5남532)",왕치현,절대평가, 
CCM3212-001,CCM3212,001,문화마케팅,2,3.0,전공선택,"화13,14,15,16,17,18(5남533)",김상원,상대평가, 
CCM3212-002,CCM3212,002,문화마케팅,2,3.0,전공선택,"수13,14,15,16,17,18(5남533)",김형주,상대평가, 
CCM4213-001,CCM4213,001,영상커뮤니케이션,2,3.0,전공선택,"월4,5,6,수4,5,6(5남532)",정혜승,상대평가, 
CCM4213-002,CCM4213,002,영상커뮤니케이션,2,3.0,전공선택,"화4,5,6,목4,5,6(5남533)",이종영,상대평가, 
CCM4214-001,CCM4214,001,공연예술기획론,2,3.0,전공선택,"월13,14,15,16,17,18(5남331)",김성경,상대평가, 
CCM4223-001,CCM4223,001,문화경영커뮤니케이션,2,3.0,전공선택,"월10,11,12(5남401) /수10,11,12(5남240)",정혜승,상대평가, 
CCM1315-001,CCM1315,001,만화와 문학,3,3.0,전공선택,"월4,5,6,화4,5,6(5남505)",김세리,상대평가, 
CCM1316-001,CCM1316,001,문화 기호와 상상력,3,3.0,전공선택,"월4,5,6,목4,5,6(5남535)",이수진,상대평가, 
CCM2315-001,CCM2315,001,영상콘텐츠 제작 실습,3,3.0,전공선택,"금4,5,6,7,8,9,10,11(5남532)","한재연,정우람",절대평가, 
CCM2315-002,CCM2315,002,영상콘텐츠 제작 실습,3,3.0,전공선택,"금13,14,15,16,17,18,19,20(5남532)","한재연,정우람",절대평가, 
CCM2323-001,CCM2323,001,매체 스토리텔링 분석,3,3.0,전공선택,"금1,2,3,4,5,6(5남533)",백태현,상대평가, 
CCM2323-002,CCM2323,002,매체 스토리텔링 분석,3,3.0,전공선택,"금13,14,15,16,17,18(5남533)",백태현,상대평가, 
CCM2417-001,CCM2417,001,실용 스토리텔링 실습,3,3.0,전공선택,"화1,2,3,4,5,6(5남535)",한재연,상대평가, 
CCM3312-001,CCM3312,001,지역문화브랜딩실습,3,3.0,전공선택,"목7,8,9,10,11,12(5남405)",김상원,Pass/Fail, 
CCM3410-001,CCM3410,001,문화마케팅기획실습,3,3.0,전공선택,"금1,2,3,4,5,6(5남535)",송기란,상대평가, 
CCM3410-002,CCM3410,002,문화마케팅기획실습,3,3.0,전공선택,"목13,14,15,16,17,18(5남533)",김형주,상대평가, 
CCM3414-001,CCM3414,001,문화산업분석실습,3,3.0,전공선택,"금13,14,15,16,17,18(5남331)",장준도,상대평가, 
CCM4311-001,CCM4311,001,수사학의이해,3,3.0,전공선택,"월7,8,9,수7,8,9(5남331)",이문기,상대평가, 
CCM1417-001,CCM1417,001,신화와 문화콘텐츠,4,3.0,전공선택,"화4,5,6,목4,5,6(5남532)",강수환,상대평가, 
CCM1417-002,CCM1417,002,신화와 문화콘텐츠,4,3.0,전공선택,"화10,11,12,목10,11,12(5남532)",강수환,상대평가, 
CCM1419-001,CCM1419,001,디지털 시대의 문화예술,4,3.0,전공선택,"화13,14,15,16,17,18(5남532)",윤나라,상대평가, 
CCM3313-001,CCM3313,001,문화브랜드마케팅방법론,4,3.0,전공선택,"월10,11,12,수10,11,12(5남331)",이문기,상대평가, 
CCM3413-001,CCM3413,001,문화브랜드창업실습,4,3.0,전공선택,"금10,11,12,13,14,15(5남535)",송기란,절대평가, 
CCM4212-002,CCM4212,002,설득커뮤니케이션의 이해,4,3.0,전공선택,"화7,8,9,목7,8,9(5남533)",이종영,상대평가, 
