course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CHM1021-009,CHM1021,009,화학 1,1,3.0,교양필수,"화4,5,6,목7,8,9(5동508)",김희선,상대평가, 
CHM1028-010,CHM1028,010,화학실험 1,1,1.0,교양필수,"수1,2,3,4(5동511)",김희선,절대평가, 
MTH1001-035,MTH1001,035,일반수학 1,1,3.0,교양필수,"월13,14,15,수13,14,15(5동105B)",전용운,상대평가, 
PHY1001-029,PHY1001,029,물리학 1,1,3.0,교양필수,"화10,11,12,금1,2,3(5동406)",최민석,상대평가, 
PHY1001-030,PHY1001,030,물리학 1,1,3.0,교양필수,셀0(웹강의),이병찬,상대평가, 
PHY1001-031,PHY1001,031,물리학 1,1,3.0,교양필수,셀0(웹강의),윤진희,상대평가, 
PHY1002-001,PHY1002,001,물리학 2,1,3.0,교양필수,셀0(웹강의),이병찬,상대평가, 
PHY1003-031,PHY1003,031,물리학실험 1,1,1.0,교양필수,"목5,6,7,8(5동313)",박혜진,절대평가, 
PHY1114-001,PHY1114,001,고급물리학 1 - Inha Honors Course,1,3.0,교양필수,"월13,14,15,수13,14,15(5동207B)",김현철,절대평가, 
PHY2001-001,PHY2001,001,고전역학 1,2,3.0,전공필수,"화7,8,9,목4,5,6(5동408)",허남정,상대평가, 
PHY2012-001,PHY2012,001,전자기학 2,2,3.0,전공필수,"월7,8,9,화13,14,15(5동207A)",유석재,상대평가, 
PHY2017-001,PHY2017,001,전자물리학,2,3.0,전공선택,"화10,11,12,목10,11,12(5동207A)",정종훈,상대평가, 
PHY2051-001,PHY2051,001,현대물리학,2,3.0,전공선택,"화16,17,18,수7,8,9(5동207A)",유석재,상대평가, 
PHY2204-001,PHY2204,001,수리물리학 1,2,3.0,전공필수,"화4,5,6,금4,5,6(5동207B)",최민석,상대평가, 
PHY2501-001,PHY2501,001,전자물리실험,2,1.0,전공필수,"수10,11,12,13(5동316B)",정종훈,절대평가, 
PHY2501-002,PHY2501,002,전자물리실험,2,1.0,전공필수,"수16,17,18,19(5동316B)",정종훈,절대평가, 
PHY2520-001,PHY2520,001,현대물리실험,2,1.0,전공필수,"월10,11,12,13(5동311)",유석재,절대평가, 
PHY2520-002,PHY2520,002,현대물리실험,2,1.0,전공필수,"월16,17,18,19(5동311)",유석재,절대평가, 
PHY2100-001,PHY2100,001,기하광학,3,3.0,전공선택,"월13,14,15,목7,8,9(5동207A)",류한열,상대평가, 
PHY3021-001,PHY3021,001,양자물리학 1,3,3.0,전공필수,"월10,11,12,화10,11,12(5동405)",이병찬,상대평가, 
PHY3031-001,PHY3031,001,열 및 통계역학 1,3,3.0,전공필수,"월4,5,6(5동207A) /수10,11,12(5동207B)",박혜진,상대평가, 
PHY3312-001,PHY3312,001,레이저 및 양자광학,3,3.0,전공선택,"화7,8,9,금4,5,6(5동207A)",노재우,상대평가, 
PHY3401-001,PHY3401,001,신소재물리학,3,3.0,전공선택,"화7,8,9,목4,5,6(5동207B)",허윤,상대평가, 
PHY3514-001,PHY3514,001,광학실험,3,2.0,전공필수,"수13,14,15,16,17,18,19,20(5동311)",류한열,절대평가, 
PHY3514-002,PHY3514,002,광학실험,3,2.0,전공필수,"금10,11,12,13,14,15,16,17(5동311)",류한열,절대평가, 
PHY4822-001,PHY4822,001,물리학 종합설계,3,3.0,전공필수,"화16,17,18,목16,17,18(5동408)",이민백,상대평가, 
PHY4236-001,PHY4236,001,빅데이터 물리학 및 실습,4,3.0,전공선택,"월10,11,12(5동116A) /수13,14,15,16,17,18(5남238)",이재우,절대평가,"영어, English"
PHY4404-001,PHY4404,001,반도체물리학,4,3.0,전공선택,"화10,11,12,목10,11,12(5동207B)",이근섭,절대평가,"영어, English"
PHY4501-001,PHY4501,001,핵물리학,4,3.0,전공선택,"화13,14,15,목7,8,9(5동207B)",울룩백약시,절대평가,English
