course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
SIM1003-001,SIM1003,001,글로벌 경제학,전체,3.0,교양필수,"토15,16,17,18,19,20(M-306)",강재택,상대평가, 
SIM1003-002,SIM1003,002,글로벌 경제학,전체,3.0,교양필수,"토15,16,17,18,19,20(9-406)",이성준,상대평가, 
SIM2401-001,SIM2401,001,ESG경영,전체,3.0,전공선택,"월21,22,23,24,25,26(M-322)",김성건,상대평가, 
SIM3102-001,SIM3102,001,인적자원관리,전체,3.0,전공선택,셀0(웹강의),김성건,상대평가,타 단과대학 학생 대상
SIM3203-001,SIM3203,001,마케팅인사이트,전체,3.0,전공선택,셀0(웹강의),이재진,상대평가,타 단과대학 학생 대상
SIM3204-001,SIM3204,001,마케팅채널관리,전체,3.0,전공선택,"토1,2,3,4,5,6(9-306)",곽지훈,상대평가, 
SIM4302-001,SIM4302,001,비즈니스 이노베이션,전체,3.0,전공선택,셀0(웹강의),정승민,상대평가,타 단과대학 학생 대상
SIM1002-001,SIM1002,001,경영자료처리이론,1,3.0,교양필수,"토1,2,3,4,5,6(M-303)",서창수,절대평가, 
SIM1002-002,SIM1002,002,경영자료처리이론,1,3.0,교양필수,"토9,10,11,12,13,14(M-203)",정승민,절대평가, 
SIM1004-001,SIM1004,001,산업경영의이해,1,3.0,교양필수,"목21,22,23,24,25,26(M-205)",김성건,상대평가, 
SIM1004-002,SIM1004,002,산업경영의이해,1,3.0,교양필수,"목21,22,23,24,25,26(M-301)",이재진,상대평가, 
SIM1404-001,SIM1404,001,고객관계관리,2,3.0,전공선택,"토1,2,3,4,5,6(9-406)",정승민,상대평가, 
SIM2202-001,SIM2202,001,소비자행동론,2,3.0,전공선택,"토9,10,11,12,13,14(9-403)",이재진,상대평가, 
SIM2302-001,SIM2302,001,기업경영분석,2,3.0,전공선택,"수21,22,23,24,25,26(9-217)",서창수,상대평가, 
CBA1107-003,CBA1107,003,기업법,3,3.0,교양필수,"토15,16,17,18,19,20(9-303)",박민우,상대평가, 
SIM3102-002,SIM3102,002,인적자원관리,3,3.0,전공선택,"토1,2,3,4,5,6(9-303)",김성건,상대평가,산업경영학과 학생 대상
SIM3201-001,SIM3201,001,마케팅커뮤니케이션,3,3.0,전공선택,"토9,10,11,12,13,14(9-303)",성준현,상대평가, 
SIM3303-001,SIM3303,001,경영과 데이터베이스,3,3.0,전공선택,"화21,22,23,24,25,26(M-303)",서창수,절대평가, 
SIM3303-002,SIM3303,002,경영과 데이터베이스,3,3.0,전공선택,"수21,22,23,24,25,26(M-303)",정승민,절대평가, 
SIM9006-001,SIM9006,001,현장프로젝트1,3,3.0,전공선택,"토21,22,23,24,25,26(9-406)",이재진,Pass/Fail, 
SIM9006-002,SIM9006,002,현장프로젝트1,3,3.0,전공선택,"토21,22,23,24,25,26(M-203)",김성건,Pass/Fail, 
SIM9006-003,SIM9006,003,현장프로젝트1,3,3.0,전공선택,"토21,22,23,24,25,26(9-403)",정승민,Pass/Fail, 
SIM9006-004,SIM9006,004,현장프로젝트1,3,3.0,전공선택,"금21,22,23,24,25,26(M-303)",김성건,Pass/Fail, 
SIM3202-001,SIM3202,001,브랜드전략,4,3.0,전공선택,"토1,2,3,4,5,6(M-206)",이재진,상대평가, 
SIM4302-002,SIM4302,002,비즈니스 이노베이션,4,3.0,전공선택,"목21,22,23,24,25,26(9-217)",정승민,상대평가,산업경영학과 학생 대상
SIM4401-001,SIM4401,001,국제경영,4,3.0,전공선택,"토9,10,11,12,13,14(9-306)",이성준,상대평가, 
SIM9003-001,SIM9003,001,현장프로젝트3,4,3.0,전공선택,"토21,22,23,24,25,26(9-306)",서창수,Pass/Fail, 
SIM9003-002,SIM9003,002,현장프로젝트3,4,3.0,전공선택,"금21,22,23,24,25,26(9-203)",서창수,Pass/Fail, 
