course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
BIO1001-001,BIO1001,001,생명과학개론,1,3.0,교양필수,"월13,14,15,수13,14,15(5서460)",한성규,상대평가, 
CHM1023-009,CHM1023,009,일반화학,1,3.0,교양필수,"화7,8,9,금4,5,6(5동507)",강동원,상대평가, 
MTH1001-032,MTH1001,032,일반수학 1,1,3.0,교양필수,"화13,14,15,목4,5,6(5남140)",신희성,상대평가, 
MTH1001-033,MTH1001,033,일반수학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동106A)",연룡하,절대평가,Chinese
MTH1002-001,MTH1002,001,일반수학 2,1,3.0,교양필수,"월7,8,9,수10,11,12(5동107B)",오명선,상대평가, 
MTH1002-002,MTH1002,002,일반수학 2,1,3.0,교양필수,"월16,17,18,수4,5,6(5동107A)",오명선,상대평가, 
MTH1002-003,MTH1002,003,일반수학 2,1,3.0,교양필수,"화13,14,15,금1,2,3(5동105B)",전상표,상대평가, 
MTH1002-004,MTH1002,004,일반수학 2,1,3.0,교양필수,"화10,11,12,금10,11,12(5동208A)",전상표,상대평가, 
MTH1003-001,MTH1003,001,고급수학 1 - Inha Honors Course,1,3.0,교양필수,"월16,17,18,수16,17,18(5동210B)",고승찬,절대평가, 
MTH1011-001,MTH1011,001,일반수학연습 1,1,1.0,교양필수,"월1,2,3,4(5동210B)",신희성,Pass/Fail, 
MTH1031-001,MTH1031,001,계산수학,1,3.0,교양필수,"수1,2,3,금1,2,3(5동213A)",이현대,Pass/Fail, 
PHY1001-028,PHY1001,028,물리학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동407)",홍석민,상대평가, 
PHY1003-030,PHY1003,030,물리학실험 1,1,1.0,교양필수,"화1,2,3,4(5동315)",김현철,절대평가, 
ACE2102-002,ACE2102,002,공업수학 2,2,3.0,교양필수,"월1,2,3,수4,5,6(5동102)",연룡하,절대평가,Chinese
MTH2003-001,MTH2003,001,미분방정식 1,2,3.0,전공선택,"화13,14,15,목13,14,15(5동213A)",권희대,상대평가, 
MTH2004-001,MTH2004,001,집합론,2,3.0,전공선택,"화4,5,6,목4,5,6(5동213A)",송용진,상대평가, 
MTH2005-001,MTH2005,001,해석학1,2,3.0,전공필수,"화9,10,11,12,목9,10,11,12(5동210B)",강현배,절대평가, 
MTH2005-002,MTH2005,002,해석학1,2,3.0,전공필수,"월9,10,11,12,수9,10,11,12(5동213A)",고승찬,절대평가, 
MTH2012-001,MTH2012,001,선형대수학 1,2,3.0,전공필수,"월13,14,15,수13,14,15(5동213A)",김린기,상대평가, 
MTH2012-002,MTH2012,002,선형대수학 1,2,3.0,전공필수,"수4,5,6,금10,11,12(5동210B)",최광석,상대평가, 
MTH2504-001,MTH2504,001,파이썬스런파이썬,2,3.0,전공선택,"월4,5,6,7,수4,5,6,7(5북213)",김도완,절대평가, 
MTH2602-001,MTH2602,001,수학과컴퓨터,2,3.0,전공선택,"화7,8,9,10,목7,8,9,10(5동213A)",김미영,절대평가, 
MTH3103-001,MTH3103,001,복소해석학 1,3,3.0,전공선택,"월13,14,15,수13,14,15(5동210B)",정해원,상대평가, 
MTH3221-001,MTH3221,001,대수학 1,3,3.0,전공선택,"화1,2,3,금4,5,6(5동210B)",이익권,상대평가, 
MTH3301-001,MTH3301,001,위상수학 1,3,3.0,전공선택,"월4,5,6,수4,5,6(5동213A)",현윤석,상대평가, 
MTH3400-001,MTH3400,001,이산수학과 그래프이론,3,3.0,전공선택,"화4,5,6,목1,2,3(5동210A)",신희성,상대평가, 
MTH3502-001,MTH3502,001,인공지능을 위한 수학 1,3,3.0,전공선택,"월9,10,11,12,수9,10,11,12(5북213)",현윤석,절대평가, 
MTH3622-001,MTH3622,001,수치해석학,3,3.0,전공선택,"화7,8,9,목4,5,6(5동210A)",조태창,상대평가, 
MTH4110-001,MTH4110,001,실해석학,4,3.0,전공선택,"월7,8,9,수7,8,9(5동210B)",정해원,상대평가, 
MTH4311-001,MTH4311,001,미분기하학 1,4,3.0,전공선택,"화13,14,15,금13,14,15(5동210A)",최광석,상대평가, 
MTH4400-001,MTH4400,001,조합론,4,3.0,전공선택,"월16,17,18,수16,17,18(5동213A)",김린기,상대평가, 
MTH4511-001,MTH4511,001,편미분방정식,4,3.0,전공선택,"월1,2,3,금4,5,6(5동213A)",이현대,상대평가, 
MTH4760-001,MTH4760,001,네트워크 최적화,4,3.0,전공선택,"월10,11,12,수10,11,12(5동210B)",김도완,상대평가, 
