course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CHM1023-011,CHM1023,011,일반화학,1,3.0,교양필수,"화13,14,15,목13,14,15(5동505)",김창곤,상대평가, 
CHM1027-011,CHM1027,011,일반화학실험,1,1.0,교양필수,"화5,6,7,8(5동511)",박수진,절대평가, 
MTH1001-048,MTH1001,048,일반수학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동107B)",김동호,상대평가, 
PHY1001-035,PHY1001,035,물리학 1,1,3.0,교양필수,"월7,8,9,수7,8,9(5동407)",우정석,상대평가, 
PHY1003-034,PHY1003,034,물리학실험 1,1,1.0,교양필수,"금5,6,7,8(5동315)",이민백,절대평가, 
ACE2101-026,ACE2101,026,공업수학 1,2,3.0,교양필수,"수16,17,18,금16,17,18(5동107A)",최경표,상대평가, 
SME2002-001,SME2002,001,전기회로,2,3.0,전공필수,"화13,14,15,16,17,18(항공-203)",유지원,상대평가, 
SME2003-001,SME2003,001,스마트모빌리티기초실험,2,1.0,전공필수,"화9,10,11,12(송-121)",류춘우,절대평가, 
SME2003-002,SME2003,002,스마트모빌리티기초실험,2,1.0,전공필수,"화4,5,6,7(송-121)",류춘우,절대평가, 
SME2009-001,SME2009,001,실시간 데이터 해석,3,3.0,전공필수,"화13,14,15,16,17,18(항공-204)",심인욱,상대평가, 
SME3002-001,SME3002,001,선형대수,3,3.0,전공필수,"월21,22,23,24,25,26(항공-204)",고승우,상대평가, 
SME3003-001,SME3003,001,통신시스템,3,3.0,전공선택,"월13,14,15,16,17,18(항공-204)",고승우,상대평가, 
