course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ARS1104-001,ARS1104,001,파워바디플랜,전체,3.0,교양필수,"수1,2,3,4,5,6(5동111)",송정란,절대평가, 
KIN1014-001,KIN1014,001,스포츠산업론,전체,3.0,전공선택,"화13,14,15,16,17,18(5서560B)",고은하,상대평가, 
KIN3208-001,KIN3208,001,스포츠마케팅,전체,3.0,전공선택,"목1,2,3,4,5,6(5서556)",박찬민,상대평가, 
KIN1001-001,KIN1001,001,스포츠과학개론,1,3.0,전공필수,"화1,2,3,4,5,6(5남333)","김민규,성종훈",상대평가, 
KIN1017-001,KIN1017,001,인체기능해부학,1,3.0,전공필수,"수1,2,3,4,5,6(5서556)",성종훈,절대평가,"영어, English"
KIN1018-001,KIN1018,001,수영,1,1.0,전공선택,"금9,10,11,12(5남225A)",서정은,절대평가, 
KIN1002-001,KIN1002,001,여가학,2,3.0,전공필수,"목4,5,6,7,8,9(5동116A)",박수정,상대평가, 
KIN1002-002,KIN1002,002,여가학,2,3.0,전공필수,"목13,14,15,16,17,18(5동116A)","박수정,윤채빈",상대평가, 
KIN2020-001,KIN2020,001,하계스포츠세미나,2,2.0,전공선택,"월19,20,21,22,23,24(5서556)",박동호,절대평가, 
KIN2020-002,KIN2020,002,하계스포츠세미나,2,2.0,전공선택,"화19,20,21,22,23,24(5서556)",박수정,절대평가, 
KIN2020-003,KIN2020,003,하계스포츠세미나,2,2.0,전공선택,"수19,20,21,22,23,24(5서556)",곽효범,절대평가, 
KIN2020-004,KIN2020,004,하계스포츠세미나,2,2.0,전공선택,"목19,20,21,22,23,24(5서560B)",박찬민,절대평가, 
KIN2103-001,KIN2103,001,운동생리학,2,3.0,전공필수,"화1,2,3,4,5,6(5서556)",곽효범,절대평가,"영어, English"
KIN3001-001,KIN3001,001,스포츠사회학,2,3.0,전공필수,"월13,14,15,16,17,18(5서556)",김우성,상대평가, 
KIN1101-001,KIN1101,001,발육발달및노화,3,3.0,전공선택,"수1,2,3,4,5,6(5서560B)",곽효범,절대평가,"영어, English"
KIN3007-001,KIN3007,001,웨이트트레이닝,3,1.0,전공선택,"목17,18,19,20(5서160)",노성환,절대평가, 
KIN3019-001,KIN3019,001,골프,3,1.0,전공선택,"화3,4,5,6(5남225A)",박동호,절대평가, 
KIN3019-002,KIN3019,002,골프,3,1.0,전공선택,"월13,14,15,16(5남225A)",박찬민,절대평가, 
KIN3019-003,KIN3019,003,골프,3,1.0,전공선택,"화3,4,5,6(5서560B)","박수정,서호정",상대평가, 
KIN3101-001,KIN3101,001,트레이닝방법론,3,3.0,전공선택,"화13,14,15,16,17,18(5서556)",박동호,상대평가, 
KIN3107-001,KIN3107,001,운동상해및테이핑,3,3.0,전공선택,"금13,14,15,16,17,18(5남225A)",김형철,절대평가, 
KIN3115-001,KIN3115,001,운동손상학,3,3.0,전공선택,"수10,11,12,13,14,15,16,17(5서556)",성종훈,절대평가,"영어, English"
KIN3216-001,KIN3216,001,실버스포츠지도론,3,3.0,전공선택,"월1,2,3,4,5,6,7,8(5서560B)",서정은,절대평가, 
KIN3016-001,KIN3016,001,스포츠전문영어,4,2.0,전공선택,"금10,11,12,13(5서556)",크리스틀,절대평가,English
KIN3212-001,KIN3212,001,해양레저관광론,4,3.0,전공선택,"수1,2,3,4,5,6(5남333)",김민규,상대평가, 
KIN4104-001,KIN4104,001,운동치료방법론,4,3.0,전공선택,"화13,14,15,16,17,18(5남333)",성종훈,상대평가, 
KIN4208-001,KIN4208,001,스포츠판례연구,4,3.0,전공선택,"월1,2,3,4,5,6(5서556)",박찬민,상대평가, 
KIN4209-001,KIN4209,001,융합스포츠정책론,4,2.0,전공선택,"목1,2,3,4(5서560B)",김민규,절대평가, 
KIN4210-001,KIN4210,001,스포츠와IoT,4,3.0,전공선택,"수9,10,11,12,13,14,15,16(5서560B)",김민규,절대평가, 
