course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ACE1301-010,ACE1301,010,정보사회와컴퓨터,전체,3.0,교양필수,"금1,2(5서260) /금3,4,5,6(5남238)",이윤정,절대평가, 
CHM1021-006,CHM1021,006,화학 1,1,3.0,교양필수,"화1,2,3,목10,11,12(5동505)",최성환,상대평가, 
CHM1021-007,CHM1021,007,화학 1,1,3.0,교양필수,"수7,8,9,금10,11,12(5동505)",정시원,상대평가, 
CHM1028-006,CHM1028,006,화학실험 1,1,1.0,교양필수,"월9,10,11,12(5동511)",김민규,절대평가, 
CHM1028-007,CHM1028,007,화학실험 1,1,1.0,교양필수,"화13,14,15,16(5동511)",박성진,절대평가, 
CHM1028-008,CHM1028,008,화학실험 1,1,1.0,교양필수,"수13,14,15,16(5동511)",정시원,절대평가, 
MTH1001-014,MTH1001,014,일반수학 1,1,3.0,교양필수,"월1,2,3,수4,5,6(5동105B)",전용운,상대평가, 
MTH1001-015,MTH1001,015,일반수학 1,1,3.0,교양필수,"화10,11,12,금10,11,12(5동105B)",임선간,상대평가, 
MTH1001-016,MTH1001,016,일반수학 1,1,3.0,교양필수,"화1,2,3,목10,11,12(5동106A)",김태정,상대평가, 
PHY1001-014,PHY1001,014,물리학 1,1,3.0,교양필수,"월10,11,12,수10,11,12(5동408)",홍석민,상대평가, 
PHY1001-015,PHY1001,015,물리학 1,1,3.0,교양필수,"화13,14,15,목13,14,15(5동405)",이근섭,상대평가, 
PHY1003-014,PHY1003,014,물리학실험 1,1,1.0,교양필수,"수1,2,3,4(5동313)",노재우,절대평가, 
PHY1003-015,PHY1003,015,물리학실험 1,1,1.0,교양필수,"금5,6,7,8(5동313)",이재우,절대평가, 
PHY1003-016,PHY1003,016,물리학실험 1,1,1.0,교양필수,"화5,6,7,8(5동315)",이근섭,절대평가, 
ACE2101-012,ACE2101,012,공업수학 1,2,3.0,교양필수,"월13,14,15,수10,11,12(5동107A)",이선영,상대평가, 
ACE2101-013,ACE2101,013,공업수학 1,2,3.0,교양필수,"화4,5,6,목1,2,3(5동107A)",장영호,상대평가, 
ACE2101-014,ACE2101,014,공업수학 1,2,3.0,교양필수,"수7,8,9,금13,14,15(5동107B)",최경표,상대평가, 
MSE2001-001,MSE2001,001,재료과학 1,2,3.0,전공필수,"월16,17,18,목10,11,12(5서260)",조원승,상대평가,선수
MSE2001-002,MSE2001,002,재료과학 1,2,3.0,전공필수,"수10,11,12,목16,17,18(5서255)",조원승,상대평가,선수
MSE2001-003,MSE2001,003,재료과학 1,2,3.0,전공필수,"월4,5,6,화10,11,12(5서255)",이기안,상대평가,선수
MSE2003-001,MSE2003,001,물리화학 1,2,3.0,전공필수,"화13,14,15,수16,17,18(5서452)",예종필,절대평가,"영어,English,선수"
MSE2003-002,MSE2003,002,물리화학 1,2,3.0,전공필수,"월4,5,6,수4,5,6(5서252)",이정환,절대평가,"영어,English,선수"
MSE2003-003,MSE2003,003,물리화학 1,2,3.0,전공필수,"화1,2,3,목1,2,3(5서260)",김상현,절대평가,"영어,English,선수"
MSE2005-001,MSE2005,001,재료역학,2,3.0,전공필수,"월10,11,12,화16,17,18(5서260)",조원승,상대평가, 
MSE2005-002,MSE2005,002,재료역학,2,3.0,전공필수,"월10,11,12,수10,11,12(5서252)",박현순,상대평가, 
MSE2005-003,MSE2005,003,재료역학,2,3.0,전공필수,"화13,14,15,16,17,18(5서252)",김목순,상대평가, 
MSE2006-001,MSE2006,001,결정학,2,3.0,전공필수,"화4,5,6,수13,14,15(5서252)",김상섭,상대평가, 
MSE2006-002,MSE2006,002,결정학,2,3.0,전공필수,"화10,11,12,수7,8,9(5서252)",김상섭,상대평가, 
MSE2006-003,MSE2006,003,결정학,2,3.0,전공필수,"화4,5,6,목4,5,6(5서452)",이상진,상대평가, 
MSE2009-001,MSE2009,001,물리금속학,3,3.0,전공선택,"월4,5,6,수4,5,6(5서260)",김윤준,절대평가,"영어,English"
MSE3001-001,MSE3001,001,재료공학실험 1,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(5서252)",조원승,절대평가, 
MSE3001-002,MSE3001,002,재료공학실험 1,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(5서255)",김상섭,절대평가, 
MSE3001-003,MSE3001,003,재료공학실험 1,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(5서452)",최리노,절대평가, 
MSE3001-004,MSE3001,004,재료공학실험 1,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(5서351)",현승균,절대평가, 
MSE3001-005,MSE3001,005,재료공학실험 1,3,2.0,전공필수,"금1,2,3,4,5,6,7,8(5서353)",이기안,절대평가, 
MSE3001-006,MSE3001,006,재료공학실험 1,3,2.0,전공필수,"금9,10,11,12,13,14,15,16(5서260)",김용선,절대평가, 
MSE3001-007,MSE3001,007,재료공학실험 1,3,2.0,전공필수,"금9,10,11,12,13,14,15,16(5서255)",이정환,절대평가, 
MSE3001-008,MSE3001,008,재료공학실험 1,3,2.0,전공필수,"금9,10,11,12,13,14,15,16(5서452)",김윤준,절대평가, 
MSE3003-001,MSE3003,001,재료열역학,3,3.0,전공필수,"월13,14,15,수13,14,15(5서260)",이정환,절대평가,"영어,English"
MSE3003-002,MSE3003,002,재료열역학,3,3.0,전공필수,"화7,8,9,목10,11,12(5서252)",고원석,상대평가, 
MSE3003-003,MSE3003,003,재료열역학,3,3.0,전공필수,"화4,5,6,목4,5,6(5서255)",김영재,상대평가, 
MSE3009-001,MSE3009,001,전자재료물성,3,3.0,전공선택,"수10,11,12,목7,8,9(5서260)",함명관,상대평가, 
MSE3009-002,MSE3009,002,전자재료물성,3,3.0,전공선택,"화16,17,18,목13,14,15(5서255)",이상진,상대평가, 
MSE3011-001,MSE3011,001,재료강도학,3,3.0,전공선택,"월10,11,12,화1,2,3(5서255)",이기안,상대평가,선수
MSE3025-001,MSE3025,001,반도체소자,3,3.0,전공선택,"화4,5,6,목4,5,6(5서260)",최리노,절대평가,"영어,English"
MSE3025-002,MSE3025,002,반도체소자,3,3.0,전공선택,"화10,11,12,수7,8,9(5서452)",이문상,상대평가, 
MSE3025-003,MSE3025,003,반도체소자,3,3.0,전공선택,"수13,14,15,16,17,18(5서255)",전정식,상대평가, 
MSE3031-001,MSE3031,001,자원 리싸이클링 공학,3,3.0,전공선택,"화13,14,15,목16,17,18(5서260)",김영재,상대평가, 
MSE4001-001,MSE4001,001,신소재공학종합설계,4,4.0,전공필수,"금1,2,3,4,5,6(5북239) /토1,2,3,4,5,6(5서252)","고원석,김상현",Pass/Fail,선수
MSE4001-002,MSE4001,002,신소재공학종합설계,4,4.0,전공필수,"금7,8,9,10,11,12(5북239) /토1,2,3,4,5,6(5서255)","예종필,김영재",Pass/Fail,선수
MSE4001-003,MSE4001,003,신소재공학종합설계,4,4.0,전공필수,"금19,20,21,22,23,24,토1,2,3,4,5,6(5서452)","함명관,이문상",Pass/Fail,선수
MSE4005-001,MSE4005,001,복합재료,4,3.0,전공선택,"화10,11,12,수16,17,18(5서260)",조원승,상대평가, 
MSE4006-001,MSE4006,001,전기화학소자,4,3.0,전공선택,"화1,2,3,수1,2,3(5서452)",김용선,절대평가,"영어,English"
MSE4006-002,MSE4006,002,전기화학소자,4,3.0,전공선택,"화7,8,9,수7,8,9(5서255)",김용선,절대평가,"영어,English"
MSE4007-001,MSE4007,001,나노물성 및 합성,4,3.0,전공선택,"화16,17,18,수13,14,15(5서452)",예종필,절대평가,"영어,English"
MSE4024-001,MSE4024,001,나노소재와 소자응용,4,3.0,전공선택,"목13,14,15,16,17,18,19,20(5서252)","함명관,이문상",절대평가,"영어,English"
