course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ENG2304-001,ENG2304,001,영어발음클리닉,전체,3.0,전공선택,"화10,11,12,수10,11,12(5남515)",홍순현,상대평가, 
HUM1001-004,HUM1001,004,언어의 이해,전체,3.0,교양필수,"화4,5,6,목4,5,6(5남515)",한승훈,상대평가, 
HUM1002-003,HUM1002,003,문학의 이해,전체,3.0,교양필수,"화13,14,15,목10,11,12(5남515)",엄재덕,상대평가, 
ENG1401-001,ENG1401,001,영어토론과프레젠테이션,1,3.0,전공필수,"월7,8,9,수7,8,9(5남403)",홍성산,절대평가,English
ENG1401-002,ENG1401,002,영어토론과프레젠테이션,1,3.0,전공필수,"월10,11,12,수10,11,12(5남403)",홍성산,절대평가,English
ENG1401-003,ENG1401,003,영어토론과프레젠테이션,1,3.0,전공필수,"월7,8,9(5남515) /화7,8,9(5남403)",조던,절대평가,English
ENG1401-004,ENG1401,004,영어토론과프레젠테이션,1,3.0,전공필수,"월13,14,15(5남515) /화13,14,15(5남403)",조던,절대평가,English
ENG1402-001,ENG1402,001,영문학개론,1,3.0,전공필수,"월4,5,6(5남515) /수4,5,6(5남451)",김의영,절대평가, 
ENG2201-001,ENG2201,001,영어학개론,2,3.0,전공필수,"화16,17,18,목16,17,18(5남451)",홍순현,상대평가, 
ENG2201-002,ENG2201,002,영어학개론,2,3.0,전공필수,"수16,17,18(5남403) /목13,14,15(5남451)",홍순현,절대평가,"영어,English"
ENG2203-001,ENG2203,001,영문법,2,3.0,전공선택,"월4,5,6(5남451) /화7,8,9(5남515)",한승훈,상대평가, 
ENG2204-001,ENG2204,001,영어독해의 이론과 실제,2,3.0,전공선택,"월13,14,15,16,17,18(5남451)",한승훈,상대평가, 
ENG2303-001,ENG2303,001,기술영어글쓰기,2,3.0,전공필수,"월13,14,15(5남532) /수13,14,15(5남451)",맥키,절대평가,English
ENG2303-002,ENG2303,002,기술영어글쓰기,2,3.0,전공필수,"월10,11,12(5남515) /화10,11,12(5남403)",조던,절대평가,English
ENG2305-001,ENG2305,001,문화연구개론,2,3.0,전공선택,"화1,2,3,목1,2,3(5남451)",유영종,상대평가, 
ENG2401-001,ENG2401,001,표현영어글쓰기,2,3.0,전공선택,"월13,14,15,수13,14,15(5남403)",홍성산,절대평가,English
ENG2401-002,ENG2401,002,표현영어글쓰기,2,3.0,전공선택,"화7,8,9,목7,8,9(5남451)",맥키,절대평가,English
ENG2402-001,ENG2402,001,영문학고전읽기,2,3.0,전공선택,"수13,14,15,목13,14,15(5남515)",김종석,상대평가, 
ENG3009-001,ENG3009,001,번역의 이론과 실제,3,3.0,전공선택,"금10,11,12,13,14,15(5남515)",정회성,상대평가, 
ENG3106-001,ENG3106,001,영국문학개관 1,3,3.0,전공선택,"화10,11,12,수10,11,12(5남451)",강지수,상대평가, 
ENG3108-001,ENG3108,001,미국문학개관 1,3,3.0,전공선택,"화4,5,6,목4,5,6(5남451)",유영종,상대평가, 
ENG3314-001,ENG3314,001,영미소설,3,3.0,전공선택,"월10,11,12(5남451) /목4,5,6(5남403)",김종석,상대평가, 
ENG3401-001,ENG3401,001,영미공연예술과 미디어,3,3.0,전공선택,"화4,5,6,목4,5,6(5동102)",김의영,상대평가, 
ENG3404-001,ENG3404,001,고급영어토론과프레젠테이션,3,3.0,전공선택,"화13,14,15(5남451) /목13,14,15(5남403)",맥키,절대평가,English
ENG3405-001,ENG3405,001,영국역사와문화,3,3.0,전공선택,"월4,5,6(5남403) /수4,5,6(5남515)",김종석,상대평가, 
ENG3407-001,ENG3407,001,숏폼스토리텔링,3,3.0,전공선택,"수10,11,12(5동102) /목13,14,15(5남532)",조성경,절대평가, 
ENG4304-001,ENG4304,001,미국다문화의 이해,4,3.0,전공선택,"화1,2,3,목1,2,3(5남515)",김의영,상대평가, 
ENG4305-001,ENG4305,001,영미시,4,3.0,전공선택,"화16,17,18,목7,8,9(5남515)",엄재덕,상대평가, 
ENG4402-001,ENG4402,001,글로벌 셰익스피어,4,3.0,전공선택,"화4,5,6,수4,5,6(5남403)",강지수,절대평가,"영어,English"
ENG4403-001,ENG4403,001,디지털미디어서사연구,4,3.0,전공선택,"수16,17,18(5남451) /목16,17,18(5남517)",조성경,절대평가,"영어,English"
