course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ARS1600-001,ARS1600,001,패션브랜드의 세계,전체,3.0,교양필수,"월13,14,15,16,17,18(1-435)",이미영,상대평가, 
FDT1305-002,FDT1305,002,패션비즈니스의이해,전체,3.0,전공필수,"목13,14,15,16,17,18(1-522)",이현화,상대평가, 
FDT1305-001,FDT1305,001,패션비즈니스의이해,1,3.0,전공필수,"월10,11,12,화7,8,9(1-435)",이현화,상대평가, 
FDT1404-001,FDT1404,001,패션디자인론,1,3.0,전공선택,"화1,2,3,4,5,6(1-522)",이주영,상대평가,(초빙교수)특수교과목
FDT1406-001,FDT1406,001,패션드로잉,1,3.0,전공선택,"월4,5,6,7,8,9(1-501)",이규원,절대평가,실기전형
FDT1406-002,FDT1406,002,패션드로잉,1,3.0,전공선택,"월13,14,15,16,17,18(1-501)",이규원,절대평가,비실기전형
FDT2104-001,FDT2104,001,어패럴메이킹,2,3.0,전공필수,"화10,11,12,13,14,15,16,17(1-412)",김현주,절대평가, 
FDT2104-002,FDT2104,002,어패럴메이킹,2,3.0,전공필수,"수10,11,12,13,14,15,16,17(1-412)",배지예,절대평가, 
FDT2209-001,FDT2209,001,패션섬유와신소재,2,3.0,전공선택,"월13,14,15,16,17,18(1-522)",황나원,절대평가, 
FDT2304-001,FDT2304,001,의상사회심리,2,3.0,전공선택,"월7,8,9,화4,5,6(1-435)",이미영,상대평가, 
FDT2308-001,FDT2308,001,패션리테일기획,2,3.0,전공선택,"월1,2,3,4,5,6(1-522)",이현화,상대평가, 
FDT2416-001,FDT2416,001,기초패션디자인,2,3.0,전공선택,"수1,2,3,4,5,6(1-501)",이경진,절대평가, 
FDT2416-002,FDT2416,002,기초패션디자인,2,3.0,전공선택,"수10,11,12,13,14,15(1-501)",이경진,절대평가, 
FDT3209-001,FDT3209,001,의복환경학,2,3.0,전공선택,"목1,2,3,4,5,6(1-522)",나영주,상대평가,원격활용교과목
FDT3415-001,FDT3415,001,패션캐드,2,3.0,전공선택,"목1,2,3,4,5,6,7,8(1-430)",한지은,절대평가, 
FDT3415-002,FDT3415,002,패션캐드,2,3.0,전공선택,"목10,11,12,13,14,15,16,17(1-430)",한지은,절대평가, 
FDT2206-001,FDT2206,001,의류생산과품질시험,3,3.0,전공필수,"수10,11,12,13,14,15(1-530)",나영주,절대평가, 
FDT2206-002,FDT2206,002,의류생산과품질시험,3,3.0,전공필수,"목10,11,12,13,14,15(1-530)",나영주,절대평가, 
FDT3104-001,FDT3104,001,테일러링,3,3.0,전공선택,"월1,2,3,4,5,6,7,8(1-412)",배지예,절대평가,블렌디드러닝(Blended Learning)
FDT3307-001,FDT3307,001,패션브랜드매니지먼트,3,3.0,전공선택,"월13,14,15,16,17,18(60주년-510)",이정순,상대평가,플립드러닝(FL)
FDT3310-001,FDT3310,001,디지털패션마케팅,3,3.0,전공선택,"화13,14,15,16,17,18(1-522)","이미영,석지은",상대평가,1-430 동시사용 / PS 교과목 / 공동강의
FDT3409-001,FDT3409,001,디자인트렌드와문화,3,3.0,전공선택,"수1,2,3,4,5,6(1-522)",김성은,상대평가, 
FDT3416-001,FDT3416,001,패션디자인1,3,3.0,전공선택,"화1,2,3,4,5,6(1-501)",우주형,절대평가, 
FDT3416-002,FDT3416,002,패션디자인1,3,3.0,전공선택,"화10,11,12,13,14,15(1-501)",우주형,절대평가, 
FDT4109-001,FDT4109,001,테크니컬디자인실습,4,3.0,전공선택,"수10,11,12,13,14,15(1-430)",류경화,절대평가, 
FDT4209-001,FDT4209,001,3D어패럴캐드,4,3.0,전공선택,"화1,2,3,4,5,6,7,8(1-430)",김지수,절대평가,캡스톤디자인
FDT4414-001,FDT4414,001,패션액세서리디자인,4,3.0,전공선택,"목4,5,6,7,8,9(1-501)",최지희,절대평가,1-412 동시사용 / PS 교과목
FDT4902-001,FDT4902,001,의류디자인학프로젝트,4,4.0,전공필수,"금1,2,3,4,5,6,7,8(1-435)","나영주,이미영,이현화",Pass/Fail,대표담당교수 - 이현화
FDT4902-002,FDT4902,002,의류디자인학프로젝트,4,4.0,전공필수,"월10,11,12,13,14,15,16,17(1-312)",우주형,Pass/Fail,캡스톤디자인
FDT4902-003,FDT4902,003,의류디자인학프로젝트,4,4.0,전공필수,"월10,11,12,13,14,15,16,17(1-412)",배윤지,Pass/Fail,캡스톤디자인
FDT4903-001,FDT4903,001,의류디자인학 연구방법론,4,3.0,전공선택,"월1,2,3,4,5,6(5동116A)",이정순,상대평가,SPSS 전산실습실 배정
