course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ECE3419-001,ECE3419,001,마이크로웨이브공학,전체,3.0,전공선택,"수5,6,7,목7,8,9(하-203A)",고일석,상대평가, 
ACE1302-004,ACE1302,004,컴퓨터프로그래밍,1,3.0,교양필수,"화7,8,9,10,11,12,13,14(하-701)",김영진,절대평가, 
ACE1302-005,ACE1302,005,컴퓨터프로그래밍,1,3.0,교양필수,"월9,10,11,12,화9,10,11,12(60주년-809)",오이식,절대평가, 
ACE1302-006,ACE1302,006,컴퓨터프로그래밍,1,3.0,교양필수,"월13,14,15,16,화13,14,15,16(60주년-809)",오이식,절대평가, 
ECE1211-001,ECE1211,001,전자기초디지털논리설계,1,3.0,전공필수,"월4,5,6,수10,11,12(하-228)",이상민,상대평가, 
MTH1001-026,MTH1001,026,일반수학 1,1,3.0,교양필수,"화13,14,15,금13,14,15(5동106A)",정찬석,상대평가, 
MTH1001-027,MTH1001,027,일반수학 1,1,3.0,교양필수,"월1,2,3,목10,11,12(5동107A)",이춘란,상대평가, 
PHY1001-023,PHY1001,023,물리학 1,1,3.0,교양필수,"화7,8,9,금4,5,6(5동407)",박혜진,상대평가, 
PHY1001-024,PHY1001,024,물리학 1,1,3.0,교양필수,"월10,11,12,목4,5,6(5동407)",장우제,상대평가, 
PHY1003-024,PHY1003,024,물리학실험 1,1,1.0,교양필수,"수13,14,15,16(5동313)",허윤,절대평가, 
PHY1003-025,PHY1003,025,물리학실험 1,1,1.0,교양필수,"화13,14,15,16(5동315)",허남정,절대평가, 
ACE2101-021,ACE2101,021,공업수학 1,2,3.0,교양필수,"월4,5,6,수1,2,3(5동115)",이은경,상대평가,선수
ACE2101-022,ACE2101,022,공업수학 1,2,3.0,교양필수,"화13,14,15,목13,14,15(5동107A)",장영호,상대평가,선수
ACE2105-002,ACE2105,002,선형대수,2,3.0,교양필수,"월4,5,6,수4,5,6(하-010)",이호재,상대평가,선수
ACE2105-003,ACE2105,003,선형대수,2,3.0,교양필수,"월4,5,6,수4,5,6(하-003)",임홍기,상대평가,선수
ECE2222-001,ECE2222,001,기초실험 1,2,1.0,전공필수,"화1,2,3,4(하-701)",이호재,절대평가, 
ECE2222-002,ECE2222,002,기초실험 1,2,1.0,전공필수,"화5,6,7,8(하-328)",장성필,절대평가, 
ECE2222-003,ECE2222,003,기초실험 1,2,1.0,전공필수,"화9,10,11,12(하-328)",송병철,절대평가, 
ECE2222-004,ECE2222,004,기초실험 1,2,1.0,전공필수,"목1,2,3,4(하-328)",고일석,절대평가, 
ECE2222-005,ECE2222,005,기초실험 1,2,1.0,전공필수,"목5,6,7,8(하-328)",강진구,절대평가, 
ECE2222-006,ECE2222,006,기초실험 1,2,1.0,전공필수,"목13,14,15,16(하-328)",박우상,절대평가, 
ECE2222-007,ECE2222,007,기초실험 1,2,1.0,전공필수,"금1,2,3,4(하-328)",박인호,절대평가, 
ECE2222-008,ECE2222,008,기초실험 1,2,1.0,전공필수,"금5,6,7,8(하-328)",정재학,절대평가, 
ECE2222-009,ECE2222,009,기초실험 1,2,1.0,전공필수,"금9,10,11,12(하-328)",강진구,절대평가, 
ECE2222-010,ECE2222,010,기초실험 1,2,1.0,전공필수,"금13,14,15,16(하-328)",박인호,절대평가, 
ECE2222-011,ECE2222,011,기초실험 1,2,1.0,전공필수,"화17,18,19,20(하-328)",이상민,절대평가, 
ECE2222-012,ECE2222,012,기초실험 1,2,1.0,전공필수,"목17,18,19,20(하-328)",박인호,절대평가, 
ECE2240-001,ECE2240,001,회로이론 1,2,3.0,전공필수,"월13,14,15,수7,8,9(하-003)",장성필,상대평가, 
ECE2240-002,ECE2240,002,회로이론 1,2,3.0,전공필수,"월13,14,15,수7,8,9(하-010)",이호재,상대평가, 
ECE2240-003,ECE2240,003,회로이론 1,2,3.0,전공필수,"월13,14,15,수7,8,9(하-228)",이상민,상대평가, 
ECE2243-001,ECE2243,001,전기자기학 1,2,3.0,전공필수,"월10,11,12,목10,11,12(하-226)",박우상,상대평가, 
ECE2243-002,ECE2243,002,전기자기학 1,2,3.0,전공필수,"월10,11,12,목10,11,12(하-010)",고일석,상대평가, 
ECE2243-003,ECE2243,003,전기자기학 1,2,3.0,전공필수,"월10,11,12,목10,11,12(하-003)",임홍기,상대평가, 
ECE2248-001,ECE2248,001,물리전자,2,3.0,전공필수,"화7,8,9,수10,11,12(하-226)",강지훈,상대평가, 
ECE2248-002,ECE2248,002,물리전자,2,3.0,전공필수,"월16,17,18,수13,14,15(하-226)",강지훈,상대평가, 
ECE2266-001,ECE2266,001,C++프로그래밍,2,3.0,전공필수,"화13,14,15,16(하-228) /금4,5,6,7(6-326)",허혜선,절대평가, 
ECE2266-002,ECE2266,002,C++프로그래밍,2,3.0,전공필수,"화13,14,15,16(하-226) /목13,14,15,16(하-701)",류재환,절대평가, 
ECE3314-001,ECE3314,001,데이터구조,3,3.0,전공선택,"수10,11,12,금13,14,15(하-010)",울라샨,절대평가,"English,선수"
