course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
NOE4040-001,NOE4040,001,조선해양기술/경영특강,전체,3.0,전공선택,"화13,14,15,16,17,18(2북467)",남상훈,절대평가, 
CHM1023-005,CHM1023,005,일반화학,1,3.0,교양필수,"월1,2,3,수4,5,6(5동505)",오세영,상대평가, 
CHM1027-007,CHM1027,007,일반화학실험,1,1.0,교양필수,"목1,2,3,4(5동510)",이건형,절대평가, 
CHM1027-008,CHM1027,008,일반화학실험,1,1.0,교양필수,"수9,10,11,12(5동511)",김민규,절대평가, 
MTH1001-006,MTH1001,006,일반수학 1,1,3.0,교양필수,"화4,5,6,목7,8,9(5동105A)",김태정,상대평가, 
MTH1001-007,MTH1001,007,일반수학 1,1,3.0,교양필수,"수7,8,9,금10,11,12(5동105A)",박성화,상대평가, 
NOE1011-001,NOE1011,001,조선해양공학개론,1,3.0,전공선택,"월16,17,18,목13,14,15(2북467)",이경호,절대평가,"영어,English"
PHY1001-006,PHY1001,006,물리학 1,1,3.0,교양필수,"화7,8,9,금4,5,6(5동405)",유지현,상대평가, 
PHY1001-007,PHY1001,007,물리학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동405)",김두영,상대평가, 
PHY1003-006,PHY1003,006,물리학실험 1,1,1.0,교양필수,"월9,10,11,12(5동313)",이민백,절대평가, 
PHY1003-007,PHY1003,007,물리학실험 1,1,1.0,교양필수,"목13,14,15,16(5동315)",최민석,절대평가, 
ACE2101-005,ACE2101,005,공업수학 1,2,3.0,교양필수,"월13,14,15(2북466) /화10,11,12(2북467)",구원철,상대평가, 
NOE2001-001,NOE2001,001,동역학,2,3.0,전공필수,"월16,17,18,화1,2,3(60주년-108)",정준모,상대평가, 
NOE2002-001,NOE2002,001,재료역학 1,2,3.0,전공필수,"월1,2,3,화16,17,18(60주년-201)",정준모,상대평가, 
NOE2005-001,NOE2005,001,조선해양공학세미나 1,2,1.0,전공필수,"금15,16(60주년-507)",송순석,Pass/Fail, 
NOE2030-001,NOE2030,001,열역학,2,3.0,전공선택,"금1,2,3,4,5,6(2북467)",이영길,상대평가, 
NOE2312-001,NOE2312,001,IT융합공학 및 실습,2,3.0,전공필수,"월10,11,12(2북467) /수7,8,9(2북478)",이경호,절대평가, 
NOE2312-002,NOE2312,002,IT융합공학 및 실습,2,3.0,전공필수,"월10,11,12,화13,14,15(2북466)",이장현,절대평가, 
NOE3001-001,NOE3001,001,조선해양공학세미나 2,3,1.0,전공필수,"금15,16(2북467)",이경호,Pass/Fail, 
NOE3013-001,NOE3013,001,수치해석,3,3.0,전공선택,"화1,2,3,수1,2,3(2북466)",송순석,절대평가,"영어,English"
NOE3101-001,NOE3101,001,저항론,3,3.0,전공선택,"화4,5,6,수4,5,6(2북466)",송순석,절대평가,"영어,English"
NOE3301-001,NOE3301,001,IT기반조선해양설계시스템,3,3.0,전공선택,"월13,14,15,수10,11,12(2북467)",이경호,상대평가, 
NOE3405-001,NOE3405,001,해양계류시스템동력학,3,3.0,전공선택,"월16,17,18(2북466) /목10,11,12(2북467)",구원철,절대평가,"영어,English"
NOE3417-001,NOE3417,001,해양공학실험,3,3.0,전공선택,"수16,17,18,19,20,21,22,23,24,25,26,27(2북467)",조철희,절대평가, 
NOE3417-002,NOE3417,002,해양공학실험,3,3.0,전공선택,"수16,17,18,19,20,21,22,23,24,25,26,27(2북466)",구원철,절대평가, 
NOE4306-001,NOE4306,001,열전달,3,3.0,전공선택,"화10,11,12,수13,14,15(2북466)",이장현,절대평가,"영어,English"
NOE4037-001,NOE4037,001,조선해양공학연구프로젝트 1,4,1.0,전공선택,"금15,16(2북466)",정준모,Pass/Fail, 
NOE4109-001,NOE4109,001,선박기본설계,4,3.0,전공선택,"화1,2,3,수1,2,3(2북467)",백광준,상대평가, 
NOE4317-002,NOE4317,002,조선해양설계생산실습,4,3.0,전공선택,"목16,17,18,19,20,21,22,23,24,25,26,27(2북466)",이장현,절대평가, 
NOE4405-001,NOE4405,001,해저관로설계,4,3.0,전공선택,"화4,5,6,수4,5,6(2북467)",조철희,절대평가,"영어,English"
