course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CSE1103-001,CSE1103,001,객체지향프로그래밍 2,전체,3.0,전공필수,"화4,5,6,7,목4,5,6,7(하-324)",이선우,절대평가,선수
CSE1101-001,CSE1101,001,객체지향프로그래밍 1,1,3.0,전공필수,"화4,5,6,7(하-120) /수9,10,11,12(하-322)",한경숙,상대평가, 
CSE1101-002,CSE1101,002,객체지향프로그래밍 1,1,3.0,전공필수,"화9,10,11,12(하-120) /수13,14,15,16(하-322)",한경숙,상대평가, 
CSE1101-003,CSE1101,003,객체지향프로그래밍 1,1,3.0,전공필수,"목7,8,9,10,금1,2,3,4(하-322)",이연,상대평가, 
CSE1101-004,CSE1101,004,객체지향프로그래밍 1,1,3.0,전공필수,"목13,14,15,16,금5,6,7,8(하-322)",이연,상대평가, 
CSE1101-005,CSE1101,005,객체지향프로그래밍 1,1,3.0,전공필수,"월9,10,11,12,화9,10,11,12(하-322)",이욱,상대평가, 
CSE1101-006,CSE1101,006,객체지향프로그래밍 1,1,3.0,전공필수,"월13,14,15,16,화13,14,15,16(하-322)",이욱,상대평가, 
CSE1112-001,CSE1112,001,컴퓨터공학입문,1,2.0,전공필수,"금4,5,6,7(하-120)",서영덕,상대평가, 
CSE1112-002,CSE1112,002,컴퓨터공학입문,1,2.0,전공필수,"금10,11,12,13(하-120)",서영덕,상대평가, 
CSE1112-003,CSE1112,003,컴퓨터공학입문,1,2.0,전공필수,"수9,10,11,12(하-001)",이선우,상대평가, 
CSE1112-004,CSE1112,004,컴퓨터공학입문,1,2.0,전공필수,"금5,6,7,8(하-121)",이욱,상대평가, 
CSE1112-005,CSE1112,005,컴퓨터공학입문,1,2.0,전공필수,"금9,10,11,12(하-121)",이욱,상대평가, 
MTH1001-042,MTH1001,042,일반수학 1,1,3.0,교양필수,"월7,8,9,목1,2,3(5동105B)",오승익,상대평가, 
MTH1001-043,MTH1001,043,일반수학 1,1,3.0,교양필수,"월13,14,15,목13,14,15(5동107B)",오승익,상대평가, 
MTH1001-044,MTH1001,044,일반수학 1,1,3.0,교양필수,"수16,17,18,금16,17,18(5동106A)",박성화,상대평가, 
MTH1001-045,MTH1001,045,일반수학 1,1,3.0,교양필수,"화1,2,3,목10,11,12(5동106B)",김기태,상대평가, 
ACE2104-003,ACE2104,003,통계학,2,3.0,교양필수,"수13,14,15,금1,2,3(하-001)",우화형,상대평가, 
ACE2104-004,ACE2104,004,통계학,2,3.0,교양필수,"수16,17,18,금4,5,6(하-001)",우화형,상대평가, 
ACE2104-005,ACE2104,005,통계학,2,3.0,교양필수,"수19,20,21,금7,8,9(하-001)",우화형,상대평가, 
ACE2104-006,ACE2104,006,통계학,2,3.0,교양필수,"수1,2,3,4,5,6(하-001)",이한청,상대평가, 
CSE2104-001,CSE2104,001,인터넷 프로그래밍,2,3.0,전공선택,"월1,2,3,4(하-222) /수1,2,3,4(하-322)",이연,상대평가,선수
CSE2104-002,CSE2104,002,인터넷 프로그래밍,2,3.0,전공선택,"월5,6,7,8(하-222) /수5,6,7,8(하-322)",이연,상대평가,선수
CSE2104-003,CSE2104,003,인터넷 프로그래밍,2,3.0,전공선택,"월13,14,15,16(하-220) /화19,20,21,22(하-322)",이연,상대평가,선수
CSE2104-004,CSE2104,004,인터넷 프로그래밍,2,3.0,전공선택,"월19,20,21,22,23,24,25,26(하-322)",유영훈,상대평가,선수
CSE2104-005,CSE2104,005,인터넷 프로그래밍,2,3.0,전공선택,"월1,2,3,4(하-001) /목1,2,3,4(하-322)",노희준,상대평가,선수
CSE2107-001,CSE2107,001,자바기반응용프로그래밍,2,3.0,전공선택,"월9,10,11,12,수9,10,11,12(하-324)",권현수,상대평가,선수
CSE2107-002,CSE2107,002,자바기반응용프로그래밍,2,3.0,전공선택,"수5,6,7,8,목5,6,7,8(하-320)",이욱,상대평가,선수
CSE2107-003,CSE2107,003,자바기반응용프로그래밍,2,3.0,전공선택,"수9,10,11,12,목9,10,11,12(하-320)",이욱,상대평가,선수
CSE2112-001,CSE2112,001,자료구조,2,4.0,전공필수,"화10,11,12,목10,11,12(하-220) /금9,10,11,12(하-322)",심정섭,상대평가,선수
CSE2112-002,CSE2112,002,자료구조,2,4.0,전공필수,"화13,14,15,목13,14,15(하-220) /금13,14,15,16(하-322)",심정섭,상대평가,선수
CSE2112-003,CSE2112,003,자료구조,2,4.0,전공필수,"화4,5,6(하-001) /수13,14,15(하-220) /금13,14,15,16(하-320)",배승환,상대평가,선수
CSE2112-004,CSE2112,004,자료구조,2,4.0,전공필수,"화10,11,12,목10,11,12,금9,10,11,12(하-324)",김영호,상대평가,선수
CSE2112-005,CSE2112,005,자료구조,2,4.0,전공필수,"화13,14,15,목13,14,15,금13,14,15,16(하-324)",김영호,상대평가,선수
CSE2112-006,CSE2112,006,자료구조,2,4.0,전공필수,"수10,11,12,금1,2,3(하-121) /금9,10,11,12(하-320)",박준석,상대평가,선수
CSE2113-001,CSE2113,001,오픈소스SW개론,2,3.0,전공선택,"월19,20,21,22,23,24(하-120)",서영덕,상대평가,선수
CSE2113-002,CSE2113,002,오픈소스SW개론,2,3.0,전공선택,"화19,20,21,22,23,24(하-120)",정진만,상대평가,선수
CSE2113-003,CSE2113,003,오픈소스SW개론,2,3.0,전공선택,"수19,20,21,22,23,24(하-120)",김도국,상대평가,선수
CSE3203-001,CSE3203,001,컴퓨터구조론,3,3.0,전공선택,"월10,11,12,화10,11,12(하-001)",강상길,상대평가,선수
CSE3203-002,CSE3203,002,컴퓨터구조론,3,3.0,전공선택,"월13,14,15,화13,14,15(하-001)",강상길,상대평가,선수
CSE3203-003,CSE3203,003,컴퓨터구조론,3,3.0,전공선택,"월4,5,6,금4,5,6(하-220)",최영규,상대평가,선수
CSE3203-004,CSE3203,004,컴퓨터구조론,3,3.0,전공선택,"화7,8,9,목7,8,9(하-220)",이어진,상대평가,선수
CSE3203-005,CSE3203,005,컴퓨터구조론,3,3.0,전공선택,"월10,11,12,금10,11,12(하-220)",최영규,상대평가,선수
CSE3206-001,CSE3206,001,오퍼레이팅시스템,3,3.0,전공선택,"수10,11,12(하-220) /목4,5,6(하-120)",송민석,상대평가,선수
