course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
BIO1001-002,BIO1001,002,생명과학개론,1,3.0,교양필수,"월1,2,3,4,5,6(5서366)",안동하,상대평가, 
MTH1001-034,MTH1001,034,일반수학 1,1,3.0,교양필수,"화10,11,12,목4,5,6(5동107A)",권희대,상대평가, 
MTH1011-002,MTH1011,002,일반수학연습 1,1,1.0,교양필수,"수16,17,18,19(5동106B)",권희대,Pass/Fail, 
STS1101-001,STS1101,001,기초통계 1,1,3.0,교양필수,"월4,5,6,수4,5,6(5서551)",황진수,상대평가,통계학 주전공생 중 1학년 전용 분반
STS1101-002,STS1101,002,기초통계 1,1,3.0,교양필수,"화16,17,18,목16,17,18(5서352)",김지혜,상대평가,다중전공생 및 재수강 전용 분반
STS1103-001,STS1103,001,기초통계실습 1,1,1.0,교양필수,"금13,14,15,16(5북545A)",조성일,절대평가,통계학 주전공생 중 1학년 전용 분반
STS1103-002,STS1103,002,기초통계실습 1,1,1.0,교양필수,"금9,10,11,12(60주년-808)",온일상,절대평가,다중전공생 및 재수강 전용 분반
STS2001-001,STS2001,001,통계소프트웨어 및 실습,2,3.0,전공필수,"월13,14,15,수4,5,6(5북545A)",조민호,절대평가,통계학 주전공생 전용 분반
STS2001-002,STS2001,002,통계소프트웨어 및 실습,2,3.0,전공필수,"월16,17,18,수1,2,3(60주년-808)",조민호,절대평가,다중전공생 전용 분반
STS2017-001,STS2017,001,통계분석방법,2,3.0,전공선택,"화4,5,6,목1,2,3(2북465)",조성일,상대평가, 
STS2018-001,STS2018,001,확률론,2,3.0,전공필수,"화10,11,12,목10,11,12(5서551)",조성훈,상대평가,통계학 주전공생 전용 분반
STS2018-002,STS2018,002,확률론,2,3.0,전공필수,"화10,11,12,목10,11,12(5서460)",온일상,상대평가,다중전공생 전용 분반
STS2019-001,STS2019,001,통계수학,2,3.0,전공필수,"월4,5,6,목4,5,6(5서352)",박진호,상대평가,통계학 주전공생 전용 분반
STS2019-002,STS2019,002,통계수학,2,3.0,전공필수,"월10,11,12,수10,11,12(5서352)",박진호,상대평가,다중전공생 전용 분반
STS2021-001,STS2021,001,사회조사방법론,2,3.0,전공선택,"금10,11,12,13,14,15(5서352)",신창운,상대평가, 
STS2041-001,STS2041,001,자료구조론,2,3.0,전공선택,"수16,17,18,19,20,21(5북545A)",홍명덕,상대평가, 
STS3004-001,STS3004,001,실험계획법,3,3.0,전공선택,"화4,5,6,목4,5,6(5서360)",조민호,상대평가, 
STS3005-001,STS3005,001,수리통계학 1,3,3.0,전공필수,"월10,11,12,수10,11,12(5서460)",황진수,상대평가,통계학 주전공생 전용 분반
STS3005-002,STS3005,002,수리통계학 1,3,3.0,전공필수,"수4,5,6,목10,11,12(5서352)",박진호,상대평가,다중전공생 전용 분반
STS3019-001,STS3019,001,다변량통계 및 실습,3,3.0,전공선택,"화13,14,15,목13,14,15(5동111)",조성훈,절대평가, 
STS4034-001,STS4034,001,생존분석 및 실습,4,3.0,전공선택,"화4,5,6,목4,5,6(5서551)",온일상,절대평가, 
STS4041-001,STS4041,001,베이지안통계학,4,3.0,전공선택,"화13,14,15,목13,14,15(5서352)",조성일,상대평가, 
STS4043-001,STS4043,001,데이터마이닝,4,3.0,전공선택,"화10,11,12,목10,11,12(5북545A)",박헌진,상대평가, 
