course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
EDC1100-001,EDC1100,001,교육철학및교육사,전체,2.0,교직과정,"목9,10,11,12(서-306)",정기섭,절대평가, 
EDC1100-002,EDC1100,002,교육철학및교육사,전체,2.0,교직과정,"월1,2,3,4(서-328)",윤혜성,절대평가, 
EDC1100-003,EDC1100,003,교육철학및교육사,전체,2.0,교직과정,"월9,10,11,12(서-331)",윤혜성,절대평가, 
EDC1101-001,EDC1101,001,교육학개론,전체,2.0,교직과정,"월13,14,15,16(5남505)",윤혜성,절대평가, 
EDC1101-002,EDC1101,002,교육학개론,전체,2.0,교직과정,"금13,14,15,16(5동208A)",최종인,절대평가, 
EDC1104-001,EDC1104,001,교육심리,전체,2.0,교직과정,"수9,10,11,12(60주년-612)",정윤경,절대평가, 
EDC1104-002,EDC1104,002,교육심리,전체,2.0,교직과정,"화4,5,6,7(60주년-611)",정윤경,절대평가, 
EDC1104-003,EDC1104,003,교육심리,전체,2.0,교직과정,"화9,10,11,12(60주년-611)",정윤경,절대평가, 
EDC1105-001,EDC1105,001,교육사회,전체,2.0,교직과정,"수13,14,15,16(서-334)",배을규,절대평가, 
EDC1105-002,EDC1105,002,교육사회,전체,2.0,교직과정,"월4,5,6,7(5남521)",박성희,절대평가, 
EDC1105-003,EDC1105,003,교육사회,전체,2.0,교직과정,"목19,20,21,22(서-401)",강선희,절대평가, 
EDC2101-001,EDC2101,001,교육과정,전체,2.0,교직과정,"화4,5,6,7(서-328)",조현영,절대평가, 
EDC2101-002,EDC2101,002,교육과정,전체,2.0,교직과정,"월4,5,6,7(5서360)",박진희,절대평가, 
EDC2103-001,EDC2103,001,교육방법 및 교육공학,전체,2.0,교직과정,"목19,20,21,22(60주년-711)",홍영일,절대평가, 
EDC2103-002,EDC2103,002,교육방법 및 교육공학,전체,2.0,교직과정,"수19,20,21,22(60주년-711)",홍영일,절대평가, 
EDC2107-001,EDC2107,001,특수교육학개론,전체,2.0,교직과정,"월10,11,12,13(60주년-508)",민기연,절대평가, 
EDC2107-002,EDC2107,002,특수교육학개론,전체,2.0,교직과정,"화4,5,6,7(5서369)",정귀순,절대평가, 
EDC2107-003,EDC2107,003,특수교육학개론,전체,2.0,교직과정,"화10,11,12,13(5서369)",정귀순,절대평가, 
EDC3102-002,EDC3102,002,교육평가,전체,2.0,교직과정,"화5,6,7,8(서-237A)",강혜영,절대평가, 
EDC3102-003,EDC3102,003,교육평가,전체,2.0,교직과정,"화9,10,11,12(서-237A)",강혜영,절대평가, 
EDC3106-001,EDC3106,001,교육행정 및 교육경영,전체,2.0,교직과정,"월9,10,11,12(5서369)",강경석,절대평가, 
EDC3106-002,EDC3106,002,교육행정 및 교육경영,전체,2.0,교직과정,"수9,10,11,12(5서369)",강경석,절대평가, 
EDC3106-003,EDC3106,003,교육행정 및 교육경영,전체,2.0,교직과정,"월13,14,15,16(60주년-607)",고광혁,절대평가, 
EDC3106-004,EDC3106,004,교육행정 및 교육경영,전체,2.0,교직과정,"수5,6,7,8(서-334)",강경석,절대평가, 
EDC3311-001,EDC3311,001,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,"월9,10,11,12(60주년-612)",정윤경,절대평가, 
EDC3311-002,EDC3311,002,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,"수13,14,15,16(60주년-711)",지은,절대평가, 
EDC3311-003,EDC3311,003,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,"목9,10,11,12(서-334)",김병준,절대평가, 
EDC3311-004,EDC3311,004,학교폭력예방 및 학생의 이해,전체,2.0,교직과정,"금13,14,15,16(서-328)",조상현,절대평가, 
EDU2130-001,EDU2130,001,평생교육경영론,전체,3.0,전공선택,"화1,2,3,4,5,6(서-334)",강선희,상대평가, 
EDC1106-001,EDC1106,001,AI의 이해와 교육적 활용,1,3.0,교양필수,"월13,14,15,16,17,18(서-331)",임황규,상대평가, 
EDC1106-002,EDC1106,002,AI의 이해와 교육적 활용,1,3.0,교양필수,"화13,14,15,16,17,18(서-334)",임황규,상대평가, 
EDC1106-003,EDC1106,003,AI의 이해와 교육적 활용,1,3.0,교양필수,"수13,14,15,16,17,18(서-306)",이용상,상대평가, 
EDC1106-004,EDC1106,004,AI의 이해와 교육적 활용,1,3.0,교양필수,"목19,20,21,22,23,24(60주년-509)",장한별,상대평가, 
EDU1110-001,EDU1110,001,교육학입문,1,3.0,전공필수,"월1,2,3,10,11,12(서-334)",정기섭,상대평가, 
EDU1110-002,EDU1110,002,교육학입문,1,3.0,전공필수,"화1,2,3,4,5,6(서-306)",임황규,상대평가, 
EDU1160-001,EDU1160,001,교육학 진로탐색,1,1.0,전공필수,"수3,4(서-334)","강경석,정기섭,손민호,배을규,신주연,이용상,임황규",상대평가, 
EDU2111-001,EDU2111,001,교육학논리및논술,2,3.0,전공필수,"수13,14,15,16,17,18(서-308)",윤혜성,상대평가, 
EDU2140-001,EDU2140,001,교육학교육론,2,3.0,전공필수,"목13,14,15,16,17,18(서-306)",손민호,상대평가, 
EDU2245-001,EDU2245,001,평생교육론,2,3.0,전공필수,"월13,14,15,16,17,18(서-306)",배을규,절대평가, 
EDU2253-001,EDU2253,001,교육기초통계,2,3.0,전공선택,"화13,14,15,16,17,18(서-306)",이용상,절대평가, 
EDU3262-001,EDU3262,001,테크놀로지의교육적활용,2,3.0,전공필수,"월1,2,3,4,5,6(서-306)",김미화,절대평가,선수
EDU2235-001,EDU2235,001,교육경영론,3,3.0,전공필수,"수13,14,15,16,17,18(5서369)",강경석,절대평가, 
EDC3118-001,EDC3118,001,학생 생활지도 및 상담,4,2.0,교직과정,"월19,20,21,22(5동111)",전미경,절대평가, 
EDC4108-005,EDC4108,005,교직실무,4,2.0,교직과정,"월13,14,15,16(5서369)",강경석,절대평가, 
EDC4109-010,EDC4109,010,교육실습,4,2.0,교직과정,"수19,20,21,22(서-306)",이용상,절대평가, 
EDC4223-001,EDC4223,001,학교현장실습,4,3.0,교직과정,"금13,14,15,16,17,18(서-306)","이현우,조미혜,권나영,정이화",절대평가, 
EDU4111-001,EDU4111,001,융합교육의 이해와 교수학습설계,4,3.0,전공선택,"수1,2,3,4,5,6(서-306)",조현영,절대평가, 
EDU4225-001,EDU4225,001,상담심리,4,3.0,전공선택,"월10,11,12,수10,11,12(서-306)",신주연,상대평가, 
