course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CBA1102-008,CBA1102,008,경영학원론,1,3.0,교양필수,"월19,20,21,22,23,24(6-624)",한하늘,상대평가, 
CBA1104-007,CBA1104,007,통계학,1,3.0,교양필수,"수19,20,21,22,23,24(6-624)",홍진영,상대평가, 
CBA1106-009,CBA1106,009,회계원론,1,3.0,교양필수,"목19,20,21,22,23,24(6-624)",한하늘,상대평가, 
INT1051-001,INT1051,001,실용중국어 1,1,3.0,교양필수,"화4,5,6,목7,8,9(6-622)",김수진,절대평가, 
INT1051-002,INT1051,002,실용중국어 1,1,3.0,교양필수,"화7,8,9,목4,5,6(6-622)",김수진,절대평가, 
INT1061-001,INT1061,001,실용일본어 1,1,3.0,교양필수,"화4,5,6,목7,8,9(6-522)",이노구찌,절대평가, 
INT1061-002,INT1061,002,실용일본어 1,1,3.0,교양필수,"화7,8,9,목4,5,6(6-522)",이노구찌,절대평가, 
INT1103-001,INT1103,001,무역학원론,1,3.0,전공선택,"화19,20,21,22,23,24(6-624)",홍진영,상대평가, 
INT1111-001,INT1111,001,경상수학,1,3.0,전공선택,"월7,8,9,수7,8,9(6-622)",한민수,상대평가, 
ECO2201-001,ECO2201,001,미시경제학,2,3.0,전공필수,"화13,14,15,목13,14,15(6-522)",이명헌,상대평가, 
INT2039-001,INT2039,001,중국어독해연습 1,2,3.0,전공선택,"화10,11,12,목10,11,12(6-622)",김수진,절대평가, 
INT2049-001,INT2049,001,일본어독해연습 1,2,3.0,전공선택,"금1,2,3,4,5,6(6-624)",박경희,절대평가,일본어，Japanese
INT2053-001,INT2053,001,실용중국어 3,2,3.0,교양필수,"수10,11,12,금7,8,9(6-522)",김종현,절대평가, 
INT2063-001,INT2063,001,실용일본어 3,2,3.0,교양필수,"월10,11,12,수4,5,6(6-622)",이노구찌,절대평가, 
INT2063-002,INT2063,002,실용일본어 3,2,3.0,교양필수,"월4,5,6,수10,11,12(6-622)",이노구찌,절대평가, 
INT2110-001,INT2110,001,Business English,2,3.0,전공선택,"월16,17,18,수16,17,18(6-622)",브로케티,절대평가,English
INT2110-002,INT2110,002,Business English,2,3.0,전공선택,"화13,14,15,목13,14,15(6-622)",브로케티,절대평가,English
INT2202-001,INT2202,001,국제상무론,2,3.0,전공선택,"월1,2,3,수4,5,6(6-624)",박민규,상대평가, 
INT2241-001,INT2241,001,국제통상의 이해,2,3.0,전공선택,"수13,14,15,16,17,18(6-624)",조정란,상대평가, 
INT2241-002,INT2241,002,국제통상의 이해,2,3.0,전공선택,"목13,14,15,16,17,18(6-624)",조정란,상대평가, 
INT2265-001,INT2265,001,관세법,2,3.0,전공선택,"월4,5,6,수1,2,3(6-624)",박민규,상대평가, 
INT2267-001,INT2267,001,e-비즈니스관리,2,3.0,전공선택,"수13,14,15,16,17,18(6-522)",최용록,상대평가, 
INT2315-001,INT2315,001,무역관계법,2,3.0,전공선택,"월13,14,15,수13,14,15(6-622)",박민규,상대평가, 
INT2526-001,INT2526,001,일본사회와 문화,2,3.0,전공선택,"금10,11,12,13,14,15(6-624)",박경희,상대평가, 
INT3055-001,INT3055,001,실용중국어 5,3,3.0,전공선택,"수7,8,9,금10,11,12(6-522)",김종현,절대평가, 
INT3211-001,INT3211,001,국제무역론,3,3.0,전공필수,"화1,2,3,목1,2,3(6-622)",한민수,절대평가,영어，English
INT3316-001,INT3316,001,국제보험론,3,3.0,전공선택,"금7,8,9,10,11,12(6-622)",설두평,상대평가, 
INT3429-001,INT3429,001,글로벌시장분석,3,3.0,전공선택,"월1,2,3,수4,5,6(6-522)",이준엽,상대평가, 
INT3261-001,INT3261,001,무역전시산업론,4,3.0,전공선택,"목1,2,3,4,5,6(6-624)",신한용,상대평가, 
INT3601-001,INT3601,001,국제통상의 미래와 진로,4,2.0,전공선택,"셀0(웹강의) /화9,10(6-624)","김웅희,김연준",Pass/Fail, 
INT4120-001,INT4120,001,경제통합론,4,3.0,전공선택,"금16,17,18,19,20,21(6-624)",박호신,상대평가, 
INT4132-001,INT4132,001,자원경제학,4,3.0,전공선택,"화16,17,18,목16,17,18(6-522)",이명헌,상대평가, 
INT4217-001,INT4217,001,글로벌 E-Commerce의 이해와 실습,4,3.0,전공선택,"금13,14,15,16,17,18(60주년-108)",하동호,상대평가, 
INT4244-001,INT4244,001,FTA원산지론,4,3.0,전공선택,"화13,14,15,16,17,18(6-624)",조정란,상대평가, 
INT4432-001,INT4432,001,중국과 세계경제,4,3.0,전공선택,"월4,5,6,수1,2,3(6-522)",이준엽,상대평가, 
