course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
BIO1101-002,BIO1101,002,생명과학 1,전체,3.0,교양필수,"화10,11,12,수4,5,6(5동506)",윤진미,상대평가, 
BIO1102-003,BIO1102,003,생명과학실험 1,전체,1.0,교양필수,"수9,10,11,12(5북525)",손세진,절대평가, 
BIO1102-004,BIO1102,004,생명과학실험 1,전체,1.0,교양필수,"화4,5,6,7(5북525)",한성규,절대평가, 
CHM1021-012,CHM1021,012,화학 1,전체,3.0,교양필수,"화13,14,15,목13,14,15(5동508)",이완인,상대평가, 
CHM1028-013,CHM1028,013,화학실험 1,전체,1.0,교양필수,"목5,6,7,8(5동511)",정시원,절대평가, 
BIO2103-001,BIO2103,001,생물유기화학,2,3.0,전공선택,"화16,17,18,목10,11,12(5동506)",배성호,상대평가, 
BIO2105-001,BIO2105,001,분류생태학 종합실험,2,3.0,전공선택,"금9,10,11,12,13,14,15,16,17,18,19,20(5북413)","조강현,민기식,조장천",절대평가,"영어,English"
BIO2105-002,BIO2105,002,분류생태학 종합실험,2,3.0,전공선택,"금9,10,11,12,13,14,15,16,17,18,19,20(5북525)","조강현,민기식,조장천",절대평가,"영어,English"
BIO2108-001,BIO2108,001,세포생물학,2,3.0,전공필수,"월7,8,9,화4,5,6(5동506)",김정화,상대평가, 
BIO2109-001,BIO2109,001,동물생리학,2,3.0,전공필수,"월1,2,3,목4,5,6(5동506)",이창중,상대평가, 
BIO2110-001,BIO2110,001,야외생물학실습,2,1.0,전공선택,"토4,5,6,7(5북413)",민기식,절대평가,"영어,English"
BIO3101-001,BIO3101,001,생물학연구방법실습 1,3,2.0,전공선택,"토9,10,11,12,13,14,15,16(5북413)",이한솔,절대평가,"영어,English"
BIO3102-001,BIO3102,001,분자생물학,3,3.0,전공선택,"화10,11,12,수10,11,12(5서365)","배성호,김정화",상대평가, 
BIO3103-001,BIO3103,001,발생생물학,3,3.0,전공선택,"화4,5,6(5서365) /목10,11,12(5동115)",이한솔,상대평가, 
BIO3105-001,BIO3105,001,동물계통분류학,3,3.0,전공선택,"화7,8,9,수7,8,9(5서366)",민기식,상대평가, 
BIO3106-001,BIO3106,001,생태학,3,3.0,전공선택,"수4,5,6,목4,5,6(5서366)",조강현,상대평가, 
BIO4101-001,BIO4101,001,학사논문설계발표,4,1.0,전공필수,"토1,2(5서366)",이한솔,Pass/Fail, 
BIO4104-001,BIO4104,001,응용미생물학,4,3.0,전공선택,"월16,17,18,수16,17,18(5동506)",조장천,상대평가, 
BIO4105-001,BIO4105,001,노화생물학,4,3.0,전공선택,"화16,17,18,목7,8,9(5서366)","민경진,이혜연",상대평가, 
BIO4205-001,BIO4205,001,바이오의학개론,4,3.0,전공선택,"월13,14,15,수13,14,15(5동506)",손세진,상대평가, 
BIO4206-001,BIO4206,001,식물생명공학,4,3.0,전공선택,"월10,11,12,목13,14,15(5서366)",윤진미,상대평가, 
