course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ARS1113-001,ARS1113,001,영화와 대중문화,전체,3.0,교양필수,"금4,5,6,7,8,9(5서365)",임택,상대평가, 
ARS1114-001,ARS1114,001,공연예술의이해,전체,3.0,교양필수,"목13,14,15,16,17,18(5남234)",이인순,상대평가, 
IPS1443-001,IPS1443,001,연극사,1,3.0,전공선택,"금10,11,12,13,14,15(5남234)",김효진,상대평가, 
IPS1446-001,IPS1446,001,기초연기1,1,3.0,전공필수,"화10,11,12,13,14,15(5남231)",황정미,절대평가, 
IPS1446-002,IPS1446,002,기초연기1,1,3.0,전공필수,"월13,14,15,16,17,18(5남231)",강경동,절대평가, 
IPS1512-001,IPS1512,001,한국영화사,1,3.0,전공선택,"월13,14,15,16,17,18(5남232)",노철환,상대평가, 
IPS1513-001,IPS1513,001,영화개론,1,3.0,전공필수,"목1,2,3,4,5,6(5동202)",노철환,상대평가, 
IPS2309-001,IPS2309,001,영화연출론,2,3.0,전공선택,"수4,5,6,7,8,9(5남234)",이광훈,절대평가, 
IPS2309-002,IPS2309,002,영화연출론,2,3.0,전공선택,"수13,14,15,16,17,18(5남234)",이광훈,절대평가, 
IPS2349-001,IPS2349,001,촬영조명 1,2,2.0,전공선택,"화4,5,6,7,8,9(5남234)",김훈광,절대평가, 
IPS2349-002,IPS2349,002,촬영조명 1,2,2.0,전공선택,"화13,14,15,16,17,18(5남232)",김훈광,절대평가, 
IPS2436-001,IPS2436,001,무대연기,2,3.0,전공선택,"수10,11,12,13,14,15,16,17,18,19,20,21(5남231)",황정미,절대평가, 
IPS2469-001,IPS2469,001,뮤지컬 연기 실습 1,2,2.0,전공선택,"월10,11,12,13,14,15(5남237B)",최윤정,절대평가, 
IPS2471-001,IPS2471,001,무대 기술,2,2.0,전공선택,"화4,5,6,7,8,9(5남232)",박종화,절대평가, 
IPS2645-001,IPS2645,001,디지털영상편집 1,2,2.0,전공선택,"월1,2,3,4,5,6(5남239)",노철환,절대평가, 
IPS3322-001,IPS3322,001,시나리오 작법 2,3,3.0,전공선택,"화4,5,6,7,8,9(5서460)",이상범,절대평가, 
IPS3322-002,IPS3322,002,시나리오 작법 2,3,3.0,전공선택,"금4,5,6,7,8,9(5남232)",박광춘,절대평가, 
IPS3454-001,IPS3454,001,기초연출실습,3,2.0,전공선택,"목10,11,12,13,14,15(7-309)",김효진,절대평가,캡스톤디자인
IPS3472-001,IPS3472,001,움직임 1,3,2.0,전공선택,"월4,5,6,7,8,9(5남231)",강경동,절대평가, 
IPS3473-001,IPS3473,001,미디어연기 1,3,3.0,전공선택,"목4,5,6,7,8,9(7-309)",박준혁,절대평가, 
IPS3474-001,IPS3474,001,프로덕션 디자인,3,3.0,전공선택,"목4,5,6,7,8,9(5남234)",김미경,절대평가, 
IPS3502-001,IPS3502,001,영화제작 1,3,3.0,전공선택,"금13,14,15,16,17,18(5남333)",박광춘,절대평가,캡스톤디자인
IPS4318-001,IPS4318,001,공연예술과 대중문화,4,3.0,전공선택,"화13,14,15,16,17,18(5서360)",이상범,상대평가, 
IPS4332-001,IPS4332,001,홍보 마케팅 입문,4,3.0,전공선택,"목13,14,15,16,17,18(60주년-509)",노철환,상대평가, 
IPS4341-001,IPS4341,001,다큐멘터리 기획과 제작,4,3.0,전공선택,"수4,5,6,7,8,9(5남232)",김훈광,절대평가, 
IPS4354-001,IPS4354,001,영화제작 3,4,2.0,전공선택,"화10,11,12,13,14,15(5남234)",이광훈,절대평가,캡스톤디자인
IPS4583-001,IPS4583,001,연극기획과제작,4,3.0,전공선택,"금19,20,21,22,23,24(7-123A)",김효진,절대평가,캡스톤디자인
IPS4620-001,IPS4620,001,오디션연기실습 1,4,3.0,전공선택,"목10,11,12,13,14,15(5남231)",황정미,절대평가, 
