course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
ARS1001-001,ARS1001,001,미술과여행,전체,3.0,교양필수,"수13,14,15,16,17,18(서-331)",김문정,상대평가, 
FAT1021-001,FAT1021,001,창작드로잉,1,3.0,전공선택,"수13,14,15,16,17,18(5서454)",이병수,절대평가, 
FAT1021-002,FAT1021,002,창작드로잉,1,3.0,전공선택,"수4,5,6,7,8,9(5서456)",경현수,절대평가, 
FAT1022-001,FAT1022,001,입체와 공간,1,3.0,전공선택,"목1,2,3,4,5,6(5서454)",박원주,절대평가, 
FAT1022-002,FAT1022,002,입체와 공간,1,3.0,전공선택,"목4,5,6,7,8,9(5서453)",권경환,절대평가, 
FAT1701-001,FAT1701,001,미술이란 무엇인가 1,1,3.0,전공선택,"화13,14,15,16,17,18(서-243A)",백지희,상대평가, 
FAT2023-001,FAT2023,001,기초조소,2,3.0,전공선택,"월4,5,6,7,8,9(5서453)",이의성,절대평가, 
FAT2023-002,FAT2023,002,기초조소,2,3.0,전공선택,"월13,14,15,16,17,18(5서453)",이의성,절대평가, 
FAT2282-001,FAT2282,001,디지털 아트1,2,3.0,전공선택,"수7,8,9,10,11,12(5서453)",조향미,절대평가, 
FAT2711-001,FAT2711,001,기초서양화,2,3.0,전공선택,"목10,11,12,13,14,15(5서457A)",이병수,절대평가, 
FAT2711-002,FAT2711,002,기초서양화,2,3.0,전공선택,"수13,14,15,16,17,18(5서457B)",경현수,절대평가, 
FAT2902-001,FAT2902,001,서양미술사,2,3.0,전공필수,"수1,2,3,4,5,6(서-331)",김문정,상대평가, 
FAT3025-001,FAT3025,001,뉴미디어아트1,3,3.0,전공선택,"수1,2,3,4,5,6(5서467)",이배경,절대평가, 
FAT3202-001,FAT3202,001,도시와 조형,3,3.0,전공필수,"화1,2,3,4,5,6(서-331)",정국택,절대평가, 
FAT3202-002,FAT3202,002,도시와 조형,3,3.0,전공필수,"목13,14,15,16,17,18(5서453)",권경환,절대평가, 
FAT3211-001,FAT3211,001,현대회화 이해1,3,3.0,전공선택,"목4,5,6,7,8,9(5서462)",이은경,절대평가,신임교원
FAT3303-001,FAT3303,001,금속조표현,3,3.0,전공선택,"화10,11,12,13,14,15(예-101)",정국택,절대평가, 
FAT3701-001,FAT3701,001,작가발언과 자료연구 1,3,3.0,전공선택,"수16,17,18,19,20,21(5서453)",박소영,Pass/Fail, 
FAT3902-001,FAT3902,001,전시와 큐레이팅,3,3.0,전공필수,"화16,17,18,19,20,21(서-331)",정현,Pass/Fail, 
FAT4203-001,FAT4203,001,복합매체표현 1,4,3.0,전공필수,"목10,11,12,13,14,15(서-331)",박소영,절대평가, 
FAT4203-002,FAT4203,002,복합매체표현 1,4,3.0,전공필수,"목10,11,12,13,14,15(5서462)",박원주,절대평가, 
FAT4212-001,FAT4212,001,현대회화 스튜디오1,4,3.0,전공선택,"수4,5,6,7,8,9(5서465)",안상훈,절대평가, 
FAT4212-002,FAT4212,002,현대회화 스튜디오1,4,3.0,전공선택,"목4,5,6,7,8,9(5서465)",이지혜,절대평가, 
FAT4214-001,FAT4214,001,미디어와 인터렉션1,4,3.0,전공선택,"수10,11,12,13,14,15(5서467)",이배경,Pass/Fail, 
FAT4904-001,FAT4904,001,전시 기획 연구,4,3.0,전공필수,"목16,17,18,19,20,21(서-331)",정현,상대평가, 
