course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
CHE4309-001,CHE4309,001,유기공업화학,전체,3.0,전공선택,"화4,5,6,목16,17,18(2남229)",조강희,상대평가, 
CHE1101-001,CHE1101,001,통계학 기초,1,3.0,교양필수,"화7,8,9,목7,8,9(5동115)",김지혜,상대평가, 
CHE1103-001,CHE1103,001,화공매트랩 기초,1,3.0,교양필수,"수4,5,6,7,8(5남238) /수9(5남240)",장인주,절대평가, 
CHE1103-002,CHE1103,002,화공매트랩 기초,1,3.0,교양필수,"수13,14,15,16,17,18(5남240)",장인주,절대평가, 
CHE1103-003,CHE1103,003,화공매트랩 기초,1,3.0,교양필수,"목4,5,6,7,8,9(5남238)",백인환,절대평가, 
CHM1021-001,CHM1021,001,화학 1,1,3.0,교양필수,"화4,5,6,목7,8,9(5동507)",박성진,상대평가, 
CHM1021-002,CHM1021,002,화학 1,1,3.0,교양필수,"월13,14,15,수13,14,15(60주년-012)",김정호,상대평가, 
CHM1021-003,CHM1021,003,화학 1,1,3.0,교양필수,"월10,11,12,목10,11,12(2남229)",양회창,상대평가, 
CHM1028-001,CHM1028,001,화학실험 1,1,1.0,교양필수,"수5,6,7,8(5동511)",이건형,절대평가, 
CHM1028-002,CHM1028,002,화학실험 1,1,1.0,교양필수,"목1,2,3,4(5동511)",김희선,절대평가, 
CHM1028-003,CHM1028,003,화학실험 1,1,1.0,교양필수,"화9,10,11,12(5동510)",박성진,절대평가, 
MTH1001-009,MTH1001,009,일반수학 1,1,3.0,교양필수,"월4,5,6,수1,2,3(5동105A)",권훈,상대평가, 
MTH1001-010,MTH1001,010,일반수학 1,1,3.0,교양필수,"화16,17,18,금13,14,15(5동105B)",임선간,상대평가, 
MTH1001-011,MTH1001,011,일반수학 1,1,3.0,교양필수,"화10,11,12,금1,2,3(5동105A)",김태길,상대평가, 
PHY1001-009,PHY1001,009,물리학 1,1,3.0,교양필수,"월10,11,12,수10,11,12(5동406)",김현철,상대평가, 
PHY1001-010,PHY1001,010,물리학 1,1,3.0,교양필수,"월13,14,15(60주년-013) /목4,5,6(60주년-012)",이민백,상대평가, 
PHY1001-011,PHY1001,011,물리학 1,1,3.0,교양필수,"화13,14,15,목13,14,15(5동406)",정종훈,상대평가, 
PHY1003-009,PHY1003,009,물리학실험 1,1,1.0,교양필수,"화5,6,7,8(5동313)",이민백,절대평가, 
PHY1003-010,PHY1003,010,물리학실험 1,1,1.0,교양필수,"금1,2,3,4(5동313)",유석재,절대평가, 
PHY1003-011,PHY1003,011,물리학실험 1,1,1.0,교양필수,"월9,10,11,12(5동315)",윤진희,절대평가, 
ACE2101-007,ACE2101,007,공업수학 1,2,3.0,교양필수,"월4,5,6,수16,17,18(5동102)",이선영,상대평가, 
ACE2101-008,ACE2101,008,공업수학 1,2,3.0,교양필수,"화1,2,3,목7,8,9(5동107A)",장영호,상대평가, 
CHE2100-001,CHE2100,001,물리화학 1,2,3.0,전공필수,"월16,17,18,화16,17,18(5동110)",심상은,상대평가, 
CHE2100-002,CHE2100,002,물리화학 1,2,3.0,전공필수,"화4,5,6,목16,17,18(5동110)",심상은,상대평가, 
CHE2100-003,CHE2100,003,물리화학 1,2,3.0,전공필수,"화4,5,6(5동111) /목16,17,18(2동259)",김승현,상대평가, 
CHE2100-004,CHE2100,004,물리화학 1,2,3.0,전공필수,"월16,17,18,화16,17,18(2동259)",이근형,상대평가, 
CHE2102-001,CHE2102,001,유기화학 1,2,3.0,전공필수,"월13,14,15,수13,14,15(5동110)",육지호,상대평가, 
CHE2102-002,CHE2102,002,유기화학 1,2,3.0,전공필수,"월13,14,15,수13,14,15(5동111)",황예진,상대평가, 
CHE2102-003,CHE2102,003,유기화학 1,2,3.0,전공필수,"월13,14,15,수13,14,15(2북663)",조강희,상대평가, 
CHE2104-001,CHE2104,001,화공계산 1,2,3.0,전공필수,"화10,11,12,수4,5,6(5동110)",최진섭,상대평가, 
CHE2104-002,CHE2104,002,화공계산 1,2,3.0,전공필수,"월10,11,12(2동259) /수10,11,12(5동110)",이기영,상대평가, 
CHE2104-003,CHE2104,003,화공계산 1,2,3.0,전공필수,"화10,11,12,수4,5,6(5동211)",이기영,상대평가, 
CHE2108-001,CHE2108,001,재료과학,2,3.0,전공선택,"월4,5,6,목4,5,6(60주년-707)",정지원,상대평가, 
CHE2108-002,CHE2108,002,재료과학,2,3.0,전공선택,"월4,5,6,목4,5,6(5동111)",양회창,상대평가, 
CHE2108-003,CHE2108,003,재료과학,2,3.0,전공선택,"월4,5,6,화1,2,3(5동211)",양승재,절대평가,"영어,English"
CHE3201-001,CHE3201,001,화학반응공학,3,3.0,전공필수,"월4,5,6,수10,11,12(2동259)",탁용석,상대평가,선수
CHE3201-002,CHE3201,002,화학반응공학,3,3.0,전공필수,"화13,14,15,목13,14,15(5동110)",백성현,상대평가,선수
CHE3201-003,CHE3201,003,화학반응공학,3,3.0,전공필수,"화13,14,15,목13,14,15(2동259)",이시우,절대평가,"영어,English,선수"
